keyword,bucket,owner_or_reason,volume,best_peer_pos,best_peer_domain,our_gsc_imp,our_gsc_clicks,our_bing_imp,our_bing_clicks
self-employed expenses calculator,excluded,off-niche:general-accountancy-calc,260,29,cruseburke.co.uk,,,,
self-employed tax rebate calculator,excluded,off-niche:refund/expat-employment,260,3,taxd.co.uk,,,,
stamp duty calculator mixed use,already-covered,"sdlt-cluster (deployed 08-18, window armed)",260,21,ukpropertyaccountants.co.uk,,,,
stamp duty land tax lease calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",260,16,uklandlordtax.co.uk,,,,
stamp duty mixed use calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",260,55,uklandlordtax.co.uk,,,,
stamp duty on property calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",260,14,uklandlordtax.co.uk,,,,
stamp duty refund calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",260,8,uklandlordtax.co.uk,,,,
take home pay calculator part time,excluded,off-niche:salary/employment,260,14,taxd.co.uk,,,,
take home pay calculator part-time,excluded,off-niche:salary/employment,260,18,taxd.co.uk,,,,
take-home pay calculator part-time,excluded,off-niche:salary/employment,260,15,taxd.co.uk,,,,
tax calculator employee,excluded,off-niche:general-tax-calc (no property qualifier),260,48,ukpropertyaccountants.co.uk,,,,
tax calculator home,excluded,off-niche:general-tax-calc (no property qualifier),260,31,taxd.co.uk,,,,
tax calculator hr,excluded,off-niche:general-tax-calc (no property qualifier),260,45,taxd.co.uk,,,,
tax calculator uk limited company,excluded,off-niche:general-tax-calc (no property qualifier),260,13,provestor.co.uk,,,,
tax deduction calculator uk,excluded,off-niche:salary/employment,260,50,taxd.co.uk,,,,
tax home calculator,excluded,off-niche:long-tail (class-reviewed pass 3),260,10,taxd.co.uk,,,,
tax refund calculator self-employed,excluded,off-niche:refund/expat-employment,260,35,optimiseaccountants.co.uk,,,,
tax return calculator self employed,excluded,off-niche:general-accountancy-calc,260,29,optimiseaccountants.co.uk,,,,
tax return self employed calculator,excluded,off-niche:general-accountancy-calc,260,40,optimiseaccountants.co.uk,,,,
tax work calculator,excluded,off-niche:long-tail (class-reviewed pass 3),260,38,taxd.co.uk,,,,
tfc calculator,excluded,off-niche:personal/other,260,30,taxd.co.uk,,,,
transfer of equity stamp duty calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",260,54,uklandlordtax.co.uk,,,,
two jobs salary calculator,excluded,off-niche:salary/employment,260,28,taxd.co.uk,,,,
two salary calculator,excluded,off-niche:salary/employment,260,29,taxd.co.uk,,,,
uk bonus tax calculator,excluded,off-niche:salary/employment,260,8,taxd.co.uk,,,,
uk limited company tax calculator,excluded,off-niche:general-tax-calc (no property qualifier),260,47,optimiseaccountants.co.uk,,,,
uk ltd company tax calculator,excluded,off-niche:general-tax-calc (no property qualifier),260,20,ukpropertyaccountants.co.uk,,,,
uk self assessment calculator,excluded,off-niche:general-accountancy-calc,260,32,optimiseaccountants.co.uk,,,,
uk tax deduction calculator,excluded,off-niche:salary/employment,260,42,taxd.co.uk,,,,
us income taxes calculator,excluded,off-niche:salary/employment,260,24,optimiseaccountants.co.uk,,,,
wages to salary calculator,excluded,off-niche:salary/employment,260,49,taxd.co.uk,,,,
wales land tax calculator,excluded,off-niche:general-tax-calc (no property qualifier),260,17,uklandlordtax.co.uk,,,15,0
what does dividend yield mean,excluded,off-niche:general-accountancy-calc,260,36,cruseburke.co.uk,,,,
work tax calculator,excluded,off-niche:general-tax-calc (no property qualifier),260,57,taxd.co.uk,,,,
working tax calculator,excluded,off-niche:general-tax-calc (no property qualifier),260,20,taxd.co.uk,,,,
2 jobs tax calculator uk,excluded,off-niche:general-tax-calc (no property qualifier),210,16,taxd.co.uk,,,,
2nd home tax scotland calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",210,36,ukpropertyaccountants.co.uk,,,,
60 tax trap calculator,excluded,off-niche:personal-income-tax,210,7,taxd.co.uk,,,,
annual pay calculator,excluded,off-niche:salary/employment,210,24,taxd.co.uk,,,,
before tax calculator,excluded,off-niche:general-tax-calc (no property qualifier),210,43,taxd.co.uk,,,,
bonus take home calculator uk,excluded,off-niche:salary/employment,210,4,taxd.co.uk,,,,
business tax calculator uk,excluded,off-niche:general-tax-calc (no property qualifier),210,43,taxd.co.uk,,,,
buy to let mortgage calculator natwest,assigned,calculators/buy-to-let-mortgage-calculator,210,35,uklandlordtax.co.uk,,,,
buy to let mortgage calculator repayments,assigned,calculators/buy-to-let-mortgage-calculator,210,2,uklandlordtax.co.uk,,,,
buy to let repayment calculator,assigned,calculators/buy-to-let-mortgage-calculator,210,1,uklandlordtax.co.uk,4,0,,
calculate yield,assigned,calculators/rental-yield-calculator,210,33,landlordstudio.com,,,,
capital gain calculator on sale of property,already-covered,"cgt-cluster (batch cgt1, deploy parked)",210,13,ukpropertyaccountants.co.uk,,,,
capital gains tax calculator on sale of property,already-covered,"cgt-cluster (batch cgt1, deploy parked)",210,21,ukpropertyaccountants.co.uk,,,,
capital gains tax on 2nd property calculator,already-covered,"cgt-cluster (batch cgt1, deploy parked)",210,20,ukpropertyaccountants.co.uk,,,,
cgtcalculator,already-covered,"cgt-cluster (batch cgt1, deploy parked)",210,12,taxd.co.uk,,,,
cis calculator uk,deferred,trade-site:cis,210,3,taxd.co.uk,,,,
contractor taxes calculator,excluded,off-niche:long-tail (class-reviewed pass 3),210,31,taxd.co.uk,,,,
contractors tax calculator,excluded,off-niche:general-tax-calc (no property qualifier),210,56,taxd.co.uk,,,,
development finance calculator,assigned,calculators/development-finance-calculator,210,72,ukpropertyaccountants.co.uk,35,0,,
ebay selling fees calculator uk,excluded,off-niche:marketplace/crypto,210,35,cruseburke.co.uk,,,,
first time buyer calculator,excluded,off-niche:long-tail (class-reviewed pass 3),210,56,uklandlordtax.co.uk,,,,
government payment calculator,excluded,off-niche:long-tail (class-reviewed pass 3),210,32,taxd.co.uk,,,,
gross pay from net pay calculator,excluded,off-niche:salary/employment,210,19,taxd.co.uk,,,,
gross salary calculator from net pay,excluded,off-niche:salary/employment,210,28,taxd.co.uk,,,,
higher rate pension tax relief calculator,excluded,off-niche:general-accountancy-calc,210,49,cruseburke.co.uk,,,,
home loan monthly interest calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",210,30,uklandlordtax.co.uk,,,,
how much national insurance do i pay calculator,excluded,off-niche:general-accountancy-calc,210,22,ukpropertyaccountants.co.uk,,,,
how much national insurance should i pay calculator,excluded,off-niche:general-accountancy-calc,210,19,ukpropertyaccountants.co.uk,,,,
how much national insurance will i pay calculator,excluded,off-niche:general-accountancy-calc,210,32,ukpropertyaccountants.co.uk,,,,
how much tax do i pay calculator uk,excluded,off-niche:salary/employment,210,49,taxd.co.uk,,,,
how to salary calculator,excluded,off-niche:salary/employment,210,63,taxd.co.uk,,,,
how to work out property yield,assigned,calculators/rental-yield-calculator,210,19,landlordstudio.com,,,,
inheritance tax calculator for married couples,excluded,off-niche:general-accountancy-calc,210,27,ukpropertyaccountants.co.uk,,,,
inheritance tax calculator gov uk,excluded,off-niche:general-accountancy-calc,210,25,optimiseaccountants.co.uk,,,,
inheritance tax calculator gov.uk,excluded,off-niche:general-accountancy-calc,210,23,optimiseaccountants.co.uk,,,,
l and c mortgage calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",210,29,uklandlordtax.co.uk,,,,
land calculator mortgage,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",210,20,uklandlordtax.co.uk,,,,
land mortgage calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",210,32,uklandlordtax.co.uk,,,,
land tax stamp duty calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",210,29,uklandlordtax.co.uk,,,,
land tax wales calculator,excluded,off-niche:long-tail (class-reviewed pass 3),210,18,uklandlordtax.co.uk,3,0,1,0
mansion tax calculator,excluded,off-niche:general-tax-calc (no property qualifier),210,2,ukpropertyaccountants.co.uk,,,,
martin lewis pay calculator,excluded,off-niche:salary/employment,210,12,taxd.co.uk,,,,
money saving expert wage calculator,excluded,off-niche:salary/employment,210,29,taxd.co.uk,,,,
moneysavingexpert salary calculator,excluded,off-niche:salary/employment,210,26,taxd.co.uk,,,,
month salary calculator,excluded,off-niche:salary/employment,210,35,taxd.co.uk,,,,
monthly payment calculator salary,excluded,off-niche:salary/employment,210,18,taxd.co.uk,,,,
monthly payment salary calculator,excluded,off-niche:salary/employment,210,29,taxd.co.uk,,,,
mortgage calculator land,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",210,24,uklandlordtax.co.uk,,,,
mortgage payment calculator for land,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",210,26,uklandlordtax.co.uk,,,,
mortgage repayments calculator uk,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",210,54,ukpropertyaccountants.co.uk,,,,
mse pay calculator,excluded,off-niche:salary/employment,210,18,taxd.co.uk,,,,
mse stamp duty calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",210,38,uklandlordtax.co.uk,,,,
national insurance calculator uk,excluded,off-niche:general-accountancy-calc,210,15,ukpropertyaccountants.co.uk,,,,
national insurance uk calculator,excluded,off-niche:general-accountancy-calc,210,21,ukpropertyaccountants.co.uk,,,,
net of tax calculator,excluded,off-niche:general-tax-calc (no property qualifier),210,32,ukpropertyaccountants.co.uk,,,,
net tax calculator,excluded,off-niche:general-tax-calc (no property qualifier),210,40,taxd.co.uk,,,,
ni contribution calculator,excluded,off-niche:long-tail (class-reviewed pass 3),210,22,ukpropertyaccountants.co.uk,,,,
ni contributions calculator self-employed,excluded,off-niche:general-accountancy-calc,210,29,ukpropertyaccountants.co.uk,,,,
nic contributions calculator,excluded,off-niche:long-tail (class-reviewed pass 3),210,19,ukpropertyaccountants.co.uk,,,,
nis contributions calculator,excluded,off-niche:long-tail (class-reviewed pass 3),210,19,ukpropertyaccountants.co.uk,,,,
pay after tax calculator uk,excluded,off-niche:salary/employment,210,25,taxd.co.uk,,,,
pay tax calculator weekly,excluded,off-niche:general-tax-calc (no property qualifier),210,41,taxd.co.uk,,,,
paye on salary calculator,excluded,off-niche:salary/employment,210,58,taxd.co.uk,,,,
paye salary calculator,excluded,off-niche:salary/employment,210,57,taxd.co.uk,,,,
payment after tax calculator uk,excluded,off-niche:salary/employment,210,20,taxd.co.uk,,,,
pension higher rate tax relief calculator,excluded,off-niche:general-accountancy-calc,210,33,cruseburke.co.uk,,,,
pension tax relief calculator higher rate,excluded,off-niche:general-accountancy-calc,210,25,cruseburke.co.uk,,,,
pensionable earnings calculator,excluded,off-niche:general-accountancy-calc,210,41,cruseburke.co.uk,,,,
personal allowance calculator,excluded,off-niche:long-tail (class-reviewed pass 3),210,64,taxd.co.uk,,,,
pro rata calculator rent,excluded,off-niche:long-tail (class-reviewed pass 3),210,10,landlordstudio.com,,,,
pro rata rent calculator,assigned,calculators/rental-income-tax-calculator,210,14,landlordstudio.com,,,,
profit margin calculator uk,excluded,off-niche:general-accountancy-calc,210,39,cruseburke.co.uk,,,,
property sale capital gains tax calculator,already-covered,"cgt-cluster (batch cgt1, deploy parked)",210,16,provestor.co.uk,,,,
property tax calculator uk,excluded,off-niche:general-tax-calc (no property qualifier),210,17,taxd.co.uk,4,0,,
prorated rent calculator,assigned,calculators/rental-income-tax-calculator,210,4,landlordstudio.com,,,,
rent pro rata calculator,excluded,off-niche:long-tail (class-reviewed pass 3),210,15,landlordstudio.com,,,,
rental income calculator uk,excluded,off-niche:salary/employment,210,21,taxd.co.uk,2,0,,
reverse salary calculator,excluded,off-niche:salary/employment,210,27,taxd.co.uk,,,,
salary calculator monthly pay,excluded,off-niche:salary/employment,210,55,taxd.co.uk,,,,
salary calculator paye,excluded,off-niche:salary/employment,210,60,taxd.co.uk,,,,
salary calculator reverse,excluded,off-niche:salary/employment,210,31,taxd.co.uk,,,,
salary calculator to monthly,excluded,off-niche:salary/employment,210,24,taxd.co.uk,,,,
salary monthly payment calculator,excluded,off-niche:salary/employment,210,32,taxd.co.uk,,,,
salary paye calculator,excluded,off-niche:salary/employment,210,56,taxd.co.uk,,,,
salary paye tax calculator,excluded,off-niche:salary/employment,210,30,ukpropertyaccountants.co.uk,,,,
salary reverse calculator,excluded,off-niche:salary/employment,210,36,taxd.co.uk,,,,
salary to monthly calculator,excluded,off-niche:salary/employment,210,45,taxd.co.uk,,,,
salary to monthly pay calculator,excluded,off-niche:salary/employment,210,15,taxd.co.uk,,,,
sdlt tax calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",210,28,ukpropertyaccountants.co.uk,,,,
self employed ni contributions calculator,excluded,off-niche:general-accountancy-calc,210,37,ukpropertyaccountants.co.uk,,,,
self employed take home pay calculator,excluded,off-niche:salary/employment,210,48,taxd.co.uk,,,,
staircasing calculator,excluded,off-niche:long-tail (class-reviewed pass 3),210,84,cruseburke.co.uk,,,,
stamp duty and land tax calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",210,26,uklandlordtax.co.uk,,,,
stamp duty buy to let calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",210,2,uklandlordtax.co.uk,1,0,,
stamp duty buy-to-let calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",210,2,uklandlordtax.co.uk,,,,
stamp duty calculator 2025 gov uk,already-covered,"sdlt-cluster (deployed 08-18, window armed)",210,22,uklandlordtax.co.uk,,,,
stamp duty calculator ltd company,already-covered,"sdlt-cluster (deployed 08-18, window armed)",210,16,provestor.co.uk,,,,
stamp duty calculator money saving expert,already-covered,"sdlt-cluster (deployed 08-18, window armed)",210,30,uklandlordtax.co.uk,,,,
stamp duty calculator mse,already-covered,"sdlt-cluster (deployed 08-18, window armed)",210,40,uklandlordtax.co.uk,,,,
stamp duty calculator residential,already-covered,"sdlt-cluster (deployed 08-18, window armed)",210,31,uklandlordtax.co.uk,,,,
stamp duty on buy to let calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",210,2,uklandlordtax.co.uk,2,0,,
take home bonus calculator uk,excluded,off-niche:salary/employment,210,4,taxd.co.uk,,,,
take home pay calculator gov,excluded,off-niche:salary/employment,210,32,taxd.co.uk,,,,
take home pay calculator wales,excluded,off-niche:salary/employment,210,6,taxd.co.uk,,,,
take-home pay calculator gov,excluded,off-niche:salary/employment,210,31,taxd.co.uk,,,,
tax calculator net,excluded,off-niche:general-tax-calc (no property qualifier),210,40,taxd.co.uk,,,,
tax calculator on weekly pay,excluded,off-niche:salary/employment,210,35,taxd.co.uk,,,,
tax calculator uk self employed,excluded,off-niche:general-accountancy-calc,210,42,cruseburke.co.uk,,,,
tax net calculator,excluded,off-niche:long-tail (class-reviewed pass 3),210,18,taxd.co.uk,,,,
tax on wages calculator uk,excluded,off-niche:salary/employment,210,41,ukpropertyaccountants.co.uk,,,,
tra calculator,excluded,off-niche:long-tail (class-reviewed pass 3),210,39,taxd.co.uk,,,,
two job tax calculator uk,excluded,off-niche:general-tax-calc (no property qualifier),210,13,taxd.co.uk,,,,
two jobs tax calculator uk,excluded,off-niche:general-tax-calc (no property qualifier),210,26,taxd.co.uk,,,,
uk national insurance calculator,excluded,off-niche:general-accountancy-calc,210,17,ukpropertyaccountants.co.uk,,,,
uk property tax calculator,excluded,off-niche:general-tax-calc (no property qualifier),210,24,taxd.co.uk,,,,
wage and tax calculator uk,excluded,off-niche:salary/employment,210,49,taxd.co.uk,,,,
wage calculator after tax uk,excluded,off-niche:salary/employment,210,37,taxd.co.uk,,,,
wage tax calculator uk,excluded,off-niche:salary/employment,210,26,taxd.co.uk,,,,
wage tax calculator weekly,excluded,off-niche:salary/employment,210,48,taxd.co.uk,,,,
2nd job tax calculator uk,excluded,off-niche:general-tax-calc (no property qualifier),170,13,taxd.co.uk,,,,
4 weekly pay calculator,excluded,off-niche:salary/employment,170,48,taxd.co.uk,,,,
45p per mile calculator,excluded,off-niche:long-tail (class-reviewed pass 3),170,15,ukpropertyaccountants.co.uk,,,,
adjusted net income calculator hmrc,excluded,off-niche:salary/employment,170,79,taxd.co.uk,,,,
annual salary take home calculator,excluded,off-niche:salary/employment,170,32,taxd.co.uk,,,,
annual take home pay calculator,excluded,off-niche:salary/employment,170,8,taxd.co.uk,,,,
annual take-home pay calculator,excluded,off-niche:salary/employment,170,8,taxd.co.uk,,,,
business stamp duty calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",170,43,provestor.co.uk,,,,
buying a car through limited company calculator,excluded,off-niche:long-tail (class-reviewed pass 3),170,53,provestor.co.uk,,,,
calculator for housing loan repayment,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",170,48,uklandlordtax.co.uk,,,,
calculator for mileage reimbursement,deferred,trade-site:mileage,170,30,ukpropertyaccountants.co.uk,,,,
check tax calculator,excluded,off-niche:general-tax-calc (no property qualifier),170,49,taxd.co.uk,,,,
citb levy calculator,excluded,off-niche:long-tail (class-reviewed pass 3),170,44,taxd.co.uk,,,,
earnings tax calculator,excluded,off-niche:general-tax-calc (no property qualifier),170,59,taxd.co.uk,,,,
fixed mortgage rates calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",170,52,uklandlordtax.co.uk,,,,
freehold calculator hmrc,excluded,off-niche:long-tail (class-reviewed pass 3),170,58,ukpropertyaccountants.co.uk,1,0,,
freelance tax calculator,excluded,off-niche:general-tax-calc (no property qualifier),170,16,taxd.co.uk,,,,
gift tax calculator uk,excluded,off-niche:general-tax-calc (no property qualifier),170,50,taxd.co.uk,,,,
gross profit percentage calculator,excluded,off-niche:salary/employment,170,51,cruseburke.co.uk,,,,
historical stamp duty calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",170,41,landlordstudio.com,,,,
holding deposit calculator,excluded,off-niche:long-tail (class-reviewed pass 3),170,62,landlordstudio.com,,,,
home loan calculator principal and interest,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",170,35,uklandlordtax.co.uk,,,,
home loan repayment calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",170,54,ukpropertyaccountants.co.uk,,,,
home tax calculator,excluded,off-niche:general-tax-calc (no property qualifier),170,29,taxd.co.uk,,,,
hourly income tax calculator,excluded,off-niche:salary/employment,170,72,taxd.co.uk,,,,
house tax calculator,excluded,off-niche:general-tax-calc (no property qualifier),170,14,uklandlordtax.co.uk,,,,
housing loan calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",170,46,uklandlordtax.co.uk,,,,
income calculator money saving expert,excluded,off-niche:salary/employment,170,37,taxd.co.uk,,,,
indexation allowance calculator,excluded,off-niche:long-tail (class-reviewed pass 3),170,29,ukpropertyaccountants.co.uk,,,,
inheritance tax scotland calculator,excluded,off-niche:general-accountancy-calc,170,37,ukpropertyaccountants.co.uk,,,,
interest calculator for mortgage payment,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",170,71,ukpropertyaccountants.co.uk,,,,
interest only mortgage payment calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",170,25,uklandlordtax.co.uk,,,,
interest only mortgage payments calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",170,26,uklandlordtax.co.uk,,,,
interest only payments on mortgage calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",170,17,uklandlordtax.co.uk,,,,
land mortgage calculator uk,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",170,30,uklandlordtax.co.uk,,,,
land transaction tax wales calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",170,22,uklandlordtax.co.uk,,,,
lbtt calculator lease,already-covered,"sdlt-cluster (deployed 08-18, window armed)",170,30,ukpropertyaccountants.co.uk,,,,
lbtt lease calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",170,32,ukpropertyaccountants.co.uk,,,,
lifetime interest only mortgage calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",170,48,uklandlordtax.co.uk,,,,
lifetime interest-only mortgage calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",170,47,uklandlordtax.co.uk,,,,
limited company calculator,excluded,off-niche:long-tail (class-reviewed pass 3),170,25,provestor.co.uk,,,,
loan calculator housing,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",170,33,uklandlordtax.co.uk,,,,
loan on house calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",170,44,uklandlordtax.co.uk,,,,
london net salary calculator,excluded,off-niche:salary/employment,170,46,taxd.co.uk,,,,
london salary net calculator,excluded,off-niche:salary/employment,170,38,taxd.co.uk,,,,
ltt wales calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",170,21,uklandlordtax.co.uk,,,8,0
mansion tax uk calculator,excluded,off-niche:salary/employment,170,2,ukpropertyaccountants.co.uk,1,0,,
mileage payment calculator,deferred,trade-site:mileage,170,22,ukpropertyaccountants.co.uk,,,,
mileage rate calculator,deferred,trade-site:mileage,170,38,ukpropertyaccountants.co.uk,,,,
monthly tax and ni calculator,excluded,off-niche:general-accountancy-calc,170,54,taxd.co.uk,,,,
mortgage and interest payment calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",170,63,ukpropertyaccountants.co.uk,,,,
mortgage buy to let calculator,assigned,calculators/buy-to-let-mortgage-calculator,170,4,uklandlordtax.co.uk,1,0,,
mortgage calculator alexander hall,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",170,42,uklandlordtax.co.uk,,,,
mortgage calculator interest and principal,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",170,63,ukpropertyaccountants.co.uk,,,,
mortgage calculator principal and interest,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",170,62,ukpropertyaccountants.co.uk,,,,
mortgage emi calculator uk,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",170,57,ukpropertyaccountants.co.uk,,,,
mortgage interest payment calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",170,69,ukpropertyaccountants.co.uk,,,,
mortgage interest principal calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",170,65,ukpropertyaccountants.co.uk,,,,
mortgage principal calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",170,69,ukpropertyaccountants.co.uk,,,,
mortgage repayment calculator interest,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",170,39,ukpropertyaccountants.co.uk,,,,
mse income calculator,excluded,off-niche:salary/employment,170,24,taxd.co.uk,,,,
net initial yield calculator,assigned,calculators/rental-yield-calculator,170,15,landlordstudio.com,,,,
net salary calculator london,excluded,off-niche:salary/employment,170,38,taxd.co.uk,,,,
net salary london calculator,excluded,off-niche:salary/employment,170,36,taxd.co.uk,,,,
nett salary calculator,excluded,off-niche:salary/employment,170,24,taxd.co.uk,,,,
openrent rent calculator,assigned,calculators/rental-income-tax-calculator,170,25,landlordstudio.com,,,,
p50 tax refund calculator,excluded,off-niche:refund/expat-employment,170,11,taxd.co.uk,,,,
pension calculator take home pay,excluded,off-niche:salary/employment,170,9,taxd.co.uk,,,,
pension relief calculator,excluded,off-niche:general-accountancy-calc,170,31,cruseburke.co.uk,,,,
pension take home pay calculator,excluded,off-niche:salary/employment,170,36,taxd.co.uk,,,,
pension tax relief calculator uk,excluded,off-niche:general-accountancy-calc,170,29,cruseburke.co.uk,,,,
pro rating calculator,excluded,off-niche:long-tail (class-reviewed pass 3),170,4,landlordstudio.com,,,,
property calculator,excluded,off-niche:long-tail (class-reviewed pass 3),170,20,uklandlordtax.co.uk,,,,
prorated rate calculator,excluded,off-niche:long-tail (class-reviewed pass 3),170,4,landlordstudio.com,,,,
rent calculator mortgage,assigned,calculators/rental-income-tax-calculator,170,5,uklandlordtax.co.uk,,,,
rent to mortgage calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",170,14,uklandlordtax.co.uk,,,,
rental calculator salary,excluded,off-niche:salary/employment,170,57,landlordstudio.com,,,,
repayment of housing loan calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",170,58,ukpropertyaccountants.co.uk,,,,
sdlt calculator ni,already-covered,"sdlt-cluster (deployed 08-18, window armed)",170,19,uklandlordtax.co.uk,3,0,,
second home stamp duty calculator uk,already-covered,"sdlt-cluster (deployed 08-18, window armed)",170,15,uklandlordtax.co.uk,,,,
second home tax calculator,excluded,off-niche:general-tax-calc (no property qualifier),170,50,landlordstudio.com,,,,
second job tax calculator uk,excluded,off-niche:general-tax-calc (no property qualifier),170,15,taxd.co.uk,,,,
self employed take home calculator,excluded,off-niche:salary/employment,170,29,taxd.co.uk,,,,
self-employed take-home calculator,excluded,off-niche:salary/employment,170,38,taxd.co.uk,,,,
selling second home tax calculator,excluded,off-niche:general-tax-calc (no property qualifier),170,21,ukpropertyaccountants.co.uk,,,,
shared ownership calculator gov,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",170,58,cruseburke.co.uk,,,,
stamp duty and fees calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",170,29,uklandlordtax.co.uk,,,,
stamp duty business calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",170,35,uklandlordtax.co.uk,,,,
stamp duty calculator for business,already-covered,"sdlt-cluster (deployed 08-18, window armed)",170,28,uklandlordtax.co.uk,,,,
stamp duty calculator purplebricks,already-covered,"sdlt-cluster (deployed 08-18, window armed)",170,34,uklandlordtax.co.uk,,,,
stamp duty calculator second home uk,already-covered,"sdlt-cluster (deployed 08-18, window armed)",170,37,optimiseaccountants.co.uk,,,,
stamp duty calculator uk second home,already-covered,"sdlt-cluster (deployed 08-18, window armed)",170,29,uklandlordtax.co.uk,,,,
stamp duty fees calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",170,29,uklandlordtax.co.uk,,,,
stamp duty rate calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",170,35,uklandlordtax.co.uk,,,,
stamp duty second house calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",170,30,uklandlordtax.co.uk,,,,
take home calculator uk 2025,excluded,off-niche:salary/employment,170,29,taxd.co.uk,,,,
take home pay calculator annual,excluded,off-niche:salary/employment,170,8,taxd.co.uk,,,,
take home pay calculator northern ireland,excluded,off-niche:salary/employment,170,37,taxd.co.uk,,,,
take home pay calculator pension,excluded,off-niche:salary/employment,170,8,taxd.co.uk,,,,
take home pay calculator teacher uk,excluded,off-niche:salary/employment,170,18,taxd.co.uk,,,,
take-home pay calculator northern ireland,excluded,off-niche:salary/employment,170,32,taxd.co.uk,,,,
tax and ni calculator monthly,excluded,off-niche:general-accountancy-calc,170,48,taxd.co.uk,,,,
tax calculator for freelancers,excluded,off-niche:general-tax-calc (no property qualifier),170,15,taxd.co.uk,,,,
tax calculator on earnings,excluded,off-niche:general-tax-calc (no property qualifier),170,53,taxd.co.uk,,,,
tax calculator per month,excluded,off-niche:general-tax-calc (no property qualifier),170,32,taxd.co.uk,,,,
tax calculator rebate,excluded,off-niche:refund/expat-employment,170,6,taxd.co.uk,,,,
tax calculator wales,excluded,off-niche:general-tax-calc (no property qualifier),170,16,uklandlordtax.co.uk,,,,
tax on second job uk calculator,excluded,off-niche:long-tail (class-reviewed pass 3),170,10,taxd.co.uk,,,,
tax on selling shares calculator,excluded,off-niche:long-tail (class-reviewed pass 3),170,8,taxd.co.uk,,,,
teacher take home pay calculator uk,excluded,off-niche:salary/employment,170,32,taxd.co.uk,,,,
teacher take-home pay calculator uk,excluded,off-niche:salary/employment,170,42,taxd.co.uk,,,,
uk payroll tax calculator,excluded,off-niche:salary/employment,170,62,taxd.co.uk,,,,
uk second job tax calculator,excluded,off-niche:general-tax-calc (no property qualifier),170,11,taxd.co.uk,,,,
uk tax calculator take home pay,excluded,off-niche:salary/employment,170,11,taxd.co.uk,,,,
