Case_type,Region,Representation,Quarter,Number_of_disposals,Mean_duration,Median_duration
Children Act (Public),Wales,1 Both,2014-Q3,181,27.200000,24.300000000
Children Act (Public),Wales,2 Applicant Only,2014-Q3,33,18.600000,10.900000000
Children Act (Public),Wales,3 Respondent Only,2014-Q3,7,31.900000,23.400000000
Children Act (Public),Wales,All types,2014-Q3,221,26.000000,24.000000000
Children Act (Public),England & Wales,1 Both,2014-Q4,2643,27.900000,24.900000000
Children Act (Public),England & Wales,2 Applicant Only,2014-Q4,498,13.600000,10.100000000
Children Act (Public),England & Wales,3 Respondent Only,2014-Q4,36,27.200000,23.300000000
Children Act (Public),England & Wales,4 Neither,2014-Q4,22,15.500000,11.500000000
Children Act (Public),England & Wales,All types,2014-Q4,3199,25.600000,23.900000000
Children Act (Public),London,1 Both,2014-Q4,425,33.600000,29.600000000
Children Act (Public),London,2 Applicant Only,2014-Q4,73,20.600000,16.300000000
Children Act (Public),London,3 Respondent Only,2014-Q4,7,23.000000,15.600000000
Children Act (Public),London,All types,2014-Q4,505,31.600000,28.100000000
Children Act (Public),Midlands,1 Both,2014-Q4,536,29.500000,25.400000000
Children Act (Public),Midlands,2 Applicant Only,2014-Q4,82,14.200000,11.700000000
Children Act (Public),Midlands,3 Respondent Only,2014-Q4,6,17.100000,21.400000000
Children Act (Public),Midlands,4 Neither,2014-Q4,6,12.400000,11.500000000
Children Act (Public),Midlands,All types,2014-Q4,630,27.200000,24.700000000
Children Act (Public),North East,1 Both,2014-Q4,427,25.700000,24.100000000
Children Act (Public),North East,2 Applicant Only,2014-Q4,93,11.300000,9.000000000
Children Act (Public),North East,3 Respondent Only,2014-Q4,3,28.900000,12.900000000
Children Act (Public),North East,4 Neither,2014-Q4,3,6.700000,9.100000000
Children Act (Public),North East,All types,2014-Q4,526,23.000000,22.800000000
Children Act (Public),North West,1 Both,2014-Q4,419,29.000000,25.600000000
Children Act (Public),North West,2 Applicant Only,2014-Q4,96,14.700000,13.100000000
Children Act (Public),North West,3 Respondent Only,2014-Q4,2,35.800000,35.800000000
Children Act (Public),North West,4 Neither,2014-Q4,2,45.800000,45.800000000
Children Act (Public),North West,All types,2014-Q4,519,26.500000,24.300000000
Children Act (Public),South East,1 Both,2014-Q4,387,25.300000,23.900000000
Children Act (Public),South East,2 Applicant Only,2014-Q4,83,9.400000,6.100000000
Children Act (Public),South East,3 Respondent Only,2014-Q4,9,29.100000,25.600000000
Children Act (Public),South East,4 Neither,2014-Q4,7,11.100000,8.900000000
Children Act (Public),South East,All types,2014-Q4,486,22.500000,22.100000000
Children Act (Public),South West,1 Both,2014-Q4,262,24.700000,22.500000000
Children Act (Public),South West,2 Applicant Only,2014-Q4,39,11.100000,6.000000000
Children Act (Public),South West,3 Respondent Only,2014-Q4,5,47.000000,36.600000000
Children Act (Public),South West,4 Neither,2014-Q4,1,33.900000,33.900000000
Children Act (Public),South West,All types,2014-Q4,307,23.400000,21.900000000
Children Act (Public),Wales,1 Both,2014-Q4,187,23.100000,23.400000000
Children Act (Public),Wales,2 Applicant Only,2014-Q4,32,13.900000,11.500000000
Children Act (Public),Wales,3 Respondent Only,2014-Q4,4,15.200000,14.000000000
Children Act (Public),Wales,4 Neither,2014-Q4,3,14.800000,12.400000000
Children Act (Public),Wales,All types,2014-Q4,226,21.600000,22.400000000
Children Act (Public),England & Wales,1 Both,2015-Q1,2718,28.100000,25.100000000
Children Act (Public),England & Wales,2 Applicant Only,2015-Q1,492,13.300000,9.200000000
Children Act (Public),England & Wales,3 Respondent Only,2015-Q1,27,32.600000,22.400000000
Children Act (Public),England & Wales,4 Neither,2015-Q1,32,20.900000,13.100000000
Children Act (Public),England & Wales,All types,2015-Q1,3269,25.800000,24.300000000
Children Act (Public),London,1 Both,2015-Q1,363,32.300000,28.900000000
Children Act (Public),London,2 Applicant Only,2015-Q1,66,17.200000,13.200000000
Children Act (Public),London,3 Respondent Only,2015-Q1,4,23.400000,22.300000000
Children Act (Public),London,4 Neither,2015-Q1,1,11.600000,11.600000000
Children Act (Public),London,All types,2015-Q1,434,29.900000,27.400000000
Children Act (Public),Midlands,1 Both,2015-Q1,526,30.300000,25.400000000
Children Act (Public),Midlands,2 Applicant Only,2015-Q1,88,14.100000,12.100000000
Children Act (Public),Midlands,3 Respondent Only,2015-Q1,2,46.500000,46.500000000
Children Act (Public),Midlands,4 Neither,2015-Q1,8,32.100000,25.100000000
Children Act (Public),Midlands,All types,2015-Q1,624,28.100000,25.000000000
Children Act (Public),North East,1 Both,2015-Q1,433,25.700000,24.300000000
Children Act (Public),North East,2 Applicant Only,2015-Q1,99,8.600000,5.900000000
Children Act (Public),North East,3 Respondent Only,2015-Q1,4,36.300000,42.700000000
Children Act (Public),North East,4 Neither,2015-Q1,1,77.900000,77.900000000
Children Act (Public),North East,All types,2015-Q1,537,22.700000,22.900000000
Children Act (Public),North West,1 Both,2015-Q1,418,28.900000,26.000000000
Children Act (Public),North West,2 Applicant Only,2015-Q1,89,15.400000,12.900000000
Children Act (Public),North West,3 Respondent Only,2015-Q1,2,17.100000,17.100000000
Children Act (Public),North West,4 Neither,2015-Q1,5,33.300000,18.900000000
Children Act (Public),North West,All types,2015-Q1,514,26.500000,25.000000000
Children Act (Public),South East,1 Both,2015-Q1,457,26.800000,24.700000000
Children Act (Public),South East,2 Applicant Only,2015-Q1,64,11.300000,7.600000000
Children Act (Public),South East,3 Respondent Only,2015-Q1,3,10.700000,11.100000000
Children Act (Public),South East,4 Neither,2015-Q1,6,8.600000,5.200000000
Children Act (Public),South East,All types,2015-Q1,530,24.700000,23.600000000
Children Act (Public),South West,1 Both,2015-Q1,324,25.300000,23.800000000
Children Act (Public),South West,2 Applicant Only,2015-Q1,51,15.500000,4.900000000
Children Act (Public),South West,3 Respondent Only,2015-Q1,4,77.900000,40.000000000
Children Act (Public),South West,4 Neither,2015-Q1,5,4.500000,3.000000000
Children Act (Public),South West,All types,2015-Q1,384,24.300000,22.900000000
Children Act (Public),Wales,1 Both,2015-Q1,197,25.400000,24.100000000
Children Act (Public),Wales,2 Applicant Only,2015-Q1,35,11.700000,12.000000000
Children Act (Public),Wales,3 Respondent Only,2015-Q1,8,21.400000,19.800000000
Children Act (Public),Wales,4 Neither,2015-Q1,6,13.500000,13.300000000
Children Act (Public),Wales,All types,2015-Q1,246,23.100000,23.000000000
Children Act (Public),England & Wales,1 Both,2015-Q2,2632,28.400000,25.400000000
Children Act (Public),England & Wales,2 Applicant Only,2015-Q2,477,14.300000,10.300000000
Children Act (Public),England & Wales,3 Respondent Only,2015-Q2,40,27.400000,24.800000000
Children Act (Public),England & Wales,4 Neither,2015-Q2,30,13.100000,7.600000000
Children Act (Public),England & Wales,All types,2015-Q2,3179,26.100000,24.700000000
Children Act (Public),London,1 Both,2015-Q2,339,31.200000,29.000000000
Children Act (Public),London,2 Applicant Only,2015-Q2,63,15.900000,6.000000000
Children Act (Public),London,3 Respondent Only,2015-Q2,6,26.200000,27.200000000
Children Act (Public),London,4 Neither,2015-Q2,6,8.800000,4.800000000
Children Act (Public),London,All types,2015-Q2,414,28.500000,26.200000000
Children Act (Public),Midlands,1 Both,2015-Q2,466,28.900000,25.300000000
Children Act (Public),Midlands,2 Applicant Only,2015-Q2,90,13.700000,12.400000000
Children Act (Public),Midlands,3 Respondent Only,2015-Q2,2,47.800000,47.800000000
Children Act (Public),Midlands,4 Neither,2015-Q2,4,7.500000,7.100000000
Children Act (Public),Midlands,All types,2015-Q2,562,26.400000,24.900000000
Children Act (Public),North East,1 Both,2015-Q2,480,26.900000,24.700000000
Children Act (Public),North East,2 Applicant Only,2015-Q2,85,9.900000,6.100000000
Children Act (Public),North East,3 Respondent Only,2015-Q2,4,29.700000,28.800000000
Children Act (Public),North East,4 Neither,2015-Q2,5,14.300000,13.000000000
Children Act (Public),North East,All types,2015-Q2,574,24.300000,23.400000000
Children Act (Public),North West,1 Both,2015-Q2,445,29.700000,26.000000000
Children Act (Public),North West,2 Applicant Only,2015-Q2,75,15.300000,13.000000000
Children Act (Public),North West,3 Respondent Only,2015-Q2,1,19.900000,19.900000000
Children Act (Public),North West,4 Neither,2015-Q2,1,5.900000,5.900000000
Children Act (Public),North West,All types,2015-Q2,522,27.600000,25.400000000
Children Act (Public),South East,1 Both,2015-Q2,433,28.100000,25.700000000
Children Act (Public),South East,2 Applicant Only,2015-Q2,77,11.900000,7.600000000
Children Act (Public),South East,3 Respondent Only,2015-Q2,10,27.900000,25.600000000
Children Act (Public),South East,4 Neither,2015-Q2,6,11.500000,9.000000000
Children Act (Public),South East,All types,2015-Q2,526,25.500000,25.000000000
Children Act (Public),South West,1 Both,2015-Q2,310,27.500000,24.800000000
Children Act (Public),South West,2 Applicant Only,2015-Q2,54,20.300000,7.700000000
Children Act (Public),South West,3 Respondent Only,2015-Q2,2,45.800000,45.800000000
Children Act (Public),South West,4 Neither,2015-Q2,2,44.500000,44.500000000
Children Act (Public),South West,All types,2015-Q2,368,26.600000,23.900000000
Children Act (Public),Wales,1 Both,2015-Q2,159,23.900000,24.000000000
Children Act (Public),Wales,2 Applicant Only,2015-Q2,33,17.900000,13.000000000
Children Act (Public),Wales,3 Respondent Only,2015-Q2,15,22.200000,21.900000000
Children Act (Public),Wales,4 Neither,2015-Q2,6,12.600000,12.400000000
Children Act (Public),Wales,All types,2015-Q2,213,22.500000,22.400000000
Children Act (Public),England & Wales,1 Both,2015-Q3,2953,28.400000,24.900000000
Children Act (Public),England & Wales,2 Applicant Only,2015-Q3,537,13.500000,10.000000000
Children Act (Public),England & Wales,3 Respondent Only,2015-Q3,40,27.200000,24.700000000
Children Act (Public),England & Wales,4 Neither,2015-Q3,24,16.400000,13.300000000
Children Act (Public),England & Wales,All types,2015-Q3,3554,26.100000,23.900000000
Children Act (Public),London,1 Both,2015-Q3,391,31.900000,28.100000000
Children Act (Public),London,2 Applicant Only,2015-Q3,82,18.800000,17.400000000
Children Act (Public),London,3 Respondent Only,2015-Q3,1,13.000000,13.000000000
Children Act (Public),London,4 Neither,2015-Q3,3,8.200000,4.000000000
Children Act (Public),London,All types,2015-Q3,477,29.400000,26.100000000
Children Act (Public),Midlands,1 Both,2015-Q3,520,32.500000,25.400000000
Children Act (Public),Midlands,2 Applicant Only,2015-Q3,100,15.500000,10.700000000
Children Act (Public),Midlands,3 Respondent Only,2015-Q3,1,14.600000,14.600000000
Children Act (Public),Midlands,4 Neither,2015-Q3,4,19.600000,17.400000000
Children Act (Public),Midlands,All types,2015-Q3,625,29.600000,24.400000000
Children Act (Public),North East,1 Both,2015-Q3,514,26.400000,23.600000000
Children Act (Public),North East,2 Applicant Only,2015-Q3,102,9.500000,6.500000000
Children Act (Public),North East,3 Respondent Only,2015-Q3,5,23.100000,24.100000000
Children Act (Public),North East,4 Neither,2015-Q3,4,10.300000,11.400000000
Children Act (Public),North East,All types,2015-Q3,625,23.500000,22.300000000
Children Act (Public),North West,1 Both,2015-Q3,494,28.400000,25.000000000
Children Act (Public),North West,2 Applicant Only,2015-Q3,88,15.200000,11.800000000
Children Act (Public),North West,3 Respondent Only,2015-Q3,5,33.800000,23.400000000
Children Act (Public),North West,4 Neither,2015-Q3,3,14.300000,4.100000000
Children Act (Public),North West,All types,2015-Q3,590,26.400000,24.100000000
Children Act (Public),South East,1 Both,2015-Q3,503,26.800000,24.600000000
Children Act (Public),South East,2 Applicant Only,2015-Q3,91,10.900000,8.000000000
Children Act (Public),South East,3 Respondent Only,2015-Q3,3,20.900000,25.000000000
Children Act (Public),South East,4 Neither,2015-Q3,5,20.500000,23.900000000
Children Act (Public),South East,All types,2015-Q3,602,24.300000,23.700000000
Children Act (Public),South West,1 Both,2015-Q3,372,26.200000,23.700000000
Children Act (Public),South West,2 Applicant Only,2015-Q3,43,11.700000,6.300000000
Children Act (Public),South West,3 Respondent Only,2015-Q3,4,43.500000,24.200000000
Children Act (Public),South West,4 Neither,2015-Q3,2,4.500000,4.500000000
Children Act (Public),South West,All types,2015-Q3,421,24.800000,23.300000000
Children Act (Public),Wales,1 Both,2015-Q3,159,24.200000,23.600000000
Children Act (Public),Wales,2 Applicant Only,2015-Q3,31,11.200000,11.400000000
Children Act (Public),Wales,3 Respondent Only,2015-Q3,21,25.700000,24.900000000
Children Act (Public),Wales,4 Neither,2015-Q3,3,31.500000,36.100000000
Children Act (Public),Wales,All types,2015-Q3,214,22.600000,23.100000000
Children Act (Public),England & Wales,1 Both,2015-Q4,2942,27.400000,24.900000000
Children Act (Public),England & Wales,2 Applicant Only,2015-Q4,553,12.900000,10.000000000
Children Act (Public),England & Wales,3 Respondent Only,2015-Q4,43,22.600000,22.000000000
Children Act (Public),England & Wales,4 Neither,2015-Q4,34,14.100000,13.800000000
Children Act (Public),England & Wales,All types,2015-Q4,3572,25.000000,23.900000000
Children Act (Public),London,1 Both,2015-Q4,349,30.200000,26.700000000
Children Act (Public),London,2 Applicant Only,2015-Q4,77,17.600000,16.100000000
Children Act (Public),London,3 Respondent Only,2015-Q4,6,19.100000,17.000000000
Children Act (Public),London,4 Neither,2015-Q4,5,13.000000,12.300000000
Children Act (Public),London,All types,2015-Q4,437,27.600000,25.600000000
Children Act (Public),Midlands,1 Both,2015-Q4,552,27.400000,24.400000000
Children Act (Public),Midlands,2 Applicant Only,2015-Q4,90,12.600000,10.400000000
Children Act (Public),Midlands,4 Neither,2015-Q4,6,20.000000,16.200000000
Children Act (Public),Midlands,All types,2015-Q4,648,25.300000,23.600000000
Children Act (Public),North East,1 Both,2015-Q4,509,26.700000,24.700000000
Children Act (Public),North East,2 Applicant Only,2015-Q4,93,10.900000,8.600000000
Children Act (Public),North East,3 Respondent Only,2015-Q4,1,46.600000,46.600000000
Children Act (Public),North East,4 Neither,2015-Q4,9,14.800000,13.600000000
Children Act (Public),North East,All types,2015-Q4,612,24.200000,23.600000000
Children Act (Public),North West,1 Both,2015-Q4,468,26.000000,24.600000000
Children Act (Public),North West,2 Applicant Only,2015-Q4,109,12.700000,10.000000000
Children Act (Public),North West,3 Respondent Only,2015-Q4,1,30.300000,30.300000000
Children Act (Public),North West,4 Neither,2015-Q4,1,15.700000,15.700000000
Children Act (Public),North West,All types,2015-Q4,579,23.500000,23.600000000
Children Act (Public),South East,1 Both,2015-Q4,532,28.300000,25.000000000
Children Act (Public),South East,2 Applicant Only,2015-Q4,118,10.800000,7.100000000
Children Act (Public),South East,3 Respondent Only,2015-Q4,10,16.200000,14.900000000
Children Act (Public),South East,4 Neither,2015-Q4,8,10.400000,6.300000000
Children Act (Public),South East,All types,2015-Q4,668,24.800000,23.600000000
Children Act (Public),South West,1 Both,2015-Q4,361,27.300000,24.600000000
Children Act (Public),South West,2 Applicant Only,2015-Q4,30,12.900000,10.200000000
Children Act (Public),South West,3 Respondent Only,2015-Q4,3,19.500000,20.300000000
Children Act (Public),South West,All types,2015-Q4,394,26.100000,24.300000000
Children Act (Public),Wales,1 Both,2015-Q4,171,24.600000,23.700000000
Children Act (Public),Wales,2 Applicant Only,2015-Q4,36,16.400000,14.200000000
Children Act (Public),Wales,3 Respondent Only,2015-Q4,22,25.400000,25.600000000
Children Act (Public),Wales,4 Neither,2015-Q4,5,12.400000,14.000000000
Children Act (Public),Wales,All types,2015-Q4,234,23.200000,23.000000000
Children Act (Public),England & Wales,1 Both,2016-Q1,2870,27.300000,24.900000000
Children Act (Public),England & Wales,2 Applicant Only,2016-Q1,573,13.500000,10.400000000
Children Act (Public),England & Wales,3 Respondent Only,2016-Q1,41,30.300000,25.600000000
Children Act (Public),England & Wales,4 Neither,2016-Q1,22,15.500000,12.500000000
Children Act (Public),England & Wales,All types,2016-Q1,3506,25.000000,24.000000000
Children Act (Public),London,1 Both,2016-Q1,356,29.800000,26.700000000
Children Act (Public),London,2 Applicant Only,2016-Q1,79,15.700000,14.000000000
Children Act (Public),London,3 Respondent Only,2016-Q1,7,29.800000,31.100000000
Children Act (Public),London,4 Neither,2016-Q1,5,11.800000,13.000000000
Children Act (Public),London,All types,2016-Q1,447,27.100000,25.700000000
Children Act (Public),Midlands,1 Both,2016-Q1,529,28.800000,25.100000000
Children Act (Public),Midlands,2 Applicant Only,2016-Q1,79,15.400000,12.600000000
Children Act (Public),Midlands,3 Respondent Only,2016-Q1,1,25.400000,25.400000000
Children Act (Public),Midlands,4 Neither,2016-Q1,4,24.900000,20.300000000
Children Act (Public),Midlands,All types,2016-Q1,613,27.100000,24.700000000
Children Act (Public),North East,1 Both,2016-Q1,514,26.700000,24.100000000
Children Act (Public),North East,2 Applicant Only,2016-Q1,121,11.400000,9.100000000
Children Act (Public),North East,3 Respondent Only,2016-Q1,4,47.300000,27.600000000
Children Act (Public),North East,4 Neither,2016-Q1,3,21.200000,21.100000000
Children Act (Public),North East,All types,2016-Q1,642,23.900000,23.100000000
Children Act (Public),North West,1 Both,2016-Q1,433,26.200000,24.700000000
Children Act (Public),North West,2 Applicant Only,2016-Q1,115,14.400000,12.300000000
Children Act (Public),North West,4 Neither,2016-Q1,3,13.700000,10.100000000
Children Act (Public),North West,All types,2016-Q1,551,23.700000,23.100000000
Children Act (Public),South East,1 Both,2016-Q1,514,27.200000,25.600000000
Children Act (Public),South East,2 Applicant Only,2016-Q1,94,12.300000,5.500000000
Children Act (Public),South East,3 Respondent Only,2016-Q1,3,16.900000,16.700000000
Children Act (Public),South East,4 Neither,2016-Q1,1,0.000000,0.000000000
Children Act (Public),South East,All types,2016-Q1,612,24.800000,24.800000000
Children Act (Public),South West,1 Both,2016-Q1,359,26.300000,24.000000000
Children Act (Public),South West,2 Applicant Only,2016-Q1,50,12.700000,7.200000000
Children Act (Public),South West,3 Respondent Only,2016-Q1,6,21.700000,20.600000000
Children Act (Public),South West,4 Neither,2016-Q1,3,6.700000,5.400000000
Children Act (Public),South West,All types,2016-Q1,418,24.500000,23.300000000
Children Act (Public),Wales,1 Both,2016-Q1,165,24.200000,24.000000000
Children Act (Public),Wales,2 Applicant Only,2016-Q1,35,13.000000,10.400000000
Children Act (Public),Wales,3 Respondent Only,2016-Q1,20,31.900000,25.600000000
Children Act (Public),Wales,4 Neither,2016-Q1,3,19.100000,12.000000000
Children Act (Public),Wales,All types,2016-Q1,223,23.100000,23.300000000
Children Act (Public),England & Wales,1 Both,2016-Q2,3203,26.800000,24.900000000
Children Act (Public),England & Wales,2 Applicant Only,2016-Q2,631,13.200000,10.100000000
Children Act (Public),England & Wales,3 Respondent Only,2016-Q2,54,26.400000,24.100000000
Children Act (Public),England & Wales,4 Neither,2016-Q2,37,10.200000,5.600000000
Children Act (Public),England & Wales,All types,2016-Q2,3925,24.400000,23.700000000
Children Act (Public),London,1 Both,2016-Q2,454,27.900000,25.700000000
Children Act (Public),London,2 Applicant Only,2016-Q2,96,16.800000,17.100000000
Children Act (Public),London,3 Respondent Only,2016-Q2,3,20.500000,7.100000000
Children Act (Public),London,4 Neither,2016-Q2,6,16.200000,16.000000000
Children Act (Public),London,All types,2016-Q2,559,25.800000,25.100000000
Children Act (Public),Midlands,1 Both,2016-Q2,540,30.700000,25.700000000
Children Act (Public),Midlands,2 Applicant Only,2016-Q2,121,14.400000,10.400000000
Children Act (Public),Midlands,3 Respondent Only,2016-Q2,2,25.300000,25.300000000
Children Act (Public),Midlands,4 Neither,2016-Q2,2,12.100000,12.100000000
Children Act (Public),Midlands,All types,2016-Q2,665,27.600000,24.600000000
Children Act (Public),North East,1 Both,2016-Q2,560,26.300000,24.400000000
Children Act (Public),North East,2 Applicant Only,2016-Q2,101,11.300000,8.700000000
Children Act (Public),North East,3 Respondent Only,2016-Q2,2,16.800000,16.800000000
Children Act (Public),North East,4 Neither,2016-Q2,10,10.500000,7.800000000
Children Act (Public),North East,All types,2016-Q2,673,23.800000,23.300000000
Children Act (Public),North West,1 Both,2016-Q2,522,25.500000,24.100000000
Children Act (Public),North West,2 Applicant Only,2016-Q2,106,13.200000,10.600000000
Children Act (Public),North West,3 Respondent Only,2016-Q2,1,18.000000,18.000000000
Children Act (Public),North West,4 Neither,2016-Q2,4,18.600000,19.400000000
Children Act (Public),North West,All types,2016-Q2,633,23.300000,23.000000000
Children Act (Public),South East,1 Both,2016-Q2,564,26.700000,24.700000000
Children Act (Public),South East,2 Applicant Only,2016-Q2,127,11.600000,9.600000000
Children Act (Public),South East,3 Respondent Only,2016-Q2,4,38.400000,33.800000000
Children Act (Public),South East,4 Neither,2016-Q2,11,5.400000,2.900000000
Children Act (Public),South East,All types,2016-Q2,706,23.700000,23.700000000
Children Act (Public),South West,1 Both,2016-Q2,376,24.300000,23.700000000
Children Act (Public),South West,2 Applicant Only,2016-Q2,39,10.800000,6.600000000
Children Act (Public),South West,3 Respondent Only,2016-Q2,14,19.100000,21.200000000
Children Act (Public),South West,4 Neither,2016-Q2,1,3.300000,3.300000000
Children Act (Public),South West,All types,2016-Q2,430,22.900000,23.100000000
Children Act (Public),Wales,1 Both,2016-Q2,187,23.200000,23.600000000
Children Act (Public),Wales,2 Applicant Only,2016-Q2,41,12.500000,12.900000000
Children Act (Public),Wales,3 Respondent Only,2016-Q2,28,30.000000,25.000000000
Children Act (Public),Wales,4 Neither,2016-Q2,3,4.300000,1.600000000
Children Act (Public),Wales,All types,2016-Q2,259,22.100000,22.100000000
Children Act (Public),England & Wales,1 Both,2016-Q3,3277,26.200000,24.100000000
Children Act (Public),England & Wales,2 Applicant Only,2016-Q3,639,14.000000,10.700000000
Children Act (Public),England & Wales,3 Respondent Only,2016-Q3,38,29.300000,22.000000000
Children Act (Public),England & Wales,4 Neither,2016-Q3,33,14.000000,11.700000000
Children Act (Public),England & Wales,All types,2016-Q3,3987,24.200000,23.100000000
Children Act (Public),London,1 Both,2016-Q3,398,28.500000,25.100000000
Children Act (Public),London,2 Applicant Only,2016-Q3,105,15.800000,12.000000000
Children Act (Public),London,3 Respondent Only,2016-Q3,3,77.700000,51.600000000
Children Act (Public),London,4 Neither,2016-Q3,2,11.500000,11.500000000
Children Act (Public),London,All types,2016-Q3,508,26.100000,24.100000000
Children Act (Public),Midlands,1 Both,2016-Q3,559,26.600000,24.000000000
Children Act (Public),Midlands,2 Applicant Only,2016-Q3,100,15.600000,13.700000000
Children Act (Public),Midlands,3 Respondent Only,2016-Q3,1,16.400000,16.400000000
Children Act (Public),Midlands,4 Neither,2016-Q3,6,13.300000,6.200000000
Children Act (Public),Midlands,All types,2016-Q3,666,24.800000,22.700000000
Children Act (Public),North East,1 Both,2016-Q3,591,26.600000,24.100000000
Children Act (Public),North East,2 Applicant Only,2016-Q3,98,11.800000,9.200000000
Children Act (Public),North East,3 Respondent Only,2016-Q3,3,28.600000,24.300000000
Children Act (Public),North East,4 Neither,2016-Q3,7,7.400000,1.100000000
Children Act (Public),North East,All types,2016-Q3,699,24.400000,23.400000000
Children Act (Public),North West,1 Both,2016-Q3,500,25.000000,24.100000000
Children Act (Public),North West,2 Applicant Only,2016-Q3,133,14.500000,11.300000000
Children Act (Public),North West,3 Respondent Only,2016-Q3,2,19.400000,19.400000000
Children Act (Public),North West,4 Neither,2016-Q3,6,26.500000,26.300000000
Children Act (Public),North West,All types,2016-Q3,641,22.800000,22.900000000
Children Act (Public),South East,1 Both,2016-Q3,611,27.200000,24.900000000
Children Act (Public),South East,2 Applicant Only,2016-Q3,112,13.200000,7.200000000
Children Act (Public),South East,3 Respondent Only,2016-Q3,5,21.700000,20.100000000
Children Act (Public),South East,4 Neither,2016-Q3,4,9.200000,6.200000000
Children Act (Public),South East,All types,2016-Q3,732,24.900000,24.000000000
Children Act (Public),South West,1 Both,2016-Q3,391,25.000000,23.900000000
Children Act (Public),South West,2 Applicant Only,2016-Q3,57,10.500000,5.100000000
Children Act (Public),South West,3 Respondent Only,2016-Q3,13,22.900000,21.900000000
Children Act (Public),South West,4 Neither,2016-Q3,3,17.000000,0.600000000
Children Act (Public),South West,All types,2016-Q3,464,23.100000,22.600000000
Children Act (Public),Wales,1 Both,2016-Q3,227,22.300000,23.100000000
Children Act (Public),Wales,2 Applicant Only,2016-Q3,34,16.900000,15.700000000
Children Act (Public),Wales,3 Respondent Only,2016-Q3,11,30.300000,29.600000000
Children Act (Public),Wales,4 Neither,2016-Q3,5,12.400000,14.700000000
Children Act (Public),Wales,All types,2016-Q3,277,21.800000,22.400000000
Children Act (Public),England & Wales,1 Both,2016-Q4,3334,26.600000,24.600000000
Children Act (Public),England & Wales,2 Applicant Only,2016-Q4,644,13.800000,12.100000000
Children Act (Public),England & Wales,3 Respondent Only,2016-Q4,55,26.000000,24.700000000
Children Act (Public),England & Wales,4 Neither,2016-Q4,46,16.000000,10.200000000
Children Act (Public),England & Wales,All types,2016-Q4,4079,24.500000,23.600000000
Children Act (Public),London,1 Both,2016-Q4,463,27.300000,25.100000000
Children Act (Public),London,2 Applicant Only,2016-Q4,102,17.500000,17.900000000
Children Act (Public),London,3 Respondent Only,2016-Q4,5,13.400000,2.100000000
Children Act (Public),London,4 Neither,2016-Q4,9,18.300000,9.400000000
Children Act (Public),London,All types,2016-Q4,579,25.300000,24.700000000
Children Act (Public),Midlands,1 Both,2016-Q4,556,26.900000,24.100000000
Children Act (Public),Midlands,2 Applicant Only,2016-Q4,84,13.900000,12.500000000
Children Act (Public),Midlands,3 Respondent Only,2016-Q4,2,28.400000,28.400000000
Children Act (Public),Midlands,4 Neither,2016-Q4,5,21.700000,13.000000000
Children Act (Public),Midlands,All types,2016-Q4,647,25.200000,23.000000000
Children Act (Public),North East,1 Both,2016-Q4,650,26.600000,24.300000000
Children Act (Public),North East,2 Applicant Only,2016-Q4,100,12.400000,9.700000000
Children Act (Public),North East,3 Respondent Only,2016-Q4,8,17.400000,20.200000000
Children Act (Public),North East,4 Neither,2016-Q4,8,11.500000,9.400000000
Children Act (Public),North East,All types,2016-Q4,766,24.500000,23.600000000
Children Act (Public),North West,1 Both,2016-Q4,486,26.000000,24.900000000
Children Act (Public),North West,2 Applicant Only,2016-Q4,137,14.200000,12.300000000
Children Act (Public),North West,3 Respondent Only,2016-Q4,1,20.600000,20.600000000
Children Act (Public),North West,4 Neither,2016-Q4,8,13.400000,10.200000000
Children Act (Public),North West,All types,2016-Q4,632,23.300000,23.000000000
Children Act (Public),South East,1 Both,2016-Q4,563,27.800000,25.000000000
Children Act (Public),South East,2 Applicant Only,2016-Q4,117,13.400000,11.400000000
Children Act (Public),South East,3 Respondent Only,2016-Q4,7,27.900000,26.300000000
Children Act (Public),South East,4 Neither,2016-Q4,7,1.600000,0.100000000
Children Act (Public),South East,All types,2016-Q4,694,25.100000,24.300000000
Children Act (Public),South West,1 Both,2016-Q4,388,26.700000,23.900000000
Children Act (Public),South West,2 Applicant Only,2016-Q4,63,11.000000,7.900000000
Children Act (Public),South West,3 Respondent Only,2016-Q4,13,28.300000,25.700000000
Children Act (Public),South West,4 Neither,2016-Q4,6,32.000000,15.800000000
Children Act (Public),South West,All types,2016-Q4,470,24.700000,23.100000000
Children Act (Public),Wales,1 Both,2016-Q4,228,22.900000,23.400000000
Children Act (Public),Wales,2 Applicant Only,2016-Q4,41,11.900000,10.100000000
Children Act (Public),Wales,3 Respondent Only,2016-Q4,19,30.800000,25.400000000
Children Act (Public),Wales,4 Neither,2016-Q4,3,19.700000,18.700000000
Children Act (Public),Wales,All types,2016-Q4,291,21.900000,23.000000000
Children Act (Public),England & Wales,1 Both,2017-Q1,3346,27.700000,25.100000000
Children Act (Public),England & Wales,2 Applicant Only,2017-Q1,665,14.400000,12.600000000
Children Act (Public),England & Wales,3 Respondent Only,2017-Q1,58,22.900000,24.100000000
Children Act (Public),England & Wales,4 Neither,2017-Q1,37,14.100000,12.000000000
Children Act (Public),England & Wales,All types,2017-Q1,4106,25.400000,24.300000000
Children Act (Public),London,1 Both,2017-Q1,444,30.100000,27.100000000
