stage,year,quarter,case_type,law,count,mean_weeks,median_weeks
Decree Absolute,,2019 Q2,Paper,Old,24221,58.167,40.857
Decree Absolute,,2008 Q2,Paper,Old,30851,47.813,33.714
Decree Absolute,,2014 Q1,Paper,Old,29141,49.378,31.714
Decree Absolute,,2020 Q1,Paper,Old,23063,63.607,45.286
Decree Absolute,,2020 Q1,Digital,Old,7111,17.898,17.429
Decree Absolute,,2009 Q4,Paper,Old,29883,47.451,31
Decree Absolute,,2024 Q1,Digital,Old,1457,128.491,120.571
Decree Absolute,,2025 Q1,Paper,Old,1111,314.093,263.429
Decree Absolute,,2024 Q1,Digital,New,20929,47.083,39.714
Decree Absolute,,2024 Q3,Digital,New,23745,47.948,37.143
Decree Absolute,,2022 Q4,Digital,New,7447,32.835,32.571
Decree Absolute,,2023 Q2,Digital,New,19681,37.211,34.286
Decree Absolute,,2025 Q4,Digital,New,25727,53.884,37.143
Decree Absolute,,2024 Q2,Digital,New,24473,46.42,37.857
Decree Absolute,,2025 Q3,Digital,Old,464,206.576,200
Decree Absolute,,2024 Q3,Paper,New,1319,55.033,47.857
Decree Absolute,,2023 Q3,Paper,New,878,49.382,47.857
Decree Absolute,,2019 Q4,Paper,Old,30143,53.949,38.286
Decree Absolute,,2021 Q4,Paper,Old,9289,104.347,80.857
Decree Absolute,,2015 Q4,Paper,Old,22570,51.613,31
Decree Absolute,,2010 Q4,Paper,Old,30269,48.988,31
Decree Absolute,,2013 Q2,Paper,Old,28181,50.476,32
Decree Absolute,,2023 Q1,Paper,Old,5477,148.212,117.429
Decree Absolute,,2021 Q1,Paper,Old,15095,80.124,60.571
Decree Absolute,,2008 Q3,Paper,Old,30593,47.789,31.143
Decree Absolute,,2023 Q2,Digital,Old,3283,90.823,84.571
Decree Absolute,,2016 Q3,Paper,Old,27593,48.14,29.143
Decree Absolute,,2022 Q4,Digital,Old,4877,58.482,49.857
Decree Absolute,,2009 Q1,Paper,Old,28705,48.43,32.571
Decree Absolute,,2006 Q4,Paper,Old,32341,45.768,31.286
Decree Absolute,,2024 Q1,Paper,Old,2130,229.215,188.571
Decree Absolute,,2014 Q2,Paper,Old,27719,49.202,30.286
Decree Absolute,,2008 Q4,Paper,Old,28838,46.983,31
Decree Absolute,,2018 Q2,Paper,Old,22639,55.093,34.571
Decree Absolute,,2006 Q1,Paper,Old,34240,45.682,31.714
Decree Absolute,,2014 Q4,Paper,Old,27135,48.637,28.571
Decree Absolute,,2019 Q4,Digital,Old,155,16.43,16.714
Decree Absolute,,2022 Q4,Paper,New,1,36,36
Decree Absolute,,2020 Q3,Paper,Old,14256,73.404,54.714
Decree Absolute,,2003 Q4,Paper,Old,37652,43.375,31.286
Decree Absolute,,2011 Q3,Paper,Old,30174,47.82,31.857
Decree Absolute,,2022 Q1,Paper,Old,8445,106.866,80.857
Decree Absolute,,2007 Q3,Paper,Old,33129,45.944,31.286
Decree Absolute,,2019 Q3,Paper,Old,28821,54.972,39.857
Decree Absolute,,2007 Q2,Paper,Old,33129,45.835,31.571
Decree Absolute,,2005 Q3,Paper,Old,35876,45.077,31.143
Decree Absolute,,2005 Q2,Paper,Old,36349,45.257,31.571
Decree Absolute,,2019 Q1,Paper,Old,23968,60.482,39.857
Decree Absolute,,2010 Q2,Paper,Old,29764,48.449,32.357
Decree Absolute,,2006 Q3,Paper,Old,32816,45.945,31.429
Decree Absolute,,2005 Q4,Paper,Old,33254,45.353,31.143
Decree Absolute,,2013 Q1,Paper,Old,28683,49.039,31.143
Decree Absolute,,2015 Q2,Paper,Old,26213,48.117,28.857
Decree Absolute,,2021 Q3,Paper,Old,12020,94.78,73.286
Decree Absolute,,2024 Q2,Digital,Old,1571,142.37,133.429
Decree Absolute,,2020 Q4,Digital,Old,10936,19.572,16
Decree Absolute,,2023 Q4,Digital,Old,2033,115.969,108.857
Decree Absolute,,2022 Q3,Paper,Old,6460,125.065,95.357
Decree Absolute,,2023 Q1,Digital,Old,3786,72.088,62
Decree Absolute,,2025 Q2,Digital,Old,613,197.007,190.143
Decree Absolute,,2024 Q4,Digital,Old,1000,169.212,160.643
Decree Absolute,,2025 Q2,Paper,Old,960,361.373,296.214
Decree Absolute,,2023 Q1,Digital,New,18011,35.937,34.714
Decree Absolute,,2025 Q2,Digital,New,25490,54.83,41.143
Decree Absolute,,2023 Q3,Digital,New,19346,39.635,34.429
Decree Absolute,,2025 Q1,Digital,New,19349,57.021,42.429
Decree Absolute,,2025 Q4,Paper,New,869,65.296,50.143
Decree Absolute,,2023 Q1,Paper,New,186,42.065,41.929
Decree Absolute,,2025 Q3,Paper,New,939,65.196,53.143
Decree Absolute,,2015 Q3,Paper,Old,26303,48.216,28.286
Decree Absolute,,2012 Q2,Paper,Old,29549,48.795,31.571
Decree Absolute,,2012 Q3,Paper,Old,30191,48.946,31
Decree Absolute,,2010 Q3,Paper,Old,30520,48.095,31.429
Decree Absolute,,2011 Q2,Paper,Old,29026,49.003,32.429
Decree Absolute,,2008 Q1,Paper,Old,31977,47.622,33.714
Decree Absolute,,2003 Q1,Paper,Old,38811,42.121,31.143
Decree Absolute,,2009 Q2,Paper,Old,27283,48.314,32.571
Decree Absolute,,2005 Q1,Paper,Old,35922,44.748,31.286
Decree Absolute,,2020 Q3,Digital,Old,9369,16.311,13.143
Decree Absolute,,2022 Q2,Paper,Old,6215,114.667,83
Decree Absolute,,2020 Q2,Paper,Old,14454,66.498,47.429
Decree Absolute,,2016 Q2,Paper,Old,29117,48.597,30
Decree Absolute,,2012 Q1,Paper,Old,31612,49.037,31.714
Decree Absolute,,2022 Q3,Digital,Old,13264,36.791,27.714
Decree Absolute,,2018 Q1,Paper,Old,24047,52.254,32
Decree Absolute,,2003 Q3,Paper,Old,37853,42.704,30.714
Decree Absolute,,2004 Q3,Paper,Old,38899,43.747,30.143
Decree Absolute,,2025 Q1,Digital,Old,751,183.768,174.429
Decree Absolute,,2020 Q2,Digital,Old,10383,16.153,14
Decree Absolute,,2010 Q1,Paper,Old,30280,47.246,31.714
Decree Absolute,,2021 Q1,Digital,Old,15038,20.709,17
Decree Absolute,,2017 Q2,Paper,Old,26493,49.059,30
Decree Absolute,,2006 Q2,Paper,Old,32913,45.516,31.714
Decree Absolute,,2024 Q3,Digital,Old,862,156.592,148.143
Decree Absolute,,2023 Q2,Paper,Old,3786,164.862,134.429
Decree Absolute,,2024 Q3,Paper,Old,1347,271.057,225.571
Decree Absolute,,2025 Q4,Digital,Old,392,223.71,217
Decree Absolute,,2024 Q4,Paper,Old,1286,293.79,241.786
Decree Absolute,,2025 Q4,Paper,Old,729,365.705,309.857
Decree Absolute,,2023 Q2,Paper,New,581,46.379,46
Decree Absolute,,2025 Q1,Paper,New,895,61.179,51.714
Decree Absolute,,2023 Q4,Paper,New,843,52.459,49.857
Decree Absolute,,2025 Q2,Paper,New,1101,63.53,53.857
Decree Absolute,,2004 Q1,Paper,Old,39091,44.208,31.857
Decree Absolute,,2021 Q3,Digital,Old,15369,22.853,16
Decree Absolute,,2007 Q4,Paper,Old,27809,46.594,31.286
Decree Absolute,,2011 Q4,Paper,Old,29424,48.681,32
Decree Absolute,,2016 Q4,Paper,Old,24810,52.857,30.714
Decree Absolute,,2003 Q2,Paper,Old,37920,41.979,30.857
Decree Absolute,,2022 Q1,Digital,Old,15467,27.988,18.714
Decree Absolute,,2016 Q1,Paper,Old,26735,50.997,31.429
Decree Absolute,,2012 Q4,Paper,Old,29164,49.061,31
Decree Absolute,,2018 Q4,Paper,Old,24102,56.228,36.857
Decree Absolute,,2020 Q4,Paper,Old,14403,80.063,60.143
Decree Absolute,,2014 Q3,Paper,Old,27805,49.669,29.143
Decree Absolute,,2007 Q1,Paper,Old,34612,46.189,31.571
Decree Absolute,,2009 Q3,Paper,Old,29144,47.862,31.714
Decree Absolute,,2021 Q4,Digital,Old,16464,23.083,15.429
Decree Absolute,,2018 Q3,Paper,Old,21195,57.133,37.143
Decree Absolute,,2022 Q2,Digital,Old,13501,28.883,18.857
Decree Absolute,,2013 Q3,Paper,Old,29808,50.728,30.143
Decree Absolute,,2025 Q3,Paper,Old,827,358.398,307.571
Decree Absolute,,2021 Q2,Paper,Old,13942,82.042,61
Decree Absolute,,2013 Q4,Paper,Old,28195,49.477,30.857
Decree Absolute,,2004 Q4,Paper,Old,36891,43.992,31
Decree Absolute,,2023 Q3,Paper,Old,3312,186.822,152
Decree Absolute,,2011 Q1,Paper,Old,30864,48.999,32.714
Decree Absolute,,2022 Q4,Paper,Old,4740,127.731,98.571
Decree Absolute,,2024 Q2,Paper,Old,1540,257.222,212
Decree Absolute,,2023 Q3,Digital,Old,2274,102.869,96.143
Decree Absolute,,2023 Q4,Paper,Old,2600,204.774,165.929
Decree Absolute,,2025 Q3,Digital,New,25487,55.519,40.143
Decree Absolute,,2023 Q4,Digital,New,17398,43.405,36.857
Decree Absolute,,2024 Q4,Digital,New,19855,51.865,38.429
Decree Absolute,,2024 Q1,Paper,New,1206,55.24,50.857
Decree Absolute,,2024 Q2,Paper,New,1444,54.122,48.643
Decree Absolute,,2024 Q4,Paper,New,1274,56.355,47
Petition,,2021 Q2,All,All,27631,,
Petition,,2011 Q3,All,All,34516,,
Petition,,2005 Q2,All,All,38927,,
Petition,,2009 Q4,All,All,32418,,
Petition,,2008 Q3,All,All,32461,,
Petition,,2007 Q2,All,All,35365,,
Petition,,2005 Q1,All,All,37385,,
Petition,,2015 Q3,All,All,28357,,
Petition,,2018 Q4,All,All,28398,,
Petition,,2014 Q2,All,All,27595,,
Petition,,2003 Q2,All,All,41501,,
Petition,,2007 Q3,All,All,35701,,
Petition,,2013 Q1,All,All,30890,,
Petition,,2015 Q4,All,All,29478,,
Petition,,2006 Q4,All,All,35301,,
Petition,,2019 Q2,All,All,28295,,
Petition,,2019 Q1,All,All,30344,,
Petition,,2022 Q1,All,All,30281,,
Petition,,2007 Q1,All,All,37951,,
Petition,,2008 Q2,All,All,33376,,
Petition,,2024 Q4,All,All,25111,,
Petition,,2024 Q1,All,All,29797,,
Petition,,2024 Q2,All,All,27454,,
Petition,,2016 Q4,All,All,27209,,
Petition,,2015 Q1,All,All,28589,,
Petition,,2019 Q3,All,All,30468,,
Petition,,2017 Q1,All,All,28518,,
Petition,,2010 Q1,All,All,34525,,
Petition,,2021 Q4,All,All,23151,,
Petition,,2011 Q4,All,All,30604,,
Petition,,2004 Q2,All,All,40464,,
Petition,,2018 Q3,All,All,30337,,
Petition,,2011 Q2,All,All,29483,,
Petition,,2004 Q1,All,All,44819,,
Petition,,2014 Q1,All,All,28532,,
Petition,,2009 Q2,All,All,32497,,
Petition,,2012 Q1,All,All,33688,,
Petition,,2008 Q1,All,All,32814,,
Petition,,2013 Q2,All,All,32023,,
Petition,,2022 Q2,All,All,35429,,
Petition,,2023 Q2,All,All,28222,,
Petition,,2023 Q1,All,All,31431,,
Petition,,2021 Q1,All,All,30899,,
Petition,,2009 Q1,All,All,32579,,
Petition,,2012 Q2,All,All,30495,,
Petition,,2011 Q1,All,All,34655,,
Petition,,2009 Q3,All,All,34402,,
Petition,,2007 Q4,All,All,26836,,
Petition,,2013 Q4,All,All,26141,,
Petition,,2017 Q2,All,All,27094,,
Petition,,2019 Q4,All,All,27521,,
Petition,,2017 Q4,All,All,25780,,
Petition,,2021 Q3,All,All,26851,,
Petition,,2003 Q1,All,All,45536,,
Petition,,2008 Q4,All,All,29920,,
Petition,,2006 Q3,All,All,37045,,
Petition,,2020 Q1,All,All,29684,,
Petition,,2010 Q2,All,All,33380,,
Petition,,2010 Q4,All,All,30669,,
Petition,,2012 Q4,All,All,29163,,
Petition,,2025 Q3,All,All,27498,,
Petition,,2023 Q4,All,All,24655,,
Petition,,2024 Q3,All,All,28066,,
Petition,,2025 Q4,All,All,23901,,
Petition,,2025 Q1,All,All,30171,,
Petition,,2003 Q3,All,All,42889,,
Petition,,2014 Q3,All,All,29131,,
Petition,,2020 Q4,All,All,30514,,
Petition,,2016 Q2,All,All,30282,,
Petition,,2006 Q1,All,All,38167,,
Petition,,2004 Q4,All,All,38432,,
Petition,,2003 Q4,All,All,40815,,
Petition,,2018 Q1,All,All,27406,,
Petition,,2012 Q3,All,All,31049,,
Petition,,2005 Q4,All,All,35572,,
Petition,,2020 Q2,All,All,24057,,
Petition,,2013 Q3,All,All,28429,,
Petition,,2005 Q3,All,All,37937,,
Petition,,2018 Q2,All,All,32205,,
Petition,,2004 Q3,All,All,41418,,
Petition,,2017 Q3,All,All,27874,,
Petition,,2010 Q3,All,All,34694,,
Petition,,2014 Q4,All,All,27301,,
Petition,,2016 Q3,All,All,27529,,
Petition,,2006 Q2,All,All,36252,,
Petition,,2015 Q2,All,All,28080,,
Petition,,2016 Q1,All,All,29019,,
Petition,,2020 Q3,All,All,28815,,
Petition,,2025 Q2,All,All,27614,,
Petition,,2022 Q3,All,All,31026,,
Petition,,2023 Q3,All,All,28765,,
Petition,,2022 Q4,All,All,25748,,
Petition,2015,,All,All,114504,,
Petition,2019,,All,All,116628,,
Petition,2011,,All,All,129258,,
Petition,2012,,All,All,124395,,
Petition,2008,,All,All,128571,,
Petition,2013,,All,All,117483,,
Petition,2023,,All,All,113073,,
Petition,2016,,All,All,114039,,
Petition,2003,,All,All,170741,,
Petition,2009,,All,All,131896,,
Petition,2014,,All,All,112559,,
Petition,2020,,All,All,113070,,
Petition,2017,,All,All,109266,,
Petition,2010,,All,All,133268,,
Petition,2004,,All,All,165133,,
Petition,2022,,All,All,122484,,
Petition,2024,,All,All,110428,,
Petition,2021,,All,All,108532,,
Petition,2005,,All,All,149821,,
Petition,2018,,All,All,118346,,
Petition,2025,,All,All,109184,,
Petition,2007,,All,All,135853,,
Petition,2006,,All,All,146765,,
Petition,,2015 Q4,Paper,All,29478,,
Petition,,2003 Q2,Paper,All,41501,,
Petition,,2020 Q3,Paper,All,10971,,
Petition,,2006 Q1,Paper,All,38167,,
Petition,,2009 Q2,Paper,All,32497,,
Petition,,2019 Q2,Paper,All,28295,,
Petition,,2004 Q1,Paper,All,44819,,
Petition,,2016 Q2,Paper,All,30282,,
Petition,,2014 Q3,Paper,All,29131,,
Petition,,2003 Q1,Paper,All,45536,,
Petition,,2011 Q4,Paper,All,30604,,
Petition,,2013 Q3,Paper,All,28429,,
Petition,,2009 Q4,Paper,All,32418,,
Petition,,2020 Q4,Paper,All,12915,,
Petition,,2019 Q3,Digital,All,3147,,
Petition,,2011 Q3,Paper,All,34516,,
Petition,,2013 Q4,Paper,All,26141,,
Petition,,2019 Q4,Digital,All,9293,,
Petition,,2023 Q2,Digital,All,26710,,
Petition,,2025 Q2,Paper,All,869,,
Petition,,2024 Q2,Digital,All,26407,,
Petition,,2024 Q2,Paper,All,1047,,
Petition,,2011 Q1,Paper,All,34655,,
Petition,,2017 Q4,Paper,All,25780,,
Petition,,2015 Q2,Paper,All,28080,,
Petition,,2007 Q1,Paper,All,37951,,
Petition,,2012 Q3,Paper,All,31049,,
Petition,,2004 Q2,Paper,All,40464,,
Petition,,2005 Q2,Paper,All,38927,,
Petition,,2010 Q2,Paper,All,33380,,
Petition,,2010 Q1,Paper,All,34525,,
Petition,,2018 Q3,Paper,All,30337,,
Petition,,2018 Q2,Paper,All,32205,,
Petition,,2020 Q4,Digital,All,17599,,
Petition,,2005 Q3,Paper,All,37937,,
Petition,,2012 Q4,Paper,All,29163,,
Petition,,2021 Q4,Digital,All,19547,,
Petition,,2014 Q1,Paper,All,28532,,
Petition,,2006 Q2,Paper,All,36252,,
Petition,,2021 Q4,Paper,All,3604,,
Petition,,2021 Q1,Digital,All,21279,,
Petition,,2009 Q3,Paper,All,34402,,
Petition,,2019 Q1,Paper,All,30344,,
Petition,,2020 Q1,Digital,All,12226,,
Petition,,2007 Q4,Paper,All,26836,,
Petition,,2020 Q2,Digital,All,13516,,
Petition,,2024 Q4,Digital,All,24391,,
Petition,,2022 Q3,Digital,All,29634,,
Petition,,2025 Q3,Digital,All,26645,,
Petition,,2025 Q1,Digital,All,29345,,
Petition,,2025 Q2,Digital,All,26745,,
Petition,,2024 Q3,Digital,All,27207,,
Petition,,2023 Q4,Paper,All,1347,,
Petition,,2023 Q3,Paper,All,1485,,
Petition,,2022 Q3,Paper,All,1392,,
Petition,,2022 Q4,Paper,All,1181,,
Petition,,2024 Q1,Paper,All,1508,,
Petition,,2022 Q1,Digital,All,26531,,
Petition,,2018 Q1,Paper,All,27406,,
Petition,,2008 Q2,Paper,All,33376,,
Petition,,2006 Q3,Paper,All,37045,,
Petition,,2007 Q3,Paper,All,35701,,
Petition,,2004 Q3,Paper,All,41418,,
Petition,,2006 Q4,Paper,All,35301,,
Petition,,2015 Q3,Paper,All,28357,,
Petition,,2008 Q1,Paper,All,32814,,
Petition,,2003 Q4,Paper,All,40815,,
Petition,,2020 Q3,Digital,All,17844,,
Petition,,2012 Q1,Paper,All,33688,,
Petition,,2004 Q4,Paper,All,38432,,
Petition,,2016 Q3,Paper,All,27529,,
Petition,,2008 Q4,Paper,All,29920,,
Petition,,2007 Q2,Paper,All,35365,,
Petition,,2021 Q2,Digital,All,19842,,
Petition,,2003 Q3,Paper,All,42889,,
Petition,,2012 Q2,Paper,All,30495,,
Petition,,2010 Q4,Paper,All,30669,,
Petition,,2011 Q2,Paper,All,29483,,
Petition,,2005 Q4,Paper,All,35572,,
Petition,,2019 Q4,Paper,All,18228,,
Petition,,2017 Q1,Paper,All,28518,,
Petition,,2022 Q1,Paper,All,3750,,
Petition,,2021 Q1,Paper,All,9620,,
Petition,,2022 Q2,Paper,All,1260,,
Petition,,2022 Q4,Digital,All,24567,,
Petition,,2023 Q2,Paper,All,1512,,
Petition,,2024 Q3,Paper,All,859,,
Petition,,2023 Q4,Digital,All,23308,,
Petition,,2024 Q4,Paper,All,720,,
Petition,,2025 Q3,Paper,All,853,,
Petition,,2025 Q4,Paper,All,610,,
Petition,,2016 Q4,Paper,All,27209,,
Petition,,2021 Q3,Digital,All,21207,,
Petition,,2020 Q1,Paper,All,17458,,
Petition,,2015 Q1,Paper,All,28589,,
Petition,,2008 Q3,Paper,All,32461,,
Petition,,2017 Q3,Paper,All,27874,,
Petition,,2014 Q4,Paper,All,27301,,
Petition,,2005 Q1,Paper,All,37385,,
Petition,,2017 Q2,Paper,All,27094,,
Petition,,2013 Q2,Paper,All,32023,,
Petition,,2010 Q3,Paper,All,34694,,
Petition,,2021 Q3,Paper,All,5644,,
Petition,,2013 Q1,Paper,All,30890,,
Petition,,2014 Q2,Paper,All,27595,,
Petition,,2019 Q3,Paper,All,27321,,
Petition,,2009 Q1,Paper,All,32579,,
Petition,,2016 Q1,Paper,All,29019,,
Petition,,2020 Q2,Paper,All,10541,,
Petition,,2018 Q4,Paper,All,28398,,
Petition,,2021 Q2,Paper,All,7789,,
Petition,,2023 Q1,Digital,All,29980,,
Petition,,2025 Q4,Digital,All,23291,,
Petition,,2022 Q2,Digital,All,34169,,
Petition,,2023 Q3,Digital,All,27280,,
Petition,,2024 Q1,Digital,All,28289,,
Petition,,2023 Q1,Paper,All,1451,,
Petition,,2025 Q1,Paper,All,826,,
Decree Nisi,,2009 Q2,All,Old,28073,25.405,16.714
Decree Nisi,,2007 Q3,All,Old,33869,25.16,17
Decree Nisi,,2014 Q1,All,Old,27110,24.924,16.286
Decree Nisi,,2014 Q2,All,Old,27195,24.046,14.857
Decree Nisi,,2020 Q1,All,Old,33970,27.942,20
Decree Nisi,,2004 Q4,All,Old,35120,24.476,16.429
Decree Nisi,,2021 Q1,All,Old,32992,26.19,16.429
Decree Nisi,,2005 Q2,All,Old,36341,24.561,16
Decree Nisi,,2022 Q1,All,Old,21918,25.774,12.286
Decree Nisi,,2015 Q4,All,Old,21570,27.248,18.857
Decree Nisi,,2019 Q1,All,Old,25649,34.122,26.143
Decree Nisi,,2010 Q1,All,Old,30811,25.214,17.143
Decree Nisi,,2012 Q4,All,Old,29260,23.952,15
Decree Nisi,,2020 Q3,All,Old,24903,28.41,20.714
Decree Nisi,,2006 Q3,All,Old,33533,24.705,16.714
Decree Nisi,,2013 Q4,All,Old,27463,24.156,15.857
Decree Nisi,,2021 Q3,All,Old,24166,24.756,11.857
Decree Nisi,,2018 Q2,All,Old,21633,28.986,21
Decree Nisi,,2023 Q4,All,Old,1264,168.616,139.143
Decree Nisi,,2024 Q3,All,Old,684,215.976,177.857
Decree Nisi,,2024 Q2,All,Old,1003,200.815,166.429
Decree Nisi,,2025 Q3,All,Old,494,290.638,254.571
Decree Nisi,,2025 Q2,All,New,30383,37.246,30.286
Decree Nisi,,2025 Q4,All,New,29941,35.739,28
Decree Nisi,,2024 Q2,All,New,28347,34.444,28.143
Decree Nisi,,2025 Q3,All,New,29082,36.211,28.286
Decree Nisi,,2022 Q3,All,New,646,24.566,24.143
Decree Nisi,,2019 Q2,All,Old,26408,33.518,27.286
Decree Nisi,,2007 Q4,All,Old,31867,25.211,16.857
Decree Nisi,,2010 Q3,All,Old,33624,26.868,17
Decree Nisi,,2011 Q2,All,Old,29161,25.106,16.143
Decree Nisi,,2019 Q4,All,Old,30095,28.409,20.143
Decree Nisi,,2016 Q2,All,Old,28290,24.979,17
Decree Nisi,,2017 Q3,All,Old,24255,25.104,16.571
Decree Nisi,,2010 Q4,All,Old,31092,24.539,16.571
Decree Nisi,,2021 Q2,All,Old,30574,24.466,12.857
Decree Nisi,,2003 Q1,All,Old,39082,24.865,17.714
Decree Nisi,,2007 Q1,All,Old,34965,24.831,17
Decree Nisi,,2008 Q2,All,Old,29643,24.382,15.143
Decree Nisi,,2004 Q1,All,Old,39634,24.851,17.286
Decree Nisi,,2021 Q4,All,Old,26345,24.742,11
Decree Nisi,,2009 Q1,All,Old,28018,25.326,17.143
Decree Nisi,,2017 Q2,All,Old,25699,24.058,15.286
Decree Nisi,,2012 Q3,All,Old,31102,24.133,15.714
Decree Nisi,,2006 Q1,All,Old,34915,24.495,16.714
Decree Nisi,,2012 Q1,All,Old,31184,25.375,16.857
Decree Nisi,,2003 Q3,All,Old,40092,24.772,17.429
Decree Nisi,,2004 Q2,All,Old,38980,24.625,16.286
Decree Nisi,,2005 Q3,All,Old,36145,24.208,16
Decree Nisi,,2011 Q3,All,Old,31448,25.354,17
Decree Nisi,,2023 Q2,All,Old,2572,121.842,98.714
Decree Nisi,,2023 Q1,All,New,29619,29.665,28.143
Decree Nisi,,2024 Q1,All,New,32075,35.097,30.286
Decree Nisi,,2023 Q4,All,New,21154,34.437,30
Decree Nisi,,2003 Q4,All,Old,37956,24.519,16.857
Decree Nisi,,2010 Q2,All,Old,29750,25.265,16.429
Decree Nisi,,2005 Q4,All,Old,32318,24.22,16
Decree Nisi,,2016 Q4,All,Old,26228,27.971,18.286
Decree Nisi,,2013 Q1,All,Old,27802,24.002,15.857
Decree Nisi,,2016 Q1,All,Old,32025,24.717,18.714
Decree Nisi,,2012 Q2,All,Old,30791,24.66,15.571
Decree Nisi,,2004 Q3,All,Old,40571,24.556,16.714
Decree Nisi,,2005 Q1,All,Old,36999,24.71,17
Decree Nisi,,2011 Q4,All,Old,31259,25.146,16.143
Decree Nisi,,2018 Q4,All,Old,24621,31.237,23.857
Decree Nisi,,2008 Q1,All,Old,31114,25.687,17.571
Decree Nisi,,2011 Q1,All,Old,30366,25.473,17.143
Decree Nisi,,2025 Q2,All,Old,467,286.822,238.429
Decree Nisi,,2022 Q3,All,Old,13835,44.206,27.857
Decree Nisi,,2024 Q4,All,Old,687,239.111,199.714
Decree Nisi,,2023 Q1,All,Old,3972,101.742,80.571
Decree Nisi,,2023 Q3,All,New,20948,31.135,27
Decree Nisi,,2025 Q1,All,New,26415,38.337,32.429
Decree Nisi,,2020 Q2,All,Old,20703,23.286,14.286
Decree Nisi,,2008 Q4,All,Old,28214,24.284,16
Decree Nisi,,2006 Q2,All,Old,33087,24.676,16.143
Decree Nisi,,2007 Q2,All,Old,32412,25.124,16.714
Decree Nisi,,2017 Q4,All,Old,24364,25.507,17.429
Decree Nisi,,2009 Q3,All,Old,32476,24.657,16.571
Decree Nisi,,2003 Q2,All,Old,39080,24.71,16.857
Decree Nisi,,2016 Q3,All,Old,27580,24.455,16.571
Decree Nisi,,2020 Q4,All,Old,27073,29.604,19.571
Decree Nisi,,2014 Q3,All,Old,28150,23.533,15.143
Decree Nisi,,2009 Q4,All,Old,30780,24.411,16.286
Decree Nisi,,2022 Q2,All,Old,17827,35.957,18.143
Decree Nisi,,2013 Q2,All,Old,29063,23.935,15
Decree Nisi,,2006 Q4,All,Old,33170,24.464,16.286
Decree Nisi,,2018 Q3,All,Old,22532,31.347,24
Decree Nisi,,2017 Q1,All,Old,28802,24.729,16.714
Decree Nisi,,2013 Q3,All,Old,28958,25.909,15.714
Decree Nisi,,2014 Q4,All,Old,27201,23.061,14.571
Decree Nisi,,2019 Q3,All,Old,33088,30.82,23.571
Decree Nisi,,2015 Q2,All,Old,25709,23.713,14.429
Decree Nisi,,2015 Q1,All,Old,27449,23.479,15.429
Decree Nisi,,2015 Q3,All,Old,24354,24.622,16.143
Decree Nisi,,2018 Q1,All,Old,23205,27.269,19.286
Decree Nisi,,2008 Q3,All,Old,31566,24.624,15.857
Decree Nisi,,2022 Q4,All,Old,5148,79.436,59
Decree Nisi,,2023 Q3,All,Old,1956,146.921,121.571
Decree Nisi,,2024 Q1,All,Old,1405,180.21,147.857
Decree Nisi,,2025 Q4,All,Old,445,313.889,277.714
Decree Nisi,,2025 Q1,All,Old,460,257.033,213.286
Decree Nisi,,2024 Q3,All,New,27830,33.018,26
Decree Nisi,,2024 Q4,All,New,14993,36.219,30.857
Decree Nisi,,2022 Q4,All,New,20860,27.58,27
Decree Nisi,,2023 Q2,All,New,23457,29.07,26.143
Decree Nisi,,2008 Q4,Paper,All,28214,24.284,16
Decree Nisi,,2007 Q4,Paper,All,31867,25.211,16.857
Decree Nisi,,2006 Q2,Paper,All,33087,24.676,16.143
Decree Nisi,,2012 Q2,Paper,All,30791,24.66,15.571
Decree Nisi,,2009 Q4,Paper,All,30780,24.411,16.286
Decree Nisi,,2005 Q2,Paper,All,36341,24.561,16
Decree Nisi,,2022 Q1,Paper,All,4892,65.97,44.286
Decree Nisi,,2020 Q1,Digital,All,12220,10.63,9.857
Decree Nisi,,2012 Q4,Paper,All,29260,23.952,15
Decree Nisi,,2018 Q4,Paper,All,24621,31.237,23.857
Decree Nisi,,2012 Q3,Paper,All,31102,24.133,15.714
Decree Nisi,,2016 Q1,Paper,All,32025,24.717,18.714
Decree Nisi,,2003 Q2,Paper,All,39080,24.71,16.857
Decree Nisi,,2010 Q4,Paper,All,31092,24.539,16.571
Decree Nisi,,2020 Q4,Digital,All,13312,11.958,9.857
Decree Nisi,,2013 Q4,Paper,All,27463,24.156,15.857
Decree Nisi,,2012 Q1,Paper,All,31184,25.375,16.857
Decree Nisi,,2015 Q2,Paper,All,25709,23.713,14.429
Decree Nisi,,2020 Q3,Digital,All,12217,9.58,7.714
Decree Nisi,,2003 Q3,Paper,All,40092,24.772,17.429
Decree Nisi,,2023 Q3,Paper,All,2483,114.61,94.143
Decree Nisi,,2023 Q4,Paper,All,2054,110.366,70.786
Decree Nisi,,2025 Q4,Paper,All,1324,126.324,40.714
Decree Nisi,,2025 Q3,Digital,All,28360,36.509,28.143
Decree Nisi,,2025 Q1,Digital,All,25431,38.603,32.429
Decree Nisi,,2025 Q3,Paper,All,1216,132.624,52.929
Decree Nisi,,2024 Q2,Digital,All,27032,35.16,27.714
Decree Nisi,,2020 Q2,Digital,All,10544,8.454,7.143
Decree Nisi,,2010 Q3,Paper,All,33624,26.868,17
Decree Nisi,,2014 Q1,Paper,All,27110,24.924,16.286
Decree Nisi,,2016 Q2,Paper,All,28290,24.979,17
Decree Nisi,,2004 Q4,Paper,All,35120,24.476,16.429
