case_type,region,representation,quarter,number_of_cases,mean_duration,median_duration
Adoption,WALES,1 Both,2011-Q1,2,15.9,15.9
Adoption,WALES,1 Both,2011-Q4,1,39,39
Adoption,WALES,1 Both,2012-Q1,1,17.9,17.9
Adoption,WALES,1 Both,2012-Q2,1,17.9,17.9
Adoption,WALES,1 Both,2012-Q3,1,39.4,39.4
Adoption,WALES,1 Both,2012-Q4,1,32.6,32.6
Adoption,WALES,1 Both,2013-Q1,1,3.3,3.3
Adoption,WALES,1 Both,2013-Q3,1,20.1,20.1
Adoption,WALES,1 Both,2014-Q2,1,93.1,93.1
Adoption,WALES,1 Both,2014-Q3,1,22.6,22.6
Adoption,WALES,1 Both,2014-Q4,1,16.4,16.4
Adoption,WALES,1 Both,2015-Q1,1,41.1,41.1
Adoption,WALES,1 Both,2015-Q2,3,46.8,51
Adoption,WALES,1 Both,2015-Q3,1,1.9,1.9
Adoption,WALES,1 Both,2015-Q4,1,38.7,38.7
Adoption,WALES,1 Both,2016-Q1,1,16.7,16.7
Adoption,WALES,1 Both,2016-Q2,3,41.7,53.9
Adoption,WALES,1 Both,2016-Q4,1,31.4,31.4
Adoption,WALES,1 Both,2017-Q1,1,44.9,44.9
Adoption,WALES,1 Both,2017-Q4,3,30.5,21.7
Adoption,WALES,1 Both,2018-Q2,3,17.9,16.4
Adoption,WALES,1 Both,2018-Q3,3,21.5,20
Adoption,WALES,1 Both,2019-Q3,1,37.6,37.6
Adoption,WALES,1 Both,2020-Q1,1,27.9,27.9
Adoption,WALES,1 Both,2021-Q1,2,42.1,42.1
Adoption,WALES,1 Both,2021-Q2,2,85.4,85.4
Adoption,WALES,1 Both,2022-Q1,1,33.1,33.1
Adoption,WALES,1 Both,2023-Q3,1,41.7,41.7
Adoption,WALES,1 Both,2024-Q1,2,28.6,28.6
Adoption,WALES,1 Both,2025-Q1,1,32.3,32.3
Adoption,WALES,1 Both,2025-Q2,1,10.9,10.9
Adoption,WALES,2 Applicant Only,2011-Q1,3,22.7,23.9
Adoption,WALES,2 Applicant Only,2011-Q2,1,37.6,37.6
Adoption,WALES,2 Applicant Only,2011-Q3,2,19.1,19.1
Adoption,WALES,2 Applicant Only,2011-Q4,2,38.2,38.2
Adoption,WALES,2 Applicant Only,2012-Q1,1,12.9,12.9
Adoption,WALES,2 Applicant Only,2012-Q2,6,14.4,12.1
Adoption,WALES,2 Applicant Only,2012-Q3,1,16.4,16.4
Adoption,WALES,2 Applicant Only,2013-Q1,2,17.9,17.9
Adoption,WALES,2 Applicant Only,2013-Q2,2,26.3,26.3
Adoption,WALES,2 Applicant Only,2013-Q3,2,32.4,32.4
Adoption,WALES,2 Applicant Only,2014-Q1,4,21.7,23.4
Adoption,WALES,2 Applicant Only,2014-Q2,4,45.5,36.6
Adoption,WALES,2 Applicant Only,2014-Q3,2,26.6,26.6
Adoption,WALES,2 Applicant Only,2014-Q4,3,22.2,21.6
Adoption,WALES,2 Applicant Only,2015-Q1,3,17.3,19
Adoption,WALES,2 Applicant Only,2015-Q2,4,34.9,29.6
Adoption,WALES,2 Applicant Only,2015-Q3,2,10.3,10.3
Adoption,WALES,2 Applicant Only,2015-Q4,3,26.6,25.7
Adoption,WALES,2 Applicant Only,2016-Q1,2,19.4,19.4
Adoption,WALES,2 Applicant Only,2016-Q2,1,8.6,8.6
Adoption,WALES,2 Applicant Only,2016-Q3,4,21.1,21.5
Adoption,WALES,2 Applicant Only,2016-Q4,1,17,17
Adoption,WALES,2 Applicant Only,2017-Q1,1,7.6,7.6
Adoption,WALES,2 Applicant Only,2017-Q2,2,13.8,13.8
Adoption,WALES,2 Applicant Only,2017-Q3,2,20.6,20.6
Adoption,WALES,2 Applicant Only,2017-Q4,2,16.9,16.9
Adoption,WALES,2 Applicant Only,2018-Q1,2,81.4,81.4
Adoption,WALES,2 Applicant Only,2018-Q2,2,30.1,30.1
Adoption,WALES,2 Applicant Only,2018-Q3,2,14.1,14.1
Adoption,WALES,2 Applicant Only,2018-Q4,3,23.8,28
Adoption,WALES,2 Applicant Only,2019-Q1,1,8.9,8.9
Adoption,WALES,2 Applicant Only,2019-Q2,2,22.4,22.4
Adoption,WALES,2 Applicant Only,2019-Q3,2,23.7,23.7
Adoption,WALES,2 Applicant Only,2019-Q4,2,31.4,31.4
Adoption,WALES,2 Applicant Only,2020-Q1,9,24.6,15
Adoption,WALES,2 Applicant Only,2020-Q4,1,74.4,74.4
Adoption,WALES,2 Applicant Only,2021-Q1,2,26.9,26.9
Adoption,WALES,2 Applicant Only,2022-Q1,5,24.7,26.7
Adoption,WALES,2 Applicant Only,2022-Q2,3,17.2,12.6
Adoption,WALES,2 Applicant Only,2022-Q3,2,5.9,5.9
Adoption,WALES,2 Applicant Only,2022-Q4,2,28.1,28.1
Adoption,WALES,2 Applicant Only,2023-Q1,1,26.4,26.4
Adoption,WALES,2 Applicant Only,2023-Q2,1,33.1,33.1
Adoption,WALES,2 Applicant Only,2023-Q3,2,32.3,32.3
Adoption,WALES,2 Applicant Only,2023-Q4,2,22.9,22.9
Adoption,WALES,2 Applicant Only,2024-Q1,2,7.4,7.4
Adoption,WALES,2 Applicant Only,2024-Q2,2,46.4,46.4
Adoption,WALES,2 Applicant Only,2024-Q3,1,23.9,23.9
Adoption,WALES,2 Applicant Only,2024-Q4,2,9.1,9.1
Adoption,WALES,2 Applicant Only,2025-Q1,2,13.1,13.1
Adoption,WALES,2 Applicant Only,2025-Q2,2,11.9,11.9
Adoption,WALES,3 Respondent Only,2011-Q1,7,21.7,25.4
Adoption,WALES,3 Respondent Only,2011-Q2,1,14.3,14.3
Adoption,WALES,3 Respondent Only,2011-Q3,6,16.8,11.7
Adoption,WALES,3 Respondent Only,2011-Q4,6,21.8,17.7
Adoption,WALES,3 Respondent Only,2012-Q1,6,16,18.3
Adoption,WALES,3 Respondent Only,2012-Q2,7,18.1,18.9
Adoption,WALES,3 Respondent Only,2012-Q3,4,18.8,20.1
Adoption,WALES,3 Respondent Only,2012-Q4,3,13.4,13.6
Adoption,WALES,3 Respondent Only,2013-Q1,3,40.3,24.9
Adoption,WALES,3 Respondent Only,2013-Q2,5,12.1,11.9
Adoption,WALES,3 Respondent Only,2013-Q4,5,18.5,12
Adoption,WALES,3 Respondent Only,2014-Q1,1,26.3,26.3
Adoption,WALES,3 Respondent Only,2014-Q2,9,23.4,21
Adoption,WALES,3 Respondent Only,2014-Q3,11,19.3,22.6
Adoption,WALES,3 Respondent Only,2014-Q4,6,16.2,18.1
Adoption,WALES,3 Respondent Only,2015-Q1,7,17.6,12.1
Adoption,WALES,3 Respondent Only,2015-Q2,7,21.8,21.3
Adoption,WALES,3 Respondent Only,2015-Q3,5,25.5,27.6
Adoption,WALES,3 Respondent Only,2015-Q4,8,23.8,22.4
Adoption,WALES,3 Respondent Only,2016-Q1,5,23.6,27.9
Adoption,WALES,3 Respondent Only,2016-Q2,4,27.5,28.7
Adoption,WALES,3 Respondent Only,2016-Q3,8,25.9,26.9
Adoption,WALES,3 Respondent Only,2016-Q4,5,15.1,19
Adoption,WALES,3 Respondent Only,2017-Q1,8,33,34.4
Adoption,WALES,3 Respondent Only,2017-Q2,10,20.9,23.7
Adoption,WALES,3 Respondent Only,2017-Q3,11,19.2,19
Adoption,WALES,3 Respondent Only,2017-Q4,10,22.5,17.3
Adoption,WALES,3 Respondent Only,2018-Q1,4,21.1,21.1
Adoption,WALES,3 Respondent Only,2018-Q2,5,25.5,22.1
Adoption,WALES,3 Respondent Only,2018-Q3,8,30.8,28.9
Adoption,WALES,3 Respondent Only,2018-Q4,2,11.9,11.9
Adoption,WALES,3 Respondent Only,2019-Q1,10,24.2,22.6
Adoption,WALES,3 Respondent Only,2019-Q2,13,24.1,25.3
Adoption,WALES,3 Respondent Only,2019-Q3,7,22.9,22.9
Adoption,WALES,3 Respondent Only,2019-Q4,3,32.6,33
Adoption,WALES,3 Respondent Only,2020-Q1,9,22,17.9
Adoption,WALES,3 Respondent Only,2020-Q2,8,23.9,22.9
Adoption,WALES,3 Respondent Only,2020-Q3,7,28.6,35.7
Adoption,WALES,3 Respondent Only,2020-Q4,6,36.3,37.4
Adoption,WALES,3 Respondent Only,2021-Q1,5,22.9,20.3
Adoption,WALES,3 Respondent Only,2021-Q2,6,36.4,39.8
Adoption,WALES,3 Respondent Only,2021-Q3,6,24.3,26.8
Adoption,WALES,3 Respondent Only,2021-Q4,7,21.9,21.7
Adoption,WALES,3 Respondent Only,2022-Q1,2,11.9,11.9
Adoption,WALES,3 Respondent Only,2022-Q2,5,27.3,22.6
Adoption,WALES,3 Respondent Only,2022-Q3,11,26.1,22.4
Adoption,WALES,3 Respondent Only,2022-Q4,11,20.3,19.1
Adoption,WALES,3 Respondent Only,2023-Q1,4,72.2,72.4
Adoption,WALES,3 Respondent Only,2023-Q2,8,19.4,19.6
Adoption,WALES,3 Respondent Only,2023-Q3,9,19.4,18
Adoption,WALES,3 Respondent Only,2023-Q4,6,18.2,18.7
Adoption,WALES,3 Respondent Only,2024-Q1,4,20.8,21.3
Adoption,WALES,3 Respondent Only,2024-Q2,6,19.7,19.8
Adoption,WALES,3 Respondent Only,2024-Q3,3,17.9,20.4
Adoption,WALES,3 Respondent Only,2024-Q4,8,25.6,26.6
Adoption,WALES,3 Respondent Only,2025-Q1,2,22.9,22.9
Adoption,WALES,3 Respondent Only,2025-Q2,4,18.8,19.1
Adoption,WALES,3 Respondent Only,2025-Q3,6,21.2,21.6
Adoption,WALES,3 Respondent Only,2025-Q4,5,29.3,32.4
Adoption,WALES,4 Neither,2011-Q1,78,16.6,13
Adoption,WALES,4 Neither,2011-Q2,75,11.3,9.9
Adoption,WALES,4 Neither,2011-Q3,50,9.9,9.4
Adoption,WALES,4 Neither,2011-Q4,83,11.8,9.9
Adoption,WALES,4 Neither,2012-Q1,63,11.6,9.7
Adoption,WALES,4 Neither,2012-Q2,91,10.5,9.3
Adoption,WALES,4 Neither,2012-Q3,94,16.1,10.7
Adoption,WALES,4 Neither,2012-Q4,85,12.3,9.9
Adoption,WALES,4 Neither,2013-Q1,84,13.1,11.5
Adoption,WALES,4 Neither,2013-Q2,96,11.8,10.3
Adoption,WALES,4 Neither,2013-Q3,91,11.8,10
Adoption,WALES,4 Neither,2013-Q4,77,11.9,11.1
Adoption,WALES,4 Neither,2014-Q1,93,14.4,11.6
Adoption,WALES,4 Neither,2014-Q2,108,14.5,11.5
Adoption,WALES,4 Neither,2014-Q3,90,13.1,10.8
Adoption,WALES,4 Neither,2014-Q4,77,15.7,13
Adoption,WALES,4 Neither,2015-Q1,87,12.2,11.1
Adoption,WALES,4 Neither,2015-Q2,108,13.5,10.6
Adoption,WALES,4 Neither,2015-Q3,69,12.1,10.1
Adoption,WALES,4 Neither,2015-Q4,106,15.7,11.6
Adoption,WALES,4 Neither,2016-Q1,73,15.4,11.1
Adoption,WALES,4 Neither,2016-Q2,101,12.9,11.4
Adoption,WALES,4 Neither,2016-Q3,90,14.7,13.6
Adoption,WALES,4 Neither,2016-Q4,80,13.7,12.7
Adoption,WALES,4 Neither,2017-Q1,63,15.1,14.3
Adoption,WALES,4 Neither,2017-Q2,77,13.9,11
Adoption,WALES,4 Neither,2017-Q3,68,15.6,13.1
Adoption,WALES,4 Neither,2017-Q4,87,16.3,12.4
Adoption,WALES,4 Neither,2018-Q1,81,16.6,15.7
Adoption,WALES,4 Neither,2018-Q2,97,13.9,10.9
Adoption,WALES,4 Neither,2018-Q3,60,16.2,12.6
Adoption,WALES,4 Neither,2018-Q4,71,17.4,15.1
Adoption,WALES,4 Neither,2019-Q1,103,18.5,15
Adoption,WALES,4 Neither,2019-Q2,85,16.5,13.7
Adoption,WALES,4 Neither,2019-Q3,85,14.8,11.9
Adoption,WALES,4 Neither,2019-Q4,90,17.6,14.7
Adoption,WALES,4 Neither,2020-Q1,69,16,13.7
Adoption,WALES,4 Neither,2020-Q2,60,19,17.1
Adoption,WALES,4 Neither,2020-Q3,70,19.6,17.6
Adoption,WALES,4 Neither,2020-Q4,70,18,13.6
Adoption,WALES,4 Neither,2021-Q1,90,17.5,14.5
Adoption,WALES,4 Neither,2021-Q2,72,20.3,16.1
Adoption,WALES,4 Neither,2021-Q3,93,19.4,15.6
Adoption,WALES,4 Neither,2021-Q4,86,18.3,15.9
Adoption,WALES,4 Neither,2022-Q1,67,19.1,15.7
Adoption,WALES,4 Neither,2022-Q2,96,19.5,15
Adoption,WALES,4 Neither,2022-Q3,59,15.6,15.1
Adoption,WALES,4 Neither,2022-Q4,60,16.9,14.8
Adoption,WALES,4 Neither,2023-Q1,64,16,14.1
Adoption,WALES,4 Neither,2023-Q2,82,17.8,13.6
Adoption,WALES,4 Neither,2023-Q3,56,14.6,12.6
Adoption,WALES,4 Neither,2023-Q4,98,12.7,9.9
Adoption,WALES,4 Neither,2024-Q1,71,15.6,13
Adoption,WALES,4 Neither,2024-Q2,64,13.8,11.4
Adoption,WALES,4 Neither,2024-Q3,58,11.7,9.9
Adoption,WALES,4 Neither,2024-Q4,54,12.2,10.6
Adoption,WALES,4 Neither,2025-Q1,57,13,11.7
Adoption,WALES,4 Neither,2025-Q2,61,13.6,12.7
Adoption,WALES,4 Neither,2025-Q3,59,13.4,12.1
Adoption,WALES,4 Neither,2025-Q4,64,11.5,10.1
Adoption,WALES,5 Unknown,2011-Q1,4,16.3,18.1
Adoption,WALES,5 Unknown,2011-Q2,3,18.8,12.1
Adoption,WALES,5 Unknown,2011-Q3,12,14.4,14.4
Adoption,WALES,5 Unknown,2011-Q4,3,23.1,22.3
Adoption,WALES,5 Unknown,2012-Q2,4,19.3,16.7
Adoption,WALES,5 Unknown,2012-Q3,2,12.9,12.9
Adoption,WALES,5 Unknown,2012-Q4,2,10.6,10.6
Adoption,WALES,5 Unknown,2013-Q2,3,7.1,7
Adoption,WALES,5 Unknown,2013-Q3,2,14.1,14.1
Adoption,WALES,5 Unknown,2014-Q1,7,15.1,14.3
Adoption,WALES,5 Unknown,2014-Q2,1,10,10
Adoption,WALES,5 Unknown,2014-Q3,2,11.6,11.6
Adoption,WALES,5 Unknown,2014-Q4,3,16,13.4
Adoption,WALES,5 Unknown,2015-Q1,1,15.4,15.4
Adoption,WALES,5 Unknown,2015-Q2,3,16.7,20
Adoption,WALES,5 Unknown,2015-Q3,1,15.3,15.3
Adoption,WALES,5 Unknown,2017-Q1,1,27.1,27.1
Adoption,WALES,All types,2011-Q1,94,17.1,14.1
Adoption,WALES,All types,2011-Q2,80,12,10.4
Adoption,WALES,All types,2011-Q3,70,11.5,9.9
Adoption,WALES,All types,2011-Q4,95,13.6,10.1
Adoption,WALES,All types,2012-Q1,71,12.1,11.3
Adoption,WALES,All types,2012-Q2,109,11.6,10
Adoption,WALES,All types,2012-Q3,102,16.4,11
Adoption,WALES,All types,2012-Q4,91,12.5,10.3
Adoption,WALES,All types,2013-Q1,90,14,12.1
Adoption,WALES,All types,2013-Q2,106,11.9,10.5
Adoption,WALES,All types,2013-Q3,96,12.3,10
Adoption,WALES,All types,2013-Q4,82,12.3,11.4
Adoption,WALES,All types,2014-Q1,105,14.9,12
Adoption,WALES,All types,2014-Q2,123,16.8,12
Adoption,WALES,All types,2014-Q3,106,14,12.1
Adoption,WALES,All types,2014-Q4,90,16,13.9
Adoption,WALES,All types,2015-Q1,99,13.1,11.7
Adoption,WALES,All types,2015-Q2,125,15.5,11
Adoption,WALES,All types,2015-Q3,78,12.9,10.3
Adoption,WALES,All types,2015-Q4,118,16.7,12.7
Adoption,WALES,All types,2016-Q1,81,16,12.4
Adoption,WALES,All types,2016-Q2,109,14.2,11.9
Adoption,WALES,All types,2016-Q3,102,15.8,13.9
Adoption,WALES,All types,2016-Q4,87,14.1,12.7
Adoption,WALES,All types,2017-Q1,74,17.5,15.8
Adoption,WALES,All types,2017-Q2,89,14.7,11.4
Adoption,WALES,All types,2017-Q3,81,16.2,15
Adoption,WALES,All types,2017-Q4,102,17.3,14.7
Adoption,WALES,All types,2018-Q1,87,18.3,15.7
Adoption,WALES,All types,2018-Q2,107,14.9,11.4
Adoption,WALES,All types,2018-Q3,73,17.9,14
Adoption,WALES,All types,2018-Q4,76,17.5,15.1
Adoption,WALES,All types,2019-Q1,114,18.9,15.3
Adoption,WALES,All types,2019-Q2,100,17.6,15
Adoption,WALES,All types,2019-Q3,95,15.8,13.1
Adoption,WALES,All types,2019-Q4,95,18.4,14.7
Adoption,WALES,All types,2020-Q1,88,17.6,14.7
Adoption,WALES,All types,2020-Q2,68,19.6,17.2
Adoption,WALES,All types,2020-Q3,77,20.4,18.1
Adoption,WALES,All types,2020-Q4,77,20.1,14.1
Adoption,WALES,All types,2021-Q1,99,18.4,16
Adoption,WALES,All types,2021-Q2,80,23.2,16.6
Adoption,WALES,All types,2021-Q3,99,19.7,16.7
Adoption,WALES,All types,2021-Q4,93,18.6,16.1
Adoption,WALES,All types,2022-Q1,75,19.5,15.7
Adoption,WALES,All types,2022-Q2,104,19.8,15.5
Adoption,WALES,All types,2022-Q3,72,16.9,17.1
Adoption,WALES,All types,2022-Q4,73,17.7,16.1
Adoption,WALES,All types,2023-Q1,69,19.4,14.7
Adoption,WALES,All types,2023-Q2,91,18.1,14
Adoption,WALES,All types,2023-Q3,68,16.1,13.8
Adoption,WALES,All types,2023-Q4,106,13.2,10.5
Adoption,WALES,All types,2024-Q1,79,16,13.4
Adoption,WALES,All types,2024-Q2,72,15.2,12
Adoption,WALES,All types,2024-Q3,62,12.2,10.1
Adoption,WALES,All types,2024-Q4,64,13.8,11.1
Adoption,WALES,All types,2025-Q1,62,13.6,12.5
Adoption,WALES,All types,2025-Q2,68,13.8,12.9
Adoption,WALES,All types,2025-Q3,65,14.1,13
Adoption,WALES,All types,2025-Q4,69,12.8,11.1
Children Act (Private),England & Wales,1 Both,2011-Q1,4836,38.4,30.4
Children Act (Private),England & Wales,1 Both,2011-Q2,4348,39.5,30.9
Children Act (Private),England & Wales,1 Both,2011-Q3,4391,40.2,31.3
Children Act (Private),England & Wales,1 Both,2011-Q4,4290,41.4,32.6
Children Act (Private),England & Wales,1 Both,2012-Q1,4362,42.6,30.9
Children Act (Private),England & Wales,1 Both,2012-Q2,4205,40.7,29.7
Children Act (Private),England & Wales,1 Both,2012-Q3,4191,39.9,29.1
Children Act (Private),England & Wales,1 Both,2012-Q4,4297,39.7,29.3
Children Act (Private),England & Wales,1 Both,2013-Q1,3982,40.8,30
Children Act (Private),England & Wales,1 Both,2013-Q2,4098,41.4,32
Children Act (Private),England & Wales,1 Both,2013-Q3,3771,42.5,33.1
Children Act (Private),England & Wales,1 Both,2013-Q4,3225,43.5,35.4
Children Act (Private),England & Wales,1 Both,2014-Q1,2557,45.4,36.7
Children Act (Private),England & Wales,1 Both,2014-Q2,2385,46.7,37.1
Children Act (Private),England & Wales,1 Both,2014-Q3,2436,59.4,38.3
Children Act (Private),England & Wales,1 Both,2014-Q4,1811,43.5,29.9
Children Act (Private),England & Wales,1 Both,2015-Q1,1706,41.3,25.7
Children Act (Private),England & Wales,1 Both,2015-Q2,1734,48.9,26.1
Children Act (Private),England & Wales,1 Both,2015-Q3,1853,37.6,24.1
Children Act (Private),England & Wales,1 Both,2015-Q4,1693,35,23.9
Children Act (Private),England & Wales,1 Both,2016-Q1,1644,31.5,22.4
Children Act (Private),England & Wales,1 Both,2016-Q2,1813,29.4,21.1
Children Act (Private),England & Wales,1 Both,2016-Q3,1720,27.4,21.1
Children Act (Private),England & Wales,1 Both,2016-Q4,1630,29.2,22.1
Children Act (Private),England & Wales,1 Both,2017-Q1,1709,29,22.3
Children Act (Private),England & Wales,1 Both,2017-Q2,1591,29.2,22.9
Children Act (Private),England & Wales,1 Both,2017-Q3,1722,28,22.4
Children Act (Private),England & Wales,1 Both,2017-Q4,1640,29.6,23.3
Children Act (Private),England & Wales,1 Both,2018-Q1,1496,30.7,24
Children Act (Private),England & Wales,1 Both,2018-Q2,1606,31.6,26.1
Children Act (Private),England & Wales,1 Both,2018-Q3,1618,30.6,24.4
Children Act (Private),England & Wales,1 Both,2018-Q4,1634,33,26.6
Children Act (Private),England & Wales,1 Both,2019-Q1,1588,34.1,28.2
Children Act (Private),England & Wales,1 Both,2019-Q2,1654,33.7,28
Children Act (Private),England & Wales,1 Both,2019-Q3,1702,34.9,28.3
Children Act (Private),England & Wales,1 Both,2019-Q4,1639,36,29.1
Children Act (Private),England & Wales,1 Both,2020-Q1,1619,36.7,29.7
Children Act (Private),England & Wales,1 Both,2020-Q2,906,34.6,27.7
Children Act (Private),England & Wales,1 Both,2020-Q3,1530,38.3,32
Children Act (Private),England & Wales,1 Both,2020-Q4,1701,44.9,37.3
Children Act (Private),England & Wales,1 Both,2021-Q1,1804,45.6,37.1
Children Act (Private),England & Wales,1 Both,2021-Q2,1826,45,38.3
Children Act (Private),England & Wales,1 Both,2021-Q3,1796,48.8,41.3
Children Act (Private),England & Wales,1 Both,2021-Q4,1708,49.3,42.4
Children Act (Private),England & Wales,1 Both,2022-Q1,1649,51.6,44
Children Act (Private),England & Wales,1 Both,2022-Q2,1645,53.6,44.4
Children Act (Private),England & Wales,1 Both,2022-Q3,1576,53.9,45.6
Children Act (Private),England & Wales,1 Both,2022-Q4,1665,55.9,46.7
Children Act (Private),England & Wales,1 Both,2023-Q1,1818,56.9,47.1
Children Act (Private),England & Wales,1 Both,2023-Q2,1793,54.9,43.9
Children Act (Private),England & Wales,1 Both,2023-Q3,1633,53.6,42.9
Children Act (Private),England & Wales,1 Both,2023-Q4,1687,52.7,41.3
Children Act (Private),England & Wales,1 Both,2024-Q1,1825,51.7,40.9
Children Act (Private),England & Wales,1 Both,2024-Q2,1840,52.3,39.7
Children Act (Private),England & Wales,1 Both,2024-Q3,1921,50.7,38.4
Children Act (Private),England & Wales,1 Both,2024-Q4,1658,47.6,37.6
Children Act (Private),England & Wales,1 Both,2025-Q1,1699,48.6,37
Children Act (Private),England & Wales,1 Both,2025-Q2,1598,46.3,35
Children Act (Private),England & Wales,1 Both,2025-Q3,1732,45.2,35.9
Children Act (Private),England & Wales,1 Both,2025-Q4,1564,42.4,31.3
Children Act (Private),England & Wales,2 Applicant Only,2011-Q1,3230,24.7,16.7
Children Act (Private),England & Wales,2 Applicant Only,2011-Q2,2825,24.1,15.9
Children Act (Private),England & Wales,2 Applicant Only,2011-Q3,2848,23.8,15.3
Children Act (Private),England & Wales,2 Applicant Only,2011-Q4,2719,24.6,15.7
Children Act (Private),England & Wales,2 Applicant Only,2012-Q1,2923,26.6,16
Children Act (Private),England & Wales,2 Applicant Only,2012-Q2,2999,24.2,15.9
Children Act (Private),England & Wales,2 Applicant Only,2012-Q3,3123,23.4,15.9
Children Act (Private),England & Wales,2 Applicant Only,2012-Q4,3172,25,15.4
Children Act (Private),England & Wales,2 Applicant Only,2013-Q1,3375,26.3,17
Children Act (Private),England & Wales,2 Applicant Only,2013-Q2,3535,24.4,15.1
Children Act (Private),England & Wales,2 Applicant Only,2013-Q3,4202,23.4,16
Children Act (Private),England & Wales,2 Applicant Only,2013-Q4,4150,25.3,20
Children Act (Private),England & Wales,2 Applicant Only,2014-Q1,3730,26.5,21.6
Children Act (Private),England & Wales,2 Applicant Only,2014-Q2,3429,27.9,20.7
Children Act (Private),England & Wales,2 Applicant Only,2014-Q3,3666,40.8,22.3
Children Act (Private),England & Wales,2 Applicant Only,2014-Q4,2948,26,17.1
Children Act (Private),England & Wales,2 Applicant Only,2015-Q1,2876,26.6,17.9
Children Act (Private),England & Wales,2 Applicant Only,2015-Q2,2860,31.2,16.3
Children Act (Private),England & Wales,2 Applicant Only,2015-Q3,3149,27.6,16.7
Children Act (Private),England & Wales,2 Applicant Only,2015-Q4,2826,24.6,16
Children Act (Private),England & Wales,2 Applicant Only,2016-Q1,2887,21.2,15.7
Children Act (Private),England & Wales,2 Applicant Only,2016-Q2,2936,21.5,15.9
Children Act (Private),England & Wales,2 Applicant Only,2016-Q3,2892,19.2,14.3
Children Act (Private),England & Wales,2 Applicant Only,2016-Q4,2837,19.6,15.1
Children Act (Private),England & Wales,2 Applicant Only,2017-Q1,2752,19.8,15.7
Children Act (Private),England & Wales,2 Applicant Only,2017-Q2,2761,20.2,15.7
Children Act (Private),England & Wales,2 Applicant Only,2017-Q3,2976,19.7,15
Children Act (Private),England & Wales,2 Applicant Only,2017-Q4,2654,21.3,17.1
Children Act (Private),England & Wales,2 Applicant Only,2018-Q1,2589,22.8,18.1
Children Act (Private),England & Wales,2 Applicant Only,2018-Q2,2780,22.4,18.3
Children Act (Private),England & Wales,2 Applicant Only,2018-Q3,2716,22,17.9
Children Act (Private),England & Wales,2 Applicant Only,2018-Q4,2626,22.9,18.4
Children Act (Private),England & Wales,2 Applicant Only,2019-Q1,2696,24.9,19.8
Children Act (Private),England & Wales,2 Applicant Only,2019-Q2,2629,24.9,19.9
Children Act (Private),England & Wales,2 Applicant Only,2019-Q3,2838,24.3,19.1
Children Act (Private),England & Wales,2 Applicant Only,2019-Q4,2569,25,20
Children Act (Private),England & Wales,2 Applicant Only,2020-Q1,2550,27.2,22.1
Children Act (Private),England & Wales,2 Applicant Only,2020-Q2,1507,25.4,20.1
Children Act (Private),England & Wales,2 Applicant Only,2020-Q3,2241,29.8,24.1
Children Act (Private),England & Wales,2 Applicant Only,2020-Q4,2335,34.6,27
Children Act (Private),England & Wales,2 Applicant Only,2021-Q1,2447,35.1,28.3
Children Act (Private),England & Wales,2 Applicant Only,2021-Q2,2485,37.5,31.3
Children Act (Private),England & Wales,2 Applicant Only,2021-Q3,2475,37.3,29.4
Children Act (Private),England & Wales,2 Applicant Only,2021-Q4,2321,38.3,30.3
Children Act (Private),England & Wales,2 Applicant Only,2022-Q1,2481,40,32.7
Children Act (Private),England & Wales,2 Applicant Only,2022-Q2,2314,38.9,31
Children Act (Private),England & Wales,2 Applicant Only,2022-Q3,2525,40.3,32.3
Children Act (Private),England & Wales,2 Applicant Only,2022-Q4,2556,40.6,31.1
Children Act (Private),England & Wales,2 Applicant Only,2023-Q1,2742,41.3,31.3
Children Act (Private),England & Wales,2 Applicant Only,2023-Q2,2562,39.3,29.1
Children Act (Private),England & Wales,2 Applicant Only,2023-Q3,2643,37.9,27.7
Children Act (Private),England & Wales,2 Applicant Only,2023-Q4,2480,39.2,28.1
Children Act (Private),England & Wales,2 Applicant Only,2024-Q1,2720,38.1,28.1
Children Act (Private),England & Wales,2 Applicant Only,2024-Q2,2700,37.2,28.8
Children Act (Private),England & Wales,2 Applicant Only,2024-Q3,2796,34.7,24.7
Children Act (Private),England & Wales,2 Applicant Only,2024-Q4,2643,34.7,25.1
Children Act (Private),England & Wales,2 Applicant Only,2025-Q1,2649,34.7,26
Children Act (Private),England & Wales,2 Applicant Only,2025-Q2,2498,33.2,24
Children Act (Private),England & Wales,2 Applicant Only,2025-Q3,2675,31.2,22.9
Children Act (Private),England & Wales,2 Applicant Only,2025-Q4,2383,32.4,22.7
Children Act (Private),England & Wales,3 Respondent Only,2011-Q1,995,38.2,30.3
Children Act (Private),England & Wales,3 Respondent Only,2011-Q2,903,37.1,29.3
Children Act (Private),England & Wales,3 Respondent Only,2011-Q3,928,39.1,29
Children Act (Private),England & Wales,3 Respondent Only,2011-Q4,930,39.4,30.6
Children Act (Private),England & Wales,3 Respondent Only,2012-Q1,975,40.5,29.3
Children Act (Private),England & Wales,3 Respondent Only,2012-Q2,982,39.3,29.3
Children Act (Private),England & Wales,3 Respondent Only,2012-Q3,1006,36.3,25.9
Children Act (Private),England & Wales,3 Respondent Only,2012-Q4,1025,39.8,29.3
Children Act (Private),England & Wales,3 Respondent Only,2013-Q1,1009,37.5,28.3
Children Act (Private),England & Wales,3 Respondent Only,2013-Q2,1121,40.2,29
