YEAR,Qtr,Type,Count_type,Public_private,Disposal_type,Order_type,Order_type_code,Sex,age_band,Applicants_in_case,Respondents_in_case,HC_INDICATOR,Count
,2024-2,Application,Individual children,Public law,N/A,All,,Female,10-14 years,N/A,N/A,N/A,836
,2024-2,Application,Individual children,Public law,N/A,All,,Other,<1 year,N/A,N/A,N/A,1
,2024-2,Application,Individual children,Public law,N/A,All,,Other,15-17 years,N/A,N/A,N/A,11
,2024-2,Application,Individual children,Public law,N/A,All,,Female,5-9 years,N/A,N/A,N/A,767
,2024-2,Application,Individual children,Public law,N/A,All,,Unknown,1-4 years,N/A,N/A,N/A,2
,2024-2,Application,Individual children,Public law,N/A,All,,Male,10-14 years,N/A,N/A,N/A,765
,2024-2,Application,Individual children,Public law,N/A,All,,Other,10-14 years,N/A,N/A,N/A,2
,2024-2,Application,Individual children,Public law,N/A,All,,Male,<1 year,N/A,N/A,N/A,710
,2024-2,Application,Individual children,Public law,N/A,All,,Male,5-9 years,N/A,N/A,N/A,845
,2024-2,Application,Individual children,Public law,N/A,All,,Female,<1 year,N/A,N/A,N/A,673
,2024-2,Application,Individual children,Public law,N/A,All,,Unknown,10-14 years,N/A,N/A,N/A,1
,2024-2,Application,Individual children,Public law,N/A,All,,Male,Other,N/A,N/A,N/A,2
,2024-2,Application,Individual children,Public law,N/A,All,,Unknown,Unknown,N/A,N/A,N/A,5
,2024-2,Application,Individual children,Public law,N/A,All,,Female,15-17 years,N/A,N/A,N/A,280
,2024-2,Application,Individual children,Public law,N/A,All,,Other,5-9 years,N/A,N/A,N/A,1
,2024-2,Application,Individual children,Public law,N/A,All,,Male,1-4 years,N/A,N/A,N/A,710
,2024-3,Application,Individual children,Private law,N/A,All,,Male,<1 year,N/A,N/A,N/A,429
,2024-3,Application,Individual children,Private law,N/A,All,,Other,10-14 years,N/A,N/A,N/A,5
,2024-3,Application,Individual children,Private law,N/A,All,,Unknown,10-14 years,N/A,N/A,N/A,11
,2024-3,Application,Individual children,Private law,N/A,All,,Female,Other,N/A,N/A,N/A,3
,2024-3,Application,Individual children,Private law,N/A,All,,Female,1-4 years,N/A,N/A,N/A,2558
,2024-3,Application,Individual children,Private law,N/A,All,,Male,5-9 years,N/A,N/A,N/A,4032
,2024-3,Application,Individual children,Private law,N/A,All,,Unknown,1-4 years,N/A,N/A,N/A,16
,2024-3,Application,Individual children,Private law,N/A,All,,Other,1-4 years,N/A,N/A,N/A,1
,2024-3,Application,Individual children,Private law,N/A,All,,Male,10-14 years,N/A,N/A,N/A,2714
,2024-3,Application,Individual children,Private law,N/A,All,,Female,10-14 years,N/A,N/A,N/A,2541
,2024-3,Application,Individual children,Private law,N/A,All,,Other,15-17 years,N/A,N/A,N/A,3
,2024-3,Application,Individual children,Private law,N/A,All,,Other,Unknown,N/A,N/A,N/A,3
,2024-3,Application,Individual children,Private law,N/A,All,,Female,<1 year,N/A,N/A,N/A,407
,2024-3,Application,Individual children,Private law,N/A,All,,Female,15-17 years,N/A,N/A,N/A,378
,2024-3,Application,Individual children,Private law,N/A,All,,Other,5-9 years,N/A,N/A,N/A,5
,2024-3,Application,Individual children,Private law,N/A,All,,Female,Unknown,N/A,N/A,N/A,29
,2024-3,Application,Individual children,Private law,N/A,All,,Unknown,<1 year,N/A,N/A,N/A,1
,2024-3,Application,Individual children,Private law,N/A,All,,Unknown,5-9 years,N/A,N/A,N/A,16
,2024-3,Application,Individual children,Private law,N/A,All,,Male,Other,N/A,N/A,N/A,12
,2024-3,Application,Individual children,Private law,N/A,All,,Unknown,Unknown,N/A,N/A,N/A,67
,2024-3,Application,Individual children,Private law,N/A,All,,Female,5-9 years,N/A,N/A,N/A,3976
,2024-3,Application,Individual children,Private law,N/A,All,,Male,15-17 years,N/A,N/A,N/A,377
,2024-3,Application,Individual children,Private law,N/A,All,,Unknown,15-17 years,N/A,N/A,N/A,3
,2024-3,Application,Individual children,Private law,N/A,All,,Other,<1 year,N/A,N/A,N/A,1
,2024-3,Application,Individual children,Private law,N/A,All,,Male,1-4 years,N/A,N/A,N/A,2621
,2024-3,Application,Individual children,Private law,N/A,All,,Male,Unknown,N/A,N/A,N/A,27
,2024-3,Application,Individual children,Public law,N/A,All,,Male,Unknown,N/A,N/A,N/A,4
,2024-3,Application,Individual children,Public law,N/A,All,,Other,Other,N/A,N/A,N/A,2
,2024-3,Application,Individual children,Public law,N/A,All,,Female,1-4 years,N/A,N/A,N/A,718
,2024-3,Application,Individual children,Public law,N/A,All,,Unknown,10-14 years,N/A,N/A,N/A,1
,2024-3,Application,Individual children,Public law,N/A,All,,Male,15-17 years,N/A,N/A,N/A,278
,2024-3,Application,Individual children,Public law,N/A,All,,Other,15-17 years,N/A,N/A,N/A,8
,2024-3,Application,Individual children,Public law,N/A,All,,Male,5-9 years,N/A,N/A,N/A,835
,2024-3,Application,Individual children,Public law,N/A,All,,Unknown,15-17 years,N/A,N/A,N/A,1
,2024-3,Application,Individual children,Public law,N/A,All,,Female,10-14 years,N/A,N/A,N/A,850
,2024-3,Application,Individual children,Public law,N/A,All,,Male,10-14 years,N/A,N/A,N/A,777
,2024-3,Application,Individual children,Public law,N/A,All,,Female,15-17 years,N/A,N/A,N/A,312
,2024-3,Application,Individual children,Public law,N/A,All,,Unknown,5-9 years,N/A,N/A,N/A,1
,2024-3,Application,Individual children,Public law,N/A,All,,Female,<1 year,N/A,N/A,N/A,698
,2024-3,Application,Individual children,Public law,N/A,All,,Female,Other,N/A,N/A,N/A,2
,2024-3,Application,Individual children,Public law,N/A,All,,Male,<1 year,N/A,N/A,N/A,766
,2024-3,Application,Individual children,Public law,N/A,All,,Other,<1 year,N/A,N/A,N/A,1
,2024-3,Application,Individual children,Public law,N/A,All,,Male,1-4 years,N/A,N/A,N/A,761
,2024-3,Application,Individual children,Public law,N/A,All,,Female,Unknown,N/A,N/A,N/A,2
,2024-3,Application,Individual children,Public law,N/A,All,,Male,Other,N/A,N/A,N/A,1
,2024-3,Application,Individual children,Public law,N/A,All,,Unknown,Unknown,N/A,N/A,N/A,8
,2024-3,Application,Individual children,Public law,N/A,All,,Female,5-9 years,N/A,N/A,N/A,793
,2024-3,Application,Individual children,Public law,N/A,All,,Other,Unknown,N/A,N/A,N/A,2
,2024-3,Application,Individual children,Public law,N/A,All,,Other,10-14 years,N/A,N/A,N/A,16
,2024-4,Application,Individual children,Private law,N/A,All,,Other,5-9 years,N/A,N/A,N/A,3
,2024-4,Application,Individual children,Private law,N/A,All,,Female,Other,N/A,N/A,N/A,12
,2024-4,Application,Individual children,Private law,N/A,All,,Male,5-9 years,N/A,N/A,N/A,3852
,2024-4,Application,Individual children,Private law,N/A,All,,Unknown,<1 year,N/A,N/A,N/A,2
,2024-4,Application,Individual children,Private law,N/A,All,,Male,<1 year,N/A,N/A,N/A,371
,2024-4,Application,Individual children,Private law,N/A,All,,Male,15-17 years,N/A,N/A,N/A,354
,2024-4,Application,Individual children,Private law,N/A,All,,Female,<1 year,N/A,N/A,N/A,342
,2024-4,Application,Individual children,Private law,N/A,All,,Female,5-9 years,N/A,N/A,N/A,3779
,2024-4,Application,Individual children,Private law,N/A,All,,Other,Other,N/A,N/A,N/A,1
,2024-4,Application,Individual children,Private law,N/A,All,,Other,15-17 years,N/A,N/A,N/A,1
,2024-4,Application,Individual children,Private law,N/A,All,,Unknown,Other,N/A,N/A,N/A,1
,2024-4,Application,Individual children,Private law,N/A,All,,Other,Unknown,N/A,N/A,N/A,1
,2024-4,Application,Individual children,Private law,N/A,All,,Unknown,10-14 years,N/A,N/A,N/A,9
,2024-4,Application,Individual children,Private law,N/A,All,,Male,10-14 years,N/A,N/A,N/A,2618
,2024-4,Application,Individual children,Private law,N/A,All,,Female,10-14 years,N/A,N/A,N/A,2402
,2024-4,Application,Individual children,Private law,N/A,All,,Male,Other,N/A,N/A,N/A,9
,2024-4,Application,Individual children,Private law,N/A,All,,Unknown,Unknown,N/A,N/A,N/A,53
,2024-4,Application,Individual children,Private law,N/A,All,,Other,10-14 years,N/A,N/A,N/A,3
,2024-4,Application,Individual children,Private law,N/A,All,,Female,Unknown,N/A,N/A,N/A,23
,2024-4,Application,Individual children,Private law,N/A,All,,Other,<1 year,N/A,N/A,N/A,1
,2024-4,Application,Individual children,Private law,N/A,All,,Male,1-4 years,N/A,N/A,N/A,2461
,2024-4,Application,Individual children,Private law,N/A,All,,Other,1-4 years,N/A,N/A,N/A,6
,2024-4,Application,Individual children,Private law,N/A,All,,Unknown,5-9 years,N/A,N/A,N/A,11
,2024-4,Application,Individual children,Private law,N/A,All,,Female,15-17 years,N/A,N/A,N/A,349
,2024-4,Application,Individual children,Private law,N/A,All,,Male,Unknown,N/A,N/A,N/A,24
,2024-4,Application,Individual children,Private law,N/A,All,,Female,1-4 years,N/A,N/A,N/A,2386
,2024-4,Application,Individual children,Private law,N/A,All,,Unknown,1-4 years,N/A,N/A,N/A,9
,2024-4,Application,Individual children,Private law,N/A,All,,Unknown,15-17 years,N/A,N/A,N/A,1
,2024-4,Application,Individual children,Public law,N/A,All,,Female,15-17 years,N/A,N/A,N/A,276
,2024-4,Application,Individual children,Public law,N/A,All,,Other,10-14 years,N/A,N/A,N/A,8
,2024-4,Application,Individual children,Public law,N/A,All,,Female,Unknown,N/A,N/A,N/A,4
,2024-4,Application,Individual children,Public law,N/A,All,,Female,Other,N/A,N/A,N/A,1
,2024-4,Application,Individual children,Public law,N/A,All,,Unknown,1-4 years,N/A,N/A,N/A,1
,2024-4,Application,Individual children,Public law,N/A,All,,Male,15-17 years,N/A,N/A,N/A,285
,2024-4,Application,Individual children,Public law,N/A,All,,Female,1-4 years,N/A,N/A,N/A,746
,2024-4,Application,Individual children,Public law,N/A,All,,Other,<1 year,N/A,N/A,N/A,1
,2024-4,Application,Individual children,Public law,N/A,All,,Male,1-4 years,N/A,N/A,N/A,734
,2024-4,Application,Individual children,Public law,N/A,All,,Unknown,<1 year,N/A,N/A,N/A,1
,2024-4,Application,Individual children,Public law,N/A,All,,Female,10-14 years,N/A,N/A,N/A,813
,2024-4,Application,Individual children,Public law,N/A,All,,Male,<1 year,N/A,N/A,N/A,720
,2024-4,Application,Individual children,Public law,N/A,All,,Female,<1 year,N/A,N/A,N/A,737
,2024-4,Application,Individual children,Public law,N/A,All,,Male,Unknown,N/A,N/A,N/A,5
,2024-4,Application,Individual children,Public law,N/A,All,,Other,15-17 years,N/A,N/A,N/A,7
,2024-4,Application,Individual children,Public law,N/A,All,,Male,Other,N/A,N/A,N/A,2
,2024-4,Application,Individual children,Public law,N/A,All,,Unknown,Unknown,N/A,N/A,N/A,7
,2024-4,Application,Individual children,Public law,N/A,All,,Unknown,5-9 years,N/A,N/A,N/A,1
,2024-4,Application,Individual children,Public law,N/A,All,,Female,5-9 years,N/A,N/A,N/A,785
,2024-4,Application,Individual children,Public law,N/A,All,,Male,10-14 years,N/A,N/A,N/A,812
,2024-4,Application,Individual children,Public law,N/A,All,,Male,5-9 years,N/A,N/A,N/A,915
,2024-4,Application,Individual children,Public law,N/A,All,,Unknown,10-14 years,N/A,N/A,N/A,1
,2024-4,Application,Individual children,Public law,N/A,All,,Other,5-9 years,N/A,N/A,N/A,1
,2025-1,Application,Individual children,Private law,N/A,All,,Female,Unknown,N/A,N/A,N/A,30
,2025-1,Application,Individual children,Private law,N/A,All,,Female,15-17 years,N/A,N/A,N/A,396
,2025-1,Application,Individual children,Private law,N/A,All,,Other,5-9 years,N/A,N/A,N/A,3
,2025-1,Application,Individual children,Private law,N/A,All,,Female,10-14 years,N/A,N/A,N/A,2631
,2025-1,Application,Individual children,Private law,N/A,All,,Unknown,Unknown,N/A,N/A,N/A,77
,2025-1,Application,Individual children,Private law,N/A,All,,Male,Unknown,N/A,N/A,N/A,27
,2025-1,Application,Individual children,Private law,N/A,All,,Male,15-17 years,N/A,N/A,N/A,371
,2025-1,Application,Individual children,Private law,N/A,All,,Male,5-9 years,N/A,N/A,N/A,4266
,2025-1,Application,Individual children,Private law,N/A,All,,Female,5-9 years,N/A,N/A,N/A,4050
,2025-1,Application,Individual children,Private law,N/A,All,,Other,<1 year,N/A,N/A,N/A,2
,2025-1,Application,Individual children,Private law,N/A,All,,Male,1-4 years,N/A,N/A,N/A,2469
,2025-1,Application,Individual children,Private law,N/A,All,,Unknown,10-14 years,N/A,N/A,N/A,6
,2025-1,Application,Individual children,Private law,N/A,All,,Female,1-4 years,N/A,N/A,N/A,2467
,2025-1,Application,Individual children,Private law,N/A,All,,Other,1-4 years,N/A,N/A,N/A,2
,2025-1,Application,Individual children,Private law,N/A,All,,Male,10-14 years,N/A,N/A,N/A,2785
,2025-1,Application,Individual children,Private law,N/A,All,,Unknown,15-17 years,N/A,N/A,N/A,2
,2025-1,Application,Individual children,Private law,N/A,All,,Other,15-17 years,N/A,N/A,N/A,1
,2025-1,Application,Individual children,Private law,N/A,All,,Female,<1 year,N/A,N/A,N/A,367
,2025-1,Application,Individual children,Private law,N/A,All,,Male,Other,N/A,N/A,N/A,9
,2025-1,Application,Individual children,Private law,N/A,All,,Female,Other,N/A,N/A,N/A,10
,2025-1,Application,Individual children,Private law,N/A,All,,Unknown,1-4 years,N/A,N/A,N/A,2
,2025-1,Application,Individual children,Private law,N/A,All,,Unknown,5-9 years,N/A,N/A,N/A,13
,2025-1,Application,Individual children,Private law,N/A,All,,Unknown,<1 year,N/A,N/A,N/A,1
,2025-1,Application,Individual children,Private law,N/A,All,,Male,<1 year,N/A,N/A,N/A,425
,2025-1,Application,Individual children,Private law,N/A,All,,Other,10-14 years,N/A,N/A,N/A,5
,2025-1,Application,Individual children,Public law,N/A,All,,Other,5-9 years,N/A,N/A,N/A,1
,2025-1,Application,Individual children,Public law,N/A,All,,Female,15-17 years,N/A,N/A,N/A,315
,2025-1,Application,Individual children,Public law,N/A,All,,Male,Unknown,N/A,N/A,N/A,5
,2025-1,Application,Individual children,Public law,N/A,All,,Male,Other,N/A,N/A,N/A,2
,2025-1,Application,Individual children,Public law,N/A,All,,Unknown,10-14 years,N/A,N/A,N/A,2
,2025-1,Application,Individual children,Public law,N/A,All,,Female,<1 year,N/A,N/A,N/A,680
,2025-1,Application,Individual children,Public law,N/A,All,,Female,5-9 years,N/A,N/A,N/A,848
,2025-1,Application,Individual children,Public law,N/A,All,,Female,10-14 years,N/A,N/A,N/A,808
,2025-1,Application,Individual children,Public law,N/A,All,,Male,1-4 years,N/A,N/A,N/A,724
,2025-1,Application,Individual children,Public law,N/A,All,,Male,5-9 years,N/A,N/A,N/A,858
,2025-1,Application,Individual children,Public law,N/A,All,,Female,Other,N/A,N/A,N/A,1
,2025-1,Application,Individual children,Public law,N/A,All,,Other,10-14 years,N/A,N/A,N/A,8
,2025-1,Application,Individual children,Public law,N/A,All,,Male,<1 year,N/A,N/A,N/A,705
,2025-1,Application,Individual children,Public law,N/A,All,,Male,15-17 years,N/A,N/A,N/A,272
,2025-1,Application,Individual children,Public law,N/A,All,,Female,1-4 years,N/A,N/A,N/A,682
,2025-1,Application,Individual children,Public law,N/A,All,,Other,15-17 years,N/A,N/A,N/A,4
,2025-1,Application,Individual children,Public law,N/A,All,,Unknown,Unknown,N/A,N/A,N/A,6
,2025-1,Application,Individual children,Public law,N/A,All,,Male,10-14 years,N/A,N/A,N/A,772
,2025-2,Application,Individual children,Private law,N/A,All,,Male,Other,N/A,N/A,N/A,8
,2025-2,Application,Individual children,Private law,N/A,All,,Unknown,Unknown,N/A,N/A,N/A,75
,2025-2,Application,Individual children,Private law,N/A,All,,Unknown,1-4 years,N/A,N/A,N/A,11
,2025-2,Application,Individual children,Private law,N/A,All,,Male,Unknown,N/A,N/A,N/A,38
,2025-2,Application,Individual children,Private law,N/A,All,,Male,5-9 years,N/A,N/A,N/A,4187
,2025-2,Application,Individual children,Private law,N/A,All,,Female,10-14 years,N/A,N/A,N/A,2681
,2025-2,Application,Individual children,Private law,N/A,All,,Unknown,10-14 years,N/A,N/A,N/A,18
,2025-2,Application,Individual children,Private law,N/A,All,,Male,15-17 years,N/A,N/A,N/A,399
,2025-2,Application,Individual children,Private law,N/A,All,,Female,1-4 years,N/A,N/A,N/A,2410
,2025-2,Application,Individual children,Private law,N/A,All,,Unknown,5-9 years,N/A,N/A,N/A,16
,2025-2,Application,Individual children,Private law,N/A,All,,Female,Other,N/A,N/A,N/A,5
,2025-2,Application,Individual children,Private law,N/A,All,,Unknown,15-17 years,N/A,N/A,N/A,1
,2025-2,Application,Individual children,Private law,N/A,All,,Other,<1 year,N/A,N/A,N/A,2
,2025-2,Application,Individual children,Private law,N/A,All,,Male,1-4 years,N/A,N/A,N/A,2441
,2025-2,Application,Individual children,Private law,N/A,All,,Female,<1 year,N/A,N/A,N/A,393
,2025-2,Application,Individual children,Private law,N/A,All,,Other,1-4 years,N/A,N/A,N/A,3
,2025-2,Application,Individual children,Private law,N/A,All,,Male,10-14 years,N/A,N/A,N/A,2691
,2025-2,Application,Individual children,Private law,N/A,All,,Male,<1 year,N/A,N/A,N/A,416
,2025-2,Application,Individual children,Private law,N/A,All,,Other,10-14 years,N/A,N/A,N/A,2
,2025-2,Application,Individual children,Private law,N/A,All,,Female,Unknown,N/A,N/A,N/A,35
,2025-2,Application,Individual children,Private law,N/A,All,,Female,15-17 years,N/A,N/A,N/A,383
,2025-2,Application,Individual children,Private law,N/A,All,,Other,5-9 years,N/A,N/A,N/A,2
,2025-2,Application,Individual children,Private law,N/A,All,,Female,5-9 years,N/A,N/A,N/A,4030
,2025-2,Application,Individual children,Private law,N/A,All,,Other,15-17 years,N/A,N/A,N/A,1
,2025-2,Application,Individual children,Private law,N/A,All,,Unknown,<1 year,N/A,N/A,N/A,2
,2025-2,Application,Individual children,Public law,N/A,All,,Male,10-14 years,N/A,N/A,N/A,843
,2025-2,Application,Individual children,Public law,N/A,All,,Unknown,Unknown,N/A,N/A,N/A,6
,2025-2,Application,Individual children,Public law,N/A,All,,Female,Unknown,N/A,N/A,N/A,1
,2025-2,Application,Individual children,Public law,N/A,All,,Other,10-14 years,N/A,N/A,N/A,8
,2025-2,Application,Individual children,Public law,N/A,All,,Male,<1 year,N/A,N/A,N/A,720
,2025-2,Application,Individual children,Public law,N/A,All,,Female,15-17 years,N/A,N/A,N/A,313
,2025-2,Application,Individual children,Public law,N/A,All,,Other,5-9 years,N/A,N/A,N/A,1
,2025-2,Application,Individual children,Public law,N/A,All,,Female,5-9 years,N/A,N/A,N/A,861
,2025-2,Application,Individual children,Public law,N/A,All,,Male,1-4 years,N/A,N/A,N/A,813
,2025-2,Application,Individual children,Public law,N/A,All,,Male,15-17 years,N/A,N/A,N/A,308
,2025-2,Application,Individual children,Public law,N/A,All,,Unknown,5-9 years,N/A,N/A,N/A,1
,2025-2,Application,Individual children,Public law,N/A,All,,Female,1-4 years,N/A,N/A,N/A,744
,2025-2,Application,Individual children,Public law,N/A,All,,Male,5-9 years,N/A,N/A,N/A,945
,2025-2,Application,Individual children,Public law,N/A,All,,Female,10-14 years,N/A,N/A,N/A,892
,2025-2,Application,Individual children,Public law,N/A,All,,Male,Unknown,N/A,N/A,N/A,1
,2025-2,Application,Individual children,Public law,N/A,All,,Female,<1 year,N/A,N/A,N/A,735
,2025-2,Application,Individual children,Public law,N/A,All,,Other,15-17 years,N/A,N/A,N/A,7
,2025-2,Application,Individual children,Public law,N/A,All,,Female,Other,N/A,N/A,N/A,1
,2025-2,Application,Individual children,Public law,N/A,All,,Other,Unknown,N/A,N/A,N/A,2
,2025-2,Application,Individual children,Public law,N/A,All,,Unknown,15-17 years,N/A,N/A,N/A,1
,2025-3,Application,Individual children,Private law,N/A,All,,Male,5-9 years,N/A,N/A,N/A,4248
,2025-3,Application,Individual children,Private law,N/A,All,,Male,10-14 years,N/A,N/A,N/A,2853
,2025-3,Application,Individual children,Private law,N/A,All,,Unknown,15-17 years,N/A,N/A,N/A,2
,2025-3,Application,Individual children,Private law,N/A,All,,Other,5-9 years,N/A,N/A,N/A,5
,2025-3,Application,Individual children,Private law,N/A,All,,Unknown,10-14 years,N/A,N/A,N/A,9
,2025-3,Application,Individual children,Private law,N/A,All,,Unknown,1-4 years,N/A,N/A,N/A,15
,2025-3,Application,Individual children,Private law,N/A,All,,Female,Other,N/A,N/A,N/A,14
,2025-3,Application,Individual children,Private law,N/A,All,,Male,Unknown,N/A,N/A,N/A,155
,2025-3,Application,Individual children,Private law,N/A,All,,Female,1-4 years,N/A,N/A,N/A,2651
,2025-3,Application,Individual children,Private law,N/A,All,,Other,Unknown,N/A,N/A,N/A,5
,2025-3,Application,Individual children,Private law,N/A,All,,Male,15-17 years,N/A,N/A,N/A,411
,2025-3,Application,Individual children,Private law,N/A,All,,Female,5-9 years,N/A,N/A,N/A,4199
,2025-3,Application,Individual children,Private law,N/A,All,,Unknown,<1 year,N/A,N/A,N/A,2
,2025-3,Application,Individual children,Private law,N/A,All,,Female,<1 year,N/A,N/A,N/A,428
,2025-3,Application,Individual children,Private law,N/A,All,,Male,<1 year,N/A,N/A,N/A,452
,2025-3,Application,Individual children,Private law,N/A,All,,Female,15-17 years,N/A,N/A,N/A,442
,2025-3,Application,Individual children,Private law,N/A,All,,Female,10-14 years,N/A,N/A,N/A,2890
,2025-3,Application,Individual children,Private law,N/A,All,,Other,1-4 years,N/A,N/A,N/A,2
,2025-3,Application,Individual children,Private law,N/A,All,,Other,<1 year,N/A,N/A,N/A,1
,2025-3,Application,Individual children,Private law,N/A,All,,Male,1-4 years,N/A,N/A,N/A,2720
,2025-3,Application,Individual children,Private law,N/A,All,,Male,Other,N/A,N/A,N/A,10
,2025-3,Application,Individual children,Private law,N/A,All,,Unknown,Unknown,N/A,N/A,N/A,73
,2025-3,Application,Individual children,Private law,N/A,All,,Unknown,5-9 years,N/A,N/A,N/A,26
,2025-3,Application,Individual children,Private law,N/A,All,,Other,10-14 years,N/A,N/A,N/A,5
,2025-3,Application,Individual children,Private law,N/A,All,,Female,Unknown,N/A,N/A,N/A,128
,2025-3,Application,Individual children,Public law,N/A,All,,Female,10-14 years,N/A,N/A,N/A,873
,2025-3,Application,Individual children,Public law,N/A,All,,Other,15-17 years,N/A,N/A,N/A,7
,2025-3,Application,Individual children,Public law,N/A,All,,Female,15-17 years,N/A,N/A,N/A,341
,2025-3,Application,Individual children,Public law,N/A,All,,Other,5-9 years,N/A,N/A,N/A,1
,2025-3,Application,Individual children,Public law,N/A,All,,Other,10-14 years,N/A,N/A,N/A,4
,2025-3,Application,Individual children,Public law,N/A,All,,Female,Unknown,N/A,N/A,N/A,1
,2025-3,Application,Individual children,Public law,N/A,All,,Male,10-14 years,N/A,N/A,N/A,868
,2025-3,Application,Individual children,Public law,N/A,All,,Unknown,10-14 years,N/A,N/A,N/A,3
,2025-3,Application,Individual children,Public law,N/A,All,,Other,<1 year,N/A,N/A,N/A,1
,2025-3,Application,Individual children,Public law,N/A,All,,Male,1-4 years,N/A,N/A,N/A,742
,2025-3,Application,Individual children,Public law,N/A,All,,Male,Unknown,N/A,N/A,N/A,2
,2025-3,Application,Individual children,Public law,N/A,All,,Female,Other,N/A,N/A,N/A,3
,2025-3,Application,Individual children,Public law,N/A,All,,Male,5-9 years,N/A,N/A,N/A,972
,2025-3,Application,Individual children,Public law,N/A,All,,Male,<1 year,N/A,N/A,N/A,781
,2025-3,Application,Individual children,Public law,N/A,All,,Unknown,15-17 years,N/A,N/A,N/A,1
,2025-3,Application,Individual children,Public law,N/A,All,,Female,<1 year,N/A,N/A,N/A,671
,2025-3,Application,Individual children,Public law,N/A,All,,Male,15-17 years,N/A,N/A,N/A,315
,2025-3,Application,Individual children,Public law,N/A,All,,Female,1-4 years,N/A,N/A,N/A,707
,2025-3,Application,Individual children,Public law,N/A,All,,Unknown,Unknown,N/A,N/A,N/A,7
,2025-3,Application,Individual children,Public law,N/A,All,,Female,5-9 years,N/A,N/A,N/A,902
,2025-4,Application,Individual children,Private law,N/A,All,,Female,15-17 years,N/A,N/A,N/A,433
,2025-4,Application,Individual children,Private law,N/A,All,,Other,5-9 years,N/A,N/A,N/A,6
,2025-4,Application,Individual children,Private law,N/A,All,,Male,15-17 years,N/A,N/A,N/A,415
,2025-4,Application,Individual children,Private law,N/A,All,,Unknown,10-14 years,N/A,N/A,N/A,12
,2025-4,Application,Individual children,Private law,N/A,All,,Female,Other,N/A,N/A,N/A,11
,2025-4,Application,Individual children,Private law,N/A,All,,Unknown,15-17 years,N/A,N/A,N/A,4
,2025-4,Application,Individual children,Private law,N/A,All,,Male,<1 year,N/A,N/A,N/A,436
,2025-4,Application,Individual children,Private law,N/A,All,,Other,10-14 years,N/A,N/A,N/A,3
,2025-4,Application,Individual children,Private law,N/A,All,,Other,Unknown,N/A,N/A,N/A,3
,2025-4,Application,Individual children,Private law,N/A,All,,Male,10-14 years,N/A,N/A,N/A,2872
,2025-4,Application,Individual children,Private law,N/A,All,,Female,Unknown,N/A,N/A,N/A,91
,2025-4,Application,Individual children,Private law,N/A,All,,Unknown,5-9 years,N/A,N/A,N/A,14
,2025-4,Application,Individual children,Private law,N/A,All,,Male,Other,N/A,N/A,N/A,14
,2025-4,Application,Individual children,Private law,N/A,All,,Male,5-9 years,N/A,N/A,N/A,4111
,2025-4,Application,Individual children,Private law,N/A,All,,Other,1-4 years,N/A,N/A,N/A,2
,2025-4,Application,Individual children,Private law,N/A,All,,Other,<1 year,N/A,N/A,N/A,2
,2025-4,Application,Individual children,Private law,N/A,All,,Male,1-4 years,N/A,N/A,N/A,2460
,2025-4,Application,Individual children,Private law,N/A,All,,Unknown,1-4 years,N/A,N/A,N/A,5
,2025-4,Application,Individual children,Private law,N/A,All,,Female,5-9 years,N/A,N/A,N/A,4135
,2025-4,Application,Individual children,Private law,N/A,All,,Female,10-14 years,N/A,N/A,N/A,2741
,2025-4,Application,Individual children,Private law,N/A,All,,Unknown,Unknown,N/A,N/A,N/A,51
,2025-4,Application,Individual children,Private law,N/A,All,,Female,1-4 years,N/A,N/A,N/A,2496
,2025-4,Application,Individual children,Private law,N/A,All,,Male,Unknown,N/A,N/A,N/A,95
,2025-4,Application,Individual children,Private law,N/A,All,,Female,<1 year,N/A,N/A,N/A,377
,2025-4,Application,Individual children,Public law,N/A,All,,Unknown,Unknown,N/A,N/A,N/A,3
,2025-4,Application,Individual children,Public law,N/A,All,,Other,Unknown,N/A,N/A,N/A,1
,2025-4,Application,Individual children,Public law,N/A,All,,Unknown,5-9 years,N/A,N/A,N/A,1
,2025-4,Application,Individual children,Public law,N/A,All,,Female,<1 year,N/A,N/A,N/A,672
,2025-4,Application,Individual children,Public law,N/A,All,,Female,1-4 years,N/A,N/A,N/A,708
,2025-4,Application,Individual children,Public law,N/A,All,,Male,Unknown,N/A,N/A,N/A,6
,2025-4,Application,Individual children,Public law,N/A,All,,Male,15-17 years,N/A,N/A,N/A,284
,2025-4,Application,Individual children,Public law,N/A,All,,Female,15-17 years,N/A,N/A,N/A,306
,2025-4,Application,Individual children,Public law,N/A,All,,Female,Unknown,N/A,N/A,N/A,4
,2025-4,Application,Individual children,Public law,N/A,All,,Male,5-9 years,N/A,N/A,N/A,875
,2025-4,Application,Individual children,Public law,N/A,All,,Male,<1 year,N/A,N/A,N/A,723
,2025-4,Application,Individual children,Public law,N/A,All,,Female,10-14 years,N/A,N/A,N/A,892
,2025-4,Application,Individual children,Public law,N/A,All,,Female,5-9 years,N/A,N/A,N/A,855
,2025-4,Application,Individual children,Public law,N/A,All,,Male,10-14 years,N/A,N/A,N/A,815
,2025-4,Application,Individual children,Public law,N/A,All,,Female,Other,N/A,N/A,N/A,1
,2025-4,Application,Individual children,Public law,N/A,All,,Other,15-17 years,N/A,N/A,N/A,1
,2025-4,Application,Individual children,Public law,N/A,All,,Male,Other,N/A,N/A,N/A,1
