type,order_type,year,quarter,proceeding_type,law,contested,count
Order made,Judicial Separations Granted,2011,2,Judicial Separation,Old,No,44
Petitions,,2011,2,Judicial Separation,Old,,62
Petitions,,2011,2,Dissolution of Marriage,Old,,29483
Petitions,,2011,2,Nullity of Marriage,Old,,70
Order made,Decree Absolute,2011,3,Nullity of Marriage,Old,Yes,1
Order made,Decree Absolute,2011,3,Dissolution of Marriage,Old,No,29992
Order made,Decree Absolute,2011,3,Nullity of Marriage,Old,No,65
Order made,Decree Absolute,2011,3,Dissolution of Marriage,Old,Yes,182
Order made,Decree Nisi,2011,3,Dissolution of Marriage,Old,No,31240
Order made,Decree Nisi,2011,3,Nullity of Marriage,Old,Yes,1
Order made,Decree Nisi,2011,3,Nullity of Marriage,Old,No,69
Order made,Decree Nisi,2011,3,Dissolution of Marriage,Old,Yes,208
Order made,Judicial Separations Granted,2011,3,Judicial Separation,Old,No,26
Petitions,,2011,3,Nullity of Marriage,Old,,91
Petitions,,2011,3,Judicial Separation,Old,,40
Petitions,,2011,3,Dissolution of Marriage,Old,,34516
Order made,Decree Absolute,2011,4,Dissolution of Marriage,Old,Yes,185
Order made,Decree Absolute,2011,4,Nullity of Marriage,Old,Yes,2
Order made,Decree Absolute,2011,4,Nullity of Marriage,Old,No,46
Order made,Decree Absolute,2011,4,Dissolution of Marriage,Old,No,29239
Order made,Decree Nisi,2011,4,Dissolution of Marriage,Old,Yes,155
Order made,Decree Nisi,2011,4,Dissolution of Marriage,Old,No,31104
Order made,Decree Nisi,2011,4,Nullity of Marriage,Old,No,63
Order made,Decree Nisi,2011,4,Nullity of Marriage,Old,Yes,2
Order made,Judicial Separations Granted,2011,4,Judicial Separation,Old,Yes,1
Order made,Judicial Separations Granted,2011,4,Judicial Separation,Old,No,27
Petitions,,2011,4,Dissolution of Marriage,Old,,30604
Petitions,,2011,4,Judicial Separation,Old,,47
Petitions,,2011,4,Nullity of Marriage,Old,,106
Order made,Decree Absolute,2012,1,Dissolution of Marriage,Old,No,31442
Order made,Decree Absolute,2012,1,Nullity of Marriage,Old,Yes,1
Order made,Decree Absolute,2012,1,Dissolution of Marriage,Old,Yes,170
Order made,Decree Absolute,2012,1,Nullity of Marriage,Old,No,71
Order made,Decree Nisi,2012,1,Nullity of Marriage,Old,Yes,1
Order made,Decree Nisi,2012,1,Dissolution of Marriage,Old,No,31020
Order made,Decree Nisi,2012,1,Nullity of Marriage,Old,No,75
Order made,Decree Nisi,2012,1,Dissolution of Marriage,Old,Yes,164
Order made,Judicial Separations Granted,2012,1,Judicial Separation,Old,No,31
Petitions,,2012,1,Dissolution of Marriage,Old,,33688
Petitions,,2012,1,Nullity of Marriage,Old,,96
Petitions,,2012,1,Judicial Separation,Old,,57
Order made,Decree Absolute,2012,2,Dissolution of Marriage,Old,No,29382
Order made,Decree Absolute,2012,2,Nullity of Marriage,Old,No,69
Order made,Decree Absolute,2012,2,Nullity of Marriage,Old,Yes,2
Order made,Decree Absolute,2012,2,Dissolution of Marriage,Old,Yes,167
Order made,Decree Nisi,2012,2,Dissolution of Marriage,Old,No,30620
Order made,Decree Nisi,2012,2,Nullity of Marriage,Old,Yes,1
Order made,Decree Nisi,2012,2,Dissolution of Marriage,Old,Yes,171
Order made,Decree Nisi,2012,2,Nullity of Marriage,Old,No,70
Order made,Judicial Separations Granted,2012,2,Judicial Separation,Old,No,26
Petitions,,2012,2,Nullity of Marriage,Old,,110
Petitions,,2012,2,Dissolution of Marriage,Old,,30495
Petitions,,2012,2,Judicial Separation,Old,,57
Order made,Decree Absolute,2012,3,Nullity of Marriage,Old,Yes,1
Order made,Decree Absolute,2012,3,Dissolution of Marriage,Old,Yes,166
Order made,Decree Absolute,2012,3,Dissolution of Marriage,Old,No,30025
Order made,Decree Absolute,2012,3,Nullity of Marriage,Old,No,71
Order made,Decree Nisi,2012,3,Nullity of Marriage,Old,Yes,1
Order made,Decree Nisi,2012,3,Dissolution of Marriage,Old,No,30965
Order made,Decree Nisi,2012,3,Nullity of Marriage,Old,No,74
Order made,Decree Nisi,2012,3,Dissolution of Marriage,Old,Yes,137
Order made,Judicial Separations Granted,2012,3,Judicial Separation,Old,Yes,1
Order made,Judicial Separations Granted,2012,3,Judicial Separation,Old,No,34
Petitions,,2012,3,Nullity of Marriage,Old,,107
Petitions,,2012,3,Judicial Separation,Old,,54
Petitions,,2012,3,Dissolution of Marriage,Old,,31049
Order made,Decree Absolute,2012,4,Dissolution of Marriage,Old,Yes,153
Order made,Decree Absolute,2012,4,Nullity of Marriage,Old,No,74
Order made,Decree Absolute,2012,4,Dissolution of Marriage,Old,No,29011
Order made,Decree Absolute,2012,4,Nullity of Marriage,Old,Yes,1
Order made,Decree Nisi,2012,4,Nullity of Marriage,Old,No,77
Order made,Decree Nisi,2012,4,Dissolution of Marriage,Old,No,29102
Order made,Decree Nisi,2012,4,Dissolution of Marriage,Old,Yes,158
Order made,Decree Nisi,2012,4,Nullity of Marriage,Old,Yes,3
Order made,Judicial Separations Granted,2012,4,Judicial Separation,Old,Yes,1
Order made,Judicial Separations Granted,2012,4,Judicial Separation,Old,No,34
Petitions,,2012,4,Judicial Separation,Old,,60
Petitions,,2012,4,Dissolution of Marriage,Old,,29163
Petitions,,2012,4,Nullity of Marriage,Old,,132
Order made,Decree Absolute,2013,1,Nullity of Marriage,Old,Yes,3
Order made,Decree Absolute,2013,1,Dissolution of Marriage,Old,Yes,150
Order made,Decree Absolute,2013,1,Nullity of Marriage,Old,No,75
Order made,Decree Absolute,2013,1,Dissolution of Marriage,Old,No,28533
Order made,Decree Nisi,2013,1,Dissolution of Marriage,Old,Yes,156
Order made,Decree Nisi,2013,1,Nullity of Marriage,Old,Yes,1
Order made,Decree Nisi,2013,1,Dissolution of Marriage,Old,No,27646
Order made,Decree Nisi,2013,1,Nullity of Marriage,Old,No,86
Order made,Judicial Separations Granted,2013,1,Judicial Separation,Old,No,37
Petitions,,2013,1,Nullity of Marriage,Old,,152
Petitions,,2013,1,Dissolution of Marriage,Old,,30890
Petitions,,2013,1,Judicial Separation,Old,,70
Order made,Decree Absolute,2013,2,Dissolution of Marriage,Old,Yes,161
Order made,Decree Absolute,2013,2,Dissolution of Marriage,Old,No,28020
Order made,Decree Absolute,2013,2,Nullity of Marriage,Old,No,92
Order made,Decree Nisi,2013,2,Dissolution of Marriage,Old,Yes,144
Order made,Decree Nisi,2013,2,Nullity of Marriage,Old,Yes,1
Order made,Decree Nisi,2013,2,Dissolution of Marriage,Old,No,28919
Order made,Decree Nisi,2024,1,Nullity of Marriage,Old,No,57
Order made,Judicial Separations Granted,2024,1,Judicial Separation,Old,No,13
Order made,Judicial Separations Granted,2024,1,Judicial Separation,Old,Yes,1
Order made,Judicial Separations Granted,2024,1,Judicial Separation,New,,47
Petitions,,2024,1,Nullity of Marriage,Old,,104
Petitions,,2024,1,Dissolution of Marriage,New,,29797
Petitions,,2024,1,Judicial Separation,New,,90
Order made,Decree Absolute,2024,2,Nullity of Marriage,Old,No,50
Order made,Decree Absolute,2024,2,Dissolution of Marriage,Old,No,3085
Order made,Decree Absolute,2024,2,Dissolution of Marriage,Old,Yes,26
Order made,Decree Absolute,2024,2,Dissolution of Marriage,New,,25917
Order made,Decree Nisi,2024,2,Dissolution of Marriage,Old,Yes,26
Order made,Decree Nisi,2024,2,Dissolution of Marriage,Old,No,977
Order made,Decree Nisi,2024,2,Nullity of Marriage,Old,No,30
Order made,Decree Nisi,2024,2,Nullity of Marriage,Old,Yes,1
Order made,Decree Nisi,2024,2,Dissolution of Marriage,New,,28347
Order made,Judicial Separations Granted,2024,2,Judicial Separation,Old,No,13
Order made,Judicial Separations Granted,2024,2,Judicial Separation,New,,44
Petitions,,2024,2,Judicial Separation,New,,87
Petitions,,2024,2,Dissolution of Marriage,New,,27454
Petitions,,2024,2,Nullity of Marriage,Old,,127
Order made,Decree Absolute,2024,3,Dissolution of Marriage,New,,25064
Order made,Decree Absolute,2024,3,Nullity of Marriage,Old,No,37
Order made,Decree Absolute,2024,3,Dissolution of Marriage,Old,Yes,33
Order made,Decree Absolute,2024,3,Nullity of Marriage,Old,Yes,1
Order made,Decree Absolute,2024,3,Dissolution of Marriage,Old,No,2176
Order made,Decree Nisi,2024,3,Dissolution of Marriage,Old,No,663
Order made,Decree Nisi,2024,3,Dissolution of Marriage,Old,Yes,21
Order made,Decree Nisi,2024,3,Dissolution of Marriage,New,,27830
Order made,Decree Nisi,2024,3,Nullity of Marriage,Old,No,35
Order made,Judicial Separations Granted,2024,3,Judicial Separation,Old,No,5
Order made,Judicial Separations Granted,2024,3,Judicial Separation,New,,37
Petitions,,2024,3,Nullity of Marriage,Old,,121
Petitions,,2024,3,Dissolution of Marriage,New,,28066
Petitions,,2024,3,Judicial Separation,New,,91
Order made,Decree Absolute,2024,4,Dissolution of Marriage,Old,Yes,33
Order made,Decree Absolute,2024,4,Nullity of Marriage,Old,No,46
Order made,Decree Absolute,2024,4,Dissolution of Marriage,New,,21129
Order made,Decree Absolute,2024,4,Dissolution of Marriage,Old,No,2253
Order made,Decree Absolute,2024,4,Nullity of Marriage,Old,Yes,3
Order made,Decree Nisi,2024,4,Dissolution of Marriage,Old,No,677
Order made,Decree Nisi,2024,4,Nullity of Marriage,Old,No,82
Order made,Decree Nisi,2024,4,Dissolution of Marriage,New,,14993
Order made,Decree Nisi,2024,4,Nullity of Marriage,Old,Yes,3
Order made,Decree Nisi,2024,4,Dissolution of Marriage,Old,Yes,10
Order made,Judicial Separations Granted,2024,4,Judicial Separation,Old,No,6
Order made,Judicial Separations Granted,2024,4,Judicial Separation,New,,44
Petitions,,2024,4,Dissolution of Marriage,New,,25111
Petitions,,2024,4,Judicial Separation,New,,77
Petitions,,2024,4,Nullity of Marriage,Old,,102
Order made,Decree Absolute,2025,1,Dissolution of Marriage,Old,Yes,26
Order made,Decree Absolute,2025,1,Nullity of Marriage,Old,Yes,1
Order made,Decree Absolute,2025,1,Nullity of Marriage,Old,No,67
Order made,Decree Absolute,2025,1,Dissolution of Marriage,Old,No,1836
Order made,Decree Absolute,2025,1,Dissolution of Marriage,New,,20244
Order made,Decree Nisi,2025,1,Dissolution of Marriage,New,,26415
Order made,Decree Nisi,2025,1,Dissolution of Marriage,Old,No,449
Order made,Decree Nisi,2025,1,Nullity of Marriage,Old,Yes,2
Order made,Decree Nisi,2025,1,Dissolution of Marriage,Old,Yes,11
Order made,Decree Nisi,2025,1,Nullity of Marriage,Old,No,78
Order made,Judicial Separations Granted,2025,1,Judicial Separation,New,,53
Order made,Judicial Separations Granted,2025,1,Judicial Separation,Old,No,8
Petitions,,2025,1,Dissolution of Marriage,New,,30171
Petitions,,2025,1,Nullity of Marriage,Old,,101
Petitions,,2025,1,Judicial Separation,New,,86
Order made,Decree Absolute,2025,2,Nullity of Marriage,Old,Yes,3
Order made,Decree Absolute,2025,2,Dissolution of Marriage,Old,Yes,15
Order made,Decree Absolute,2025,2,Dissolution of Marriage,Old,No,1558
Order made,Decree Absolute,2025,2,Dissolution of Marriage,New,,26591
Order made,Decree Absolute,2025,2,Nullity of Marriage,Old,No,94
Order made,Decree Nisi,2025,2,Nullity of Marriage,Old,No,76
Order made,Decree Nisi,2025,2,Dissolution of Marriage,Old,Yes,8
Order made,Decree Nisi,2025,2,Nullity of Marriage,Old,Yes,3
Order made,Decree Nisi,2025,2,Dissolution of Marriage,Old,No,459
Order made,Decree Nisi,2025,2,Dissolution of Marriage,New,,30383
Order made,Judicial Separations Granted,2025,2,Judicial Separation,New,,76
Order made,Judicial Separations Granted,2025,2,Judicial Separation,Old,No,3
Petitions,,2025,2,Dissolution of Marriage,New,,27614
Petitions,,2025,2,Nullity of Marriage,Old,,99
Petitions,,2025,2,Judicial Separation,New,,66
Order made,Decree Absolute,2025,3,Dissolution of Marriage,New,,26426
Order made,Decree Absolute,2025,3,Dissolution of Marriage,Old,No,1277
Order made,Decree Absolute,2025,3,Nullity of Marriage,Old,No,65
Order made,Decree Absolute,2025,3,Dissolution of Marriage,Old,Yes,14
Order made,Decree Nisi,2025,3,Dissolution of Marriage,Old,No,481
Order made,Decree Nisi,2025,3,Dissolution of Marriage,New,,29082
Order made,Decree Nisi,2025,3,Nullity of Marriage,Old,No,73
Order made,Decree Nisi,2025,3,Dissolution of Marriage,Old,Yes,13
Order made,Judicial Separations Granted,2025,3,Judicial Separation,Old,No,4
Order made,Judicial Separations Granted,2025,3,Judicial Separation,New,,51
Petitions,,2025,3,Nullity of Marriage,Old,,66
Petitions,,2025,3,Judicial Separation,New,,85
Petitions,,2025,3,Dissolution of Marriage,New,,27498
Order made,Decree Absolute,2025,4,Dissolution of Marriage,Old,No,1103
Order made,Decree Absolute,2025,4,Dissolution of Marriage,New,,26596
Order made,Decree Absolute,2025,4,Nullity of Marriage,Old,No,71
Order made,Decree Absolute,2025,4,Dissolution of Marriage,Old,Yes,18
Order made,Decree Nisi,2025,4,Nullity of Marriage,Old,No,67
Order made,Decree Nisi,2025,4,Dissolution of Marriage,Old,Yes,2
Order made,Decree Nisi,2025,4,Dissolution of Marriage,New,,29941
Order made,Decree Nisi,2025,4,Dissolution of Marriage,Old,No,443
Order made,Judicial Separations Granted,2025,4,Judicial Separation,Old,No,2
Order made,Judicial Separations Granted,2025,4,Judicial Separation,New,,41
Petitions,,2025,4,Judicial Separation,New,,62
Petitions,,2025,4,Nullity of Marriage,Old,,68
Petitions,,2025,4,Dissolution of Marriage,New,,23901
Order made,Decree Nisi,2013,2,Nullity of Marriage,Old,No,107
Order made,Judicial Separations Granted,2013,2,Judicial Separation,Old,No,41
Petitions,,2013,2,Judicial Separation,Old,,56
Petitions,,2013,2,Dissolution of Marriage,Old,,32023
Petitions,,2013,2,Nullity of Marriage,Old,,142
Order made,Decree Absolute,2013,3,Nullity of Marriage,Old,No,106
Order made,Decree Absolute,2013,3,Dissolution of Marriage,Old,Yes,149
Order made,Decree Absolute,2013,3,Nullity of Marriage,Old,Yes,3
Order made,Decree Absolute,2013,3,Dissolution of Marriage,Old,No,29659
Order made,Decree Nisi,2013,3,Dissolution of Marriage,Old,No,28808
Order made,Decree Nisi,2013,3,Nullity of Marriage,Old,No,96
Order made,Decree Nisi,2013,3,Dissolution of Marriage,Old,Yes,150
Order made,Decree Nisi,2013,3,Nullity of Marriage,Old,Yes,3
Order made,Judicial Separations Granted,2013,3,Judicial Separation,Old,No,34
Petitions,,2013,3,Dissolution of Marriage,Old,,28429
Petitions,,2013,3,Judicial Separation,Old,,35
Petitions,,2013,3,Nullity of Marriage,Old,,144
Order made,Decree Absolute,2013,4,Dissolution of Marriage,Old,No,28044
Order made,Decree Absolute,2013,4,Dissolution of Marriage,Old,Yes,151
Order made,Decree Absolute,2013,4,Nullity of Marriage,Old,Yes,2
Order made,Decree Absolute,2013,4,Nullity of Marriage,Old,No,85
Order made,Decree Nisi,2013,4,Dissolution of Marriage,Old,No,27337
Order made,Decree Nisi,2013,4,Dissolution of Marriage,Old,Yes,126
Order made,Decree Nisi,2013,4,Nullity of Marriage,Old,Yes,2
Order made,Decree Nisi,2013,4,Nullity of Marriage,Old,No,96
Order made,Judicial Separations Granted,2013,4,Judicial Separation,Old,No,23
Petitions,,2013,4,Nullity of Marriage,Old,,137
Petitions,,2013,4,Dissolution of Marriage,Old,,26141
Petitions,,2013,4,Judicial Separation,Old,,61
Order made,Decree Absolute,2014,1,Dissolution of Marriage,Old,Yes,114
Order made,Decree Absolute,2014,1,Nullity of Marriage,Old,No,105
Order made,Decree Absolute,2014,1,Dissolution of Marriage,Old,No,29027
Order made,Decree Absolute,2014,1,Nullity of Marriage,Old,Yes,1
Order made,Decree Nisi,2014,1,Dissolution of Marriage,Old,No,26982
Order made,Decree Nisi,2014,1,Nullity of Marriage,Old,Yes,4
Order made,Decree Nisi,2014,1,Nullity of Marriage,Old,No,110
Order made,Decree Nisi,2014,1,Dissolution of Marriage,Old,Yes,128
Order made,Judicial Separations Granted,2014,1,Judicial Separation,Old,No,36
Petitions,,2014,1,Judicial Separation,Old,,58
Petitions,,2014,1,Dissolution of Marriage,Old,,28532
Petitions,,2014,1,Nullity of Marriage,Old,,147
Order made,Decree Absolute,2014,2,Nullity of Marriage,Old,Yes,2
Order made,Decree Absolute,2014,2,Nullity of Marriage,Old,No,115
Order made,Decree Absolute,2014,2,Dissolution of Marriage,Old,Yes,122
Order made,Decree Absolute,2014,2,Dissolution of Marriage,Old,No,27597
Order made,Decree Nisi,2014,2,Nullity of Marriage,Old,No,115
Order made,Decree Nisi,2014,2,Dissolution of Marriage,Old,Yes,148
Order made,Decree Nisi,2014,2,Nullity of Marriage,Old,Yes,2
Order made,Decree Nisi,2014,2,Dissolution of Marriage,Old,No,27047
Order made,Judicial Separations Granted,2014,2,Judicial Separation,Old,Yes,1
Order made,Judicial Separations Granted,2014,2,Judicial Separation,Old,No,32
Petitions,,2014,2,Dissolution of Marriage,Old,,27595
Petitions,,2014,2,Judicial Separation,Old,,38
Petitions,,2014,2,Nullity of Marriage,Old,,118
Order made,Decree Absolute,2014,3,Nullity of Marriage,Old,No,102
Order made,Decree Absolute,2014,3,Dissolution of Marriage,Old,No,27642
Order made,Decree Absolute,2014,3,Dissolution of Marriage,Old,Yes,163
Order made,Decree Nisi,2014,3,Dissolution of Marriage,Old,No,28000
Order made,Decree Nisi,2014,3,Dissolution of Marriage,Old,Yes,150
Order made,Decree Nisi,2014,3,Nullity of Marriage,Old,No,112
Order made,Decree Nisi,2014,3,Nullity of Marriage,Old,Yes,1
Order made,Judicial Separations Granted,2014,3,Judicial Separation,Old,No,37
Order made,Judicial Separations Granted,2014,3,Judicial Separation,Old,Yes,2
Petitions,,2014,3,Dissolution of Marriage,Old,,29131
Petitions,,2014,3,Nullity of Marriage,Old,,128
Petitions,,2014,3,Judicial Separation,Old,,68
Order made,Decree Absolute,2014,4,Dissolution of Marriage,Old,Yes,152
Order made,Decree Absolute,2014,4,Nullity of Marriage,Old,Yes,2
Order made,Decree Absolute,2014,4,Dissolution of Marriage,Old,No,26983
Order made,Decree Absolute,2014,4,Nullity of Marriage,Old,No,111
Order made,Decree Nisi,2014,4,Nullity of Marriage,Old,No,109
Order made,Decree Nisi,2014,4,Dissolution of Marriage,Old,Yes,135
Order made,Decree Nisi,2014,4,Dissolution of Marriage,Old,No,27066
Order made,Judicial Separations Granted,2014,4,Judicial Separation,Old,Yes,2
Order made,Judicial Separations Granted,2014,4,Judicial Separation,Old,No,30
Petitions,,2014,4,Nullity of Marriage,Old,,118
Petitions,,2014,4,Dissolution of Marriage,Old,,27301
Petitions,,2014,4,Judicial Separation,Old,,47
Order made,Decree Absolute,2015,1,Dissolution of Marriage,Old,No,26936
Order made,Decree Absolute,2015,1,Dissolution of Marriage,Old,Yes,132
Order made,Decree Absolute,2015,1,Nullity of Marriage,Old,No,100
Order made,Decree Nisi,2015,1,Dissolution of Marriage,Old,Yes,132
Order made,Decree Nisi,2015,1,Nullity of Marriage,Old,Yes,1
Order made,Decree Nisi,2015,1,Dissolution of Marriage,Old,No,27317
Order made,Decree Nisi,2015,1,Nullity of Marriage,Old,No,100
Order made,Judicial Separations Granted,2015,1,Judicial Separation,Old,No,40
Petitions,,2015,1,Nullity of Marriage,Old,,131
Petitions,,2015,1,Dissolution of Marriage,Old,,28589
Petitions,,2015,1,Judicial Separation,Old,,65
Order made,Decree Absolute,2015,2,Dissolution of Marriage,Old,No,26072
Order made,Decree Absolute,2015,2,Dissolution of Marriage,Old,Yes,141
Order made,Decree Absolute,2015,2,Nullity of Marriage,Old,No,86
Order made,Decree Absolute,2015,2,Nullity of Marriage,Old,Yes,1
Order made,Decree Nisi,2015,2,Nullity of Marriage,Old,Yes,1
Order made,Decree Nisi,2015,2,Nullity of Marriage,Old,No,99
Order made,Decree Nisi,2015,2,Dissolution of Marriage,Old,No,25577
Order made,Decree Nisi,2015,2,Dissolution of Marriage,Old,Yes,132
Order made,Judicial Separations Granted,2015,2,Judicial Separation,Old,No,33
Petitions,,2015,2,Nullity of Marriage,Old,,125
Petitions,,2015,2,Judicial Separation,Old,,56
Petitions,,2015,2,Dissolution of Marriage,Old,,28080
Order made,Decree Absolute,2015,3,Dissolution of Marriage,Old,No,26181
Order made,Decree Absolute,2015,3,Nullity of Marriage,Old,No,103
Order made,Decree Absolute,2015,3,Dissolution of Marriage,Old,Yes,122
Order made,Decree Nisi,2015,3,Dissolution of Marriage,Old,Yes,134
Order made,Decree Nisi,2015,3,Dissolution of Marriage,Old,No,24220
Order made,Decree Nisi,2015,3,Nullity of Marriage,Old,Yes,2
Order made,Decree Nisi,2015,3,Nullity of Marriage,Old,No,91
Order made,Judicial Separations Granted,2015,3,Judicial Separation,Old,No,36
Petitions,,2015,3,Judicial Separation,Old,,38
Petitions,,2015,3,Nullity of Marriage,Old,,100
Petitions,,2015,3,Dissolution of Marriage,Old,,28357
Order made,Decree Absolute,2015,4,Nullity of Marriage,Old,Yes,3
Order made,Decree Absolute,2015,4,Nullity of Marriage,Old,No,83
Order made,Decree Absolute,2015,4,Dissolution of Marriage,Old,No,22437
Order made,Decree Absolute,2015,4,Dissolution of Marriage,Old,Yes,133
Order made,Decree Nisi,2015,4,Dissolution of Marriage,Old,Yes,101
Order made,Decree Nisi,2015,4,Nullity of Marriage,Old,Yes,1
Order made,Decree Nisi,2015,4,Nullity of Marriage,Old,No,73
Order made,Decree Nisi,2015,4,Dissolution of Marriage,Old,No,21469
Order made,Judicial Separations Granted,2015,4,Judicial Separation,Old,No,30
Petitions,,2015,4,Nullity of Marriage,Old,,129
Petitions,,2015,4,Dissolution of Marriage,Old,,29478
Petitions,,2015,4,Judicial Separation,Old,,57
Order made,Decree Absolute,2016,1,Nullity of Marriage,Old,No,80
Order made,Decree Absolute,2016,1,Dissolution of Marriage,Old,Yes,106
Order made,Decree Absolute,2016,1,Dissolution of Marriage,Old,No,26629
Order made,Decree Absolute,2016,1,Nullity of Marriage,Old,Yes,1
Order made,Decree Nisi,2016,1,Dissolution of Marriage,Old,No,31890
Order made,Decree Nisi,2016,1,Dissolution of Marriage,Old,Yes,135
Order made,Decree Nisi,2016,1,Nullity of Marriage,Old,No,101
Order made,Judicial Separations Granted,2016,1,Judicial Separation,Old,No,33
Petitions,,2016,1,Judicial Separation,Old,,56
Petitions,,2016,1,Nullity of Marriage,Old,,111
Petitions,,2016,1,Dissolution of Marriage,Old,,29019
Order made,Decree Absolute,2016,2,Dissolution of Marriage,Old,Yes,138
Order made,Decree Absolute,2016,2,Dissolution of Marriage,Old,No,28979
Order made,Decree Absolute,2016,2,Nullity of Marriage,Old,No,109
Order made,Decree Nisi,2016,2,Dissolution of Marriage,Old,Yes,112
Order made,Decree Nisi,2016,2,Nullity of Marriage,Old,No,96
Order made,Decree Nisi,2016,2,Dissolution of Marriage,Old,No,28178
Order made,Decree Nisi,2016,2,Nullity of Marriage,Old,Yes,1
Order made,Judicial Separations Granted,2016,2,Judicial Separation,Old,No,37
Petitions,,2016,2,Dissolution of Marriage,Old,,30282
Petitions,,2016,2,Judicial Separation,Old,,70
Petitions,,2016,2,Nullity of Marriage,Old,,119
Order made,Decree Absolute,2016,3,Dissolution of Marriage,Old,No,27497
Order made,Decree Absolute,2016,3,Nullity of Marriage,Old,No,97
Order made,Decree Absolute,2016,3,Nullity of Marriage,Old,Yes,1
Order made,Decree Absolute,2016,3,Dissolution of Marriage,Old,Yes,96
Order made,Decree Nisi,2016,3,Nullity of Marriage,Old,Yes,2
Order made,Decree Nisi,2016,3,Dissolution of Marriage,Old,Yes,104
Order made,Decree Nisi,2016,3,Dissolution of Marriage,Old,No,27476
Order made,Decree Nisi,2016,3,Nullity of Marriage,Old,No,81
Order made,Judicial Separations Granted,2016,3,Judicial Separation,Old,No,28
Petitions,,2016,3,Nullity of Marriage,Old,,105
Petitions,,2016,3,Judicial Separation,Old,,59
Petitions,,2016,3,Dissolution of Marriage,Old,,27529
Order made,Decree Absolute,2016,4,Nullity of Marriage,Old,No,70
Order made,Decree Absolute,2016,4,Nullity of Marriage,Old,Yes,1
Order made,Decree Absolute,2016,4,Dissolution of Marriage,Old,No,24698
Order made,Decree Absolute,2016,4,Dissolution of Marriage,Old,Yes,112
Order made,Decree Nisi,2016,4,Dissolution of Marriage,Old,Yes,125
Order made,Decree Nisi,2016,4,Nullity of Marriage,Old,No,90
Order made,Decree Nisi,2016,4,Dissolution of Marriage,Old,No,26103
Order made,Judicial Separations Granted,2016,4,Judicial Separation,Old,No,36
Petitions,,2016,4,Judicial Separation,Old,,57
Petitions,,2016,4,Dissolution of Marriage,Old,,27209
Petitions,,2016,4,Nullity of Marriage,Old,,123
Order made,Decree Absolute,2017,1,Dissolution of Marriage,Old,No,27846
Order made,Decree Absolute,2017,1,Nullity of Marriage,Old,No,97
Order made,Decree Absolute,2017,1,Dissolution of Marriage,Old,Yes,117
Order made,Decree Nisi,2017,1,Dissolution of Marriage,Old,No,28676
Order made,Decree Nisi,2017,1,Nullity of Marriage,Old,No,92
Order made,Decree Nisi,2017,1,Dissolution of Marriage,Old,Yes,126
Order made,Judicial Separations Granted,2017,1,Judicial Separation,Old,Yes,1
Order made,Judicial Separations Granted,2017,1,Judicial Separation,Old,No,40
Petitions,,2017,1,Nullity of Marriage,Old,,104
Petitions,,2017,1,Judicial Separation,Old,,60
Petitions,,2017,1,Dissolution of Marriage,Old,,28518
Order made,Decree Absolute,2017,2,Dissolution of Marriage,Old,Yes,111
Order made,Decree Absolute,2017,2,Nullity of Marriage,Old,No,76
Order made,Decree Absolute,2017,2,Dissolution of Marriage,Old,No,26382
Order made,Decree Nisi,2017,2,Nullity of Marriage,Old,No,80
Order made,Decree Nisi,2017,2,Dissolution of Marriage,Old,Yes,118
Order made,Decree Nisi,2017,2,Dissolution of Marriage,Old,No,25581
Order made,Judicial Separations Granted,2017,2,Judicial Separation,Old,No,30
Petitions,,2017,2,Nullity of Marriage,Old,,104
Petitions,,2017,2,Dissolution of Marriage,Old,,27094
Petitions,,2017,2,Judicial Separation,Old,,70
Order made,Decree Absolute,2017,3,Dissolution of Marriage,Old,No,24847
Order made,Decree Absolute,2017,3,Nullity of Marriage,Old,No,92
Order made,Decree Absolute,2017,3,Dissolution of Marriage,Old,Yes,100
Order made,Decree Nisi,2017,3,Nullity of Marriage,Old,Yes,1
Order made,Decree Nisi,2017,3,Dissolution of Marriage,Old,Yes,139
Order made,Decree Nisi,2017,3,Nullity of Marriage,Old,No,80
Order made,Decree Nisi,2017,3,Dissolution of Marriage,Old,No,24116
Order made,Judicial Separations Granted,2017,3,Judicial Separation,Old,No,40
Order made,Judicial Separations Granted,2017,3,Judicial Separation,Old,Yes,2
Petitions,,2017,3,Judicial Separation,Old,,74
Petitions,,2017,3,Nullity of Marriage,Old,,97
Petitions,,2017,3,Dissolution of Marriage,Old,,27874
Order made,Decree Absolute,2017,4,Nullity of Marriage,Old,No,65
Order made,Decree Absolute,2017,4,Dissolution of Marriage,Old,Yes,127
Order made,Decree Absolute,2017,4,Dissolution of Marriage,Old,No,23271
Order made,Decree Absolute,2017,4,Nullity of Marriage,Old,Yes,1
Order made,Decree Nisi,2017,4,Nullity of Marriage,Old,No,80
Order made,Decree Nisi,2017,4,Dissolution of Marriage,Old,Yes,107
Order made,Decree Nisi,2017,4,Dissolution of Marriage,Old,No,24257
Order made,Judicial Separations Granted,2017,4,Judicial Separation,Old,No,39
Petitions,,2017,4,Nullity of Marriage,Old,,92
Petitions,,2017,4,Dissolution of Marriage,Old,,25780
Petitions,,2017,4,Judicial Separation,Old,,64
Order made,Decree Absolute,2018,1,Dissolution of Marriage,Old,Yes,113
Order made,Decree Absolute,2018,1,Nullity of Marriage,Old,Yes,1
Order made,Decree Absolute,2018,1,Nullity of Marriage,Old,No,69
