YEAR,QUARTER,CASE_TYPE,Type,Order_type,Exparte_or_On_Notice,Power_of_arrest,Total
2020,3,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,3
2020,4,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,4
2020,4,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,8
2020,4,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,909
2020,4,Adoption,Orders applied for,Non-Molestation,Exparte,n/a,1
2020,4,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,1056
2020,4,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,398
2020,4,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,6744
2021,1,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,7
2021,1,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,972
2021,1,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,6670
2021,1,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,355
2021,1,Adoption,Orders applied for,Non-Molestation,Exparte,n/a,1
2021,1,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,906
2021,1,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,2
2021,2,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,4
2021,2,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,3
2021,2,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,881
2021,2,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,6042
2021,2,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,327
2021,2,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,947
2021,3,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,941
2021,3,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,4
2021,3,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,6572
2021,3,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,354
2021,3,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,1069
2021,3,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,6
2021,4,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,9
2021,4,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,880
2021,4,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,1147
2021,4,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,6432
2021,4,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,350
2021,4,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,1
2022,1,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,1173
2022,1,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,939
2022,1,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,6874
2022,1,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,369
2022,1,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,3
2022,1,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,3
2022,2,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,4
2022,2,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,758
2022,2,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,1064
2022,2,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,3
2022,2,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,6602
2022,2,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,304
2022,3,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,6790
2022,3,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,325
2022,3,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,873
2022,3,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,1
2022,3,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,4
2022,3,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,1131
2022,4,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,1077
2022,4,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,881
2022,4,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,6597
2022,4,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,333
2022,4,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,4
2023,1,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,6730
2023,1,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,1133
2023,1,Adoption,Orders applied for,Non-Molestation,Exparte,n/a,2
2023,1,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,373
2023,1,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,1
2023,1,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,1044
2023,1,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,3
2023,2,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,365
2023,2,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,6140
2023,2,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,1062
2023,2,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,1186
2023,2,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,1
2023,3,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,6118
2023,3,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,446
2023,3,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,1405
2023,3,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,1055
2023,4,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,1008
2023,4,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,5357
2023,4,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,1
2023,4,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,3
2023,4,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,1607
2023,4,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,489
2024,1,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,5533
2024,1,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,446
2024,1,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,1706
2024,1,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,1017
2024,1,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,2
2024,2,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,1
2024,2,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,1673
2024,2,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,5568
2024,2,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,466
2024,2,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,962
2024,2,Adoption,Orders applied for,Non-Molestation,Exparte,n/a,1
2024,2,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,2
2024,3,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,1780
2024,3,Adoption,Orders applied for,Non-Molestation,On Notice,n/a,1
2024,3,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,2
2024,3,Adoption,Orders applied for,Non-Molestation,Exparte,n/a,1
2024,3,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,5541
2024,3,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,461
2024,3,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,949
2024,4,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,956
2024,4,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,1
2024,4,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,1738
2024,4,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,5279
2024,4,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,482
2025,1,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,2041
2025,1,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,1
2025,1,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,898
2025,1,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,5360
2025,1,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,2
2025,1,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,521
2025,2,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,505
2025,2,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,1021
2025,2,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,2012
2025,2,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,1
2025,2,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,2
2025,2,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,5272
2025,3,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,5859
2025,3,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,2335
2025,3,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,506
2025,3,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,1147
2025,3,Adoption,Orders applied for,Non-Molestation,Exparte,n/a,1
2025,3,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,5
2025,4,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,2
2025,4,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,2008
2025,4,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,5286
2025,4,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,1095
2025,4,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,496
2009,1,n/a,Orders made,Non-Molestation,n/a,n/a,5437
2009,1,n/a,Orders made,Occupation,n/a,n/a,1247
2009,2,n/a,Orders made,Non-Molestation,n/a,n/a,5616
2009,2,n/a,Orders made,Occupation,n/a,n/a,1227
2009,3,n/a,Orders made,Non-Molestation,n/a,n/a,6177
2009,3,n/a,Orders made,Occupation,n/a,n/a,1160
2009,4,n/a,Orders made,Non-Molestation,n/a,n/a,5651
2009,4,n/a,Orders made,Occupation,n/a,n/a,1028
2010,1,n/a,Orders made,Non-Molestation,n/a,n/a,5301
2010,1,n/a,Orders made,Occupation,n/a,n/a,933
2010,2,n/a,Orders made,Non-Molestation,n/a,n/a,5339
2010,2,n/a,Orders made,Occupation,n/a,n/a,950
2010,3,n/a,Orders made,Non-Molestation,n/a,n/a,5706
2010,3,n/a,Orders made,Occupation,n/a,n/a,987
2010,4,n/a,Orders made,Non-Molestation,n/a,n/a,4848
2010,4,n/a,Orders made,Occupation,n/a,n/a,845
2011,1,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,1997
2011,1,Childrens Act,Orders made,Occupation,Exparte,n/a,1
2011,1,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,137
2011,1,Childrens Act,Orders made,Occupation,On Notice,n/a,7
2011,1,Domestic Violence,Orders made,Occupation,Exparte,n/a,256
2011,1,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,2752
2011,1,Domestic Violence,Orders made,Occupation,On Notice,n/a,552
2011,1,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,39
2011,2,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,40
2011,2,Childrens Act,Orders made,Occupation,On Notice,n/a,20
2011,2,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,1820
2011,2,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,125
2011,2,Childrens Act,Orders made,Occupation,Exparte,n/a,2
2011,2,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,2878
2011,2,Domestic Violence,Orders made,Occupation,On Notice,n/a,525
2011,2,Domestic Violence,Orders made,Occupation,Exparte,n/a,277
2011,3,Domestic Violence,Orders made,Occupation,Exparte,n/a,260
2011,3,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,132
2011,3,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,53
2011,3,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,1890
2011,3,Childrens Act,Orders made,Occupation,On Notice,n/a,19
2011,3,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,3052
2011,3,Domestic Violence,Orders made,Occupation,On Notice,n/a,510
2011,3,Childrens Act,Orders made,Occupation,Exparte,n/a,3
2011,4,Childrens Act,Orders made,Occupation,Exparte,n/a,4
2011,4,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,1797
2011,4,Domestic Violence,Orders made,Occupation,Exparte,n/a,231
2011,4,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,46
2011,4,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,174
2011,4,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,2624
2011,4,Domestic Violence,Orders made,Occupation,On Notice,n/a,492
2011,4,Childrens Act,Orders made,Occupation,On Notice,n/a,13
2012,1,Domestic Violence,Orders made,Occupation,Exparte,n/a,212
2012,1,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,23
2012,1,Childrens Act,Orders made,Occupation,On Notice,n/a,5
2012,1,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,1900
2012,1,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,2827
2012,1,Domestic Violence,Orders made,Occupation,On Notice,n/a,495
2012,1,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,126
2012,2,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,100
2012,2,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,24
2012,2,Childrens Act,Orders made,Occupation,On Notice,n/a,12
2012,2,Domestic Violence,Orders made,Occupation,Exparte,n/a,216
2012,2,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,2881
2012,2,Domestic Violence,Orders made,Occupation,On Notice,n/a,452
2012,2,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,1732
2012,3,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,1896
2012,3,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,23
2012,3,Childrens Act,Orders made,Occupation,On Notice,n/a,9
2012,3,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,125
2012,3,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,2953
2012,3,Domestic Violence,Orders made,Occupation,On Notice,n/a,493
2012,3,Domestic Violence,Orders made,Occupation,Exparte,n/a,230
2012,4,Domestic Violence,Orders made,Occupation,Exparte,n/a,189
2012,4,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,23
2012,4,Childrens Act,Orders made,Occupation,On Notice,n/a,12
2012,4,Childrens Act,Orders made,Occupation,Exparte,n/a,2
2012,4,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,1831
2012,4,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,2788
2012,4,Domestic Violence,Orders made,Occupation,On Notice,n/a,432
2012,4,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,151
2013,1,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,14
2013,1,Childrens Act,Orders made,Occupation,On Notice,n/a,11
2013,1,Domestic Violence,Orders made,Occupation,Exparte,n/a,212
2013,1,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,1808
2013,1,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,3069
2013,1,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,108
2013,1,Domestic Violence,Orders made,Occupation,On Notice,n/a,434
2013,2,Domestic Violence,Orders made,Occupation,On Notice,n/a,506
2013,2,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,14
2013,2,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,144
2013,2,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,3155
2013,2,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,2071
2013,2,Childrens Act,Orders made,Occupation,On Notice,n/a,9
2013,2,Domestic Violence,Orders made,Occupation,Exparte,n/a,208
2013,3,Domestic Violence,Orders made,Occupation,Exparte,n/a,208
2013,3,Domestic Violence,Orders made,Occupation,On Notice,n/a,463
2013,3,Childrens Act,Orders made,Occupation,Exparte,n/a,1
2013,3,Childrens Act,Orders made,Occupation,On Notice,n/a,16
2013,3,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,2180
2013,3,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,3643
2013,3,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,22
2013,3,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,135
2013,4,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,151
2013,4,Domestic Violence,Orders made,Occupation,On Notice,n/a,480
2013,4,Domestic Violence,Orders made,Occupation,Exparte,n/a,191
2013,4,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,12
2013,4,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,3694
2013,4,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,2063
2013,4,Childrens Act,Orders made,Occupation,On Notice,n/a,9
2014,1,Childrens Act,Orders made,Occupation,On Notice,n/a,5
2014,1,Domestic Violence,Orders made,Occupation,Exparte,n/a,179
2014,1,Domestic Violence,Orders made,Occupation,On Notice,n/a,444
2014,1,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,23
2014,1,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,146
2014,1,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,3492
2014,1,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,2194
2014,1,Childrens Act,Orders made,Occupation,Exparte,n/a,1
2014,2,Childrens Act,Orders made,Occupation,Exparte,n/a,1
2014,2,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,3463
2014,2,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,152
2014,2,Domestic Violence,Orders made,Occupation,Exparte,n/a,167
2014,2,Childrens Act,Orders made,Occupation,On Notice,n/a,4
2014,2,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,19
2014,2,Domestic Violence,Orders made,Occupation,On Notice,n/a,440
2014,2,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,2153
2014,3,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,2472
2014,3,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,15
2014,3,Childrens Act,Orders made,Occupation,On Notice,n/a,18
2014,3,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,3606
2014,3,Childrens Act,Orders made,Occupation,Exparte,n/a,1
2014,3,Domestic Violence,Orders made,Occupation,Exparte,n/a,164
2014,3,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,136
2014,3,Domestic Violence,Orders made,Occupation,On Notice,n/a,520
2014,4,Domestic Violence,Orders made,Occupation,On Notice,n/a,489
2014,4,Domestic Violence,Orders made,Occupation,Exparte,n/a,144
2014,4,Childrens Act,Orders made,Occupation,Exparte,n/a,2
2014,4,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,20
2014,4,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,2711
2014,4,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,3228
2014,4,Childrens Act,Orders made,Occupation,On Notice,n/a,12
2014,4,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,169
2015,1,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,140
2015,1,Domestic Violence,Orders made,Occupation,Exparte,n/a,142
2015,1,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,2429
2015,1,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,15
2015,1,Childrens Act,Orders made,Occupation,On Notice,n/a,4
2015,1,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,3102
2015,1,Domestic Violence,Orders made,Occupation,On Notice,n/a,424
2015,2,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,3271
2015,2,Domestic Violence,Orders made,Occupation,On Notice,n/a,427
2015,2,Domestic Violence,Orders made,Occupation,Exparte,n/a,134
2015,2,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,152
2015,2,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,16
2015,2,Childrens Act,Orders made,Occupation,On Notice,n/a,20
2015,2,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,2407
2015,3,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,2712
2015,3,Domestic Violence,Orders made,Occupation,Exparte,n/a,123
2015,3,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,3239
2015,3,Domestic Violence,Orders made,Occupation,On Notice,n/a,484
2015,3,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,13
2015,3,Childrens Act,Orders made,Occupation,On Notice,n/a,6
2015,3,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,161
2015,4,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,147
2015,4,Domestic Violence,Orders made,Occupation,Exparte,n/a,114
2015,4,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,2667
2015,4,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,7
2015,4,Childrens Act,Orders made,Occupation,On Notice,n/a,18
2015,4,Childrens Act,Orders made,Occupation,Exparte,n/a,1
2015,4,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,3152
2015,4,Domestic Violence,Orders made,Occupation,On Notice,n/a,451
2016,1,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,15
2016,1,Childrens Act,Orders made,Occupation,On Notice,n/a,14
2016,1,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,2487
2016,1,Domestic Violence,Orders made,Occupation,Exparte,n/a,126
2016,1,Childrens Act,Orders made,Occupation,Exparte,n/a,1
2016,1,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,162
2016,1,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,3021
2016,1,Domestic Violence,Orders made,Occupation,On Notice,n/a,440
2016,2,Domestic Violence,Orders made,Occupation,On Notice,n/a,450
2016,2,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,2570
2016,2,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,26
2016,2,Childrens Act,Orders made,Occupation,On Notice,n/a,9
2016,2,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,3355
2016,2,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,172
2016,2,Domestic Violence,Orders made,Occupation,Exparte,n/a,116
2016,3,Domestic Violence,Orders made,Occupation,Exparte,n/a,109
2016,3,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,2468
2016,3,Domestic Violence,Orders made,Occupation,On Notice,n/a,462
2016,3,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,173
2016,3,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,3329
2016,3,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,26
2016,3,Childrens Act,Orders made,Occupation,On Notice,n/a,6
2016,4,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,25
2016,4,Childrens Act,Orders made,Occupation,On Notice,n/a,14
2016,4,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,2569
2016,4,Domestic Violence,Orders made,Occupation,Exparte,n/a,108
2016,4,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,3071
2016,4,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,177
2016,4,Domestic Violence,Orders made,Occupation,On Notice,n/a,413
2016,4,Childrens Act,Orders made,Occupation,Exparte,n/a,1
2017,1,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,2709
2017,1,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,212
2017,1,Childrens Act,Orders made,Occupation,On Notice,n/a,18
2017,1,Domestic Violence,Orders made,Occupation,Exparte,n/a,85
2017,1,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,20
2017,1,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,3185
2017,1,Domestic Violence,Orders made,Occupation,On Notice,n/a,500
2017,2,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,3336
2017,2,Domestic Violence,Orders made,Occupation,On Notice,n/a,477
2017,2,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,177
2017,2,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,2765
2017,2,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,22
2017,2,Childrens Act,Orders made,Occupation,On Notice,n/a,15
2017,2,Domestic Violence,Orders made,Occupation,Exparte,n/a,100
2017,3,Domestic Violence,Orders made,Occupation,Exparte,n/a,127
2017,3,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,197
2017,3,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,3503
2017,3,Domestic Violence,Orders made,Occupation,On Notice,n/a,530
2017,3,Childrens Act,Orders made,Occupation,On Notice,n/a,11
2017,3,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,3114
2017,3,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,28
2017,4,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,16
2017,4,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,175
2017,4,Domestic Violence,Orders made,Occupation,Exparte,n/a,89
2017,4,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,3162
2017,4,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,3134
2017,4,Domestic Violence,Orders made,Occupation,On Notice,n/a,446
2017,4,Childrens Act,Orders made,Occupation,On Notice,n/a,7
2018,1,Domestic Violence,Orders made,Occupation,Exparte,n/a,85
2018,1,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,3215
2018,1,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,187
2018,1,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,17
2018,1,Childrens Act,Orders made,Occupation,On Notice,n/a,12
2018,1,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,3333
2018,1,Domestic Violence,Orders made,Occupation,On Notice,n/a,414
2018,2,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,3299
2018,2,Domestic Violence,Orders made,Occupation,On Notice,n/a,439
2018,2,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,199
2018,2,Domestic Violence,Orders made,Occupation,Exparte,n/a,81
2018,2,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,3173
2018,2,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,14
2018,2,Childrens Act,Orders made,Occupation,On Notice,n/a,13
2018,3,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,35
2018,3,Childrens Act,Orders made,Occupation,On Notice,n/a,10
2018,3,Domestic Violence,Orders made,Occupation,Exparte,n/a,76
2018,3,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,3368
2018,3,Domestic Violence,Orders made,Occupation,On Notice,n/a,505
2018,3,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,196
2018,3,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,3302
2018,3,Childrens Act,Orders made,Occupation,Exparte,n/a,1
2018,4,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,3300
2018,4,Domestic Violence,Orders made,Occupation,On Notice,n/a,532
2018,4,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,12
2018,4,Childrens Act,Orders made,Occupation,On Notice,n/a,12
2018,4,Domestic Violence,Orders made,Occupation,Exparte,n/a,80
2018,4,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,3321
2018,4,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,231
2019,1,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,261
2019,1,Domestic Violence,Orders made,Occupation,Exparte,n/a,95
2019,1,Domestic Violence,Orders made,Occupation,On Notice,n/a,491
2019,1,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,3379
2019,1,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,11
2019,1,Childrens Act,Orders made,Occupation,On Notice,n/a,10
2019,1,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,3810
