Category,Type,Year,Quarter,Count
Age of Donor,35-44,2009,Q1,142
Age of Donor,35-44,2009,Q2,199
Age of Donor,35-44,2009,Q3,215
Age of Donor,35-44,2009,Q4,215
Age of Donor,35-44,2010,Q1,193
Age of Donor,35-44,2010,Q2,415
Age of Donor,35-44,2010,Q3,387
Age of Donor,35-44,2010,Q4,421
Age of Donor,35-44,2011,Q1,490
Age of Donor,35-44,2011,Q2,463
Age of Donor,35-44,2011,Q3,510
Age of Donor,35-44,2011,Q4,525
Age of Donor,35-44,2012,Q1,551
Age of Donor,35-44,2012,Q2,608
Age of Donor,35-44,2012,Q3,646
Age of Donor,35-44,2012,Q4,627
Age of Donor,35-44,2013,Q1,615
Age of Donor,35-44,2013,Q2,702
Age of Donor,35-44,2013,Q3,739
Age of Donor,35-44,2013,Q4,633
Age of Donor,35-44,2014,Q1,611
Age of Donor,35-44,2014,Q2,754
Age of Donor,35-44,2014,Q3,1264
Age of Donor,35-44,2014,Q4,1031
Age of Donor,35-44,2015,Q1,1057
Age of Donor,35-44,2015,Q2,1264
Age of Donor,35-44,2015,Q3,1251
Age of Donor,35-44,2015,Q4,1231
Age of Donor,35-44,2016,Q1,1389
Age of Donor,35-44,2016,Q2,1484
Age of Donor,35-44,2016,Q3,2016
Age of Donor,35-44,2016,Q4,1855
Age of Donor,35-44,2017,Q1,1980
Age of Donor,35-44,2017,Q2,1987
Age of Donor,35-44,2017,Q3,2255
Age of Donor,35-44,2017,Q4,2505
Age of Donor,35-44,2018,Q1,2556
Age of Donor,35-44,2018,Q2,2229
Age of Donor,35-44,2018,Q3,2547
Age of Donor,35-44,2018,Q4,2613
Age of Donor,35-44,2019,Q1,2649
Age of Donor,35-44,2019,Q2,2814
Age of Donor,35-44,2019,Q3,3447
Age of Donor,35-44,2019,Q4,3062
Age of Donor,35-44,2020,Q1,3262
Age of Donor,35-44,2020,Q2,1361
Age of Donor,35-44,2020,Q3,2727
Age of Donor,35-44,2020,Q4,2896
Age of Donor,35-44,2021,Q1,3173
Age of Donor,35-44,2021,Q2,2753
Age of Donor,35-44,2021,Q3,3204
Age of Donor,35-44,2021,Q4,3175
Age of Donor,35-44,2022,Q1,2924
Age of Donor,35-44,2022,Q2,3256
Age of Donor,35-44,2022,Q3,3498
Age of Donor,35-44,2022,Q4,4115
Age of Donor,35-44,2023,Q1,3987
Age of Donor,35-44,2023,Q2,4476
Age of Donor,35-44,2023,Q3,4701
Age of Donor,35-44,2023,Q4,4705
Age of Donor,35-44,2024,Q1,6288
Age of Donor,35-44,2024,Q2,6700
Age of Donor,35-44,2024,Q3,7327
Age of Donor,35-44,2024,Q4,6033
Age of Donor,35-44,2025,Q1,5845
Age of Donor,35-44,2025,Q2,6008
Age of Donor,35-44,2025,Q3,7868
Age of Donor,35-44,2025,Q4,7756
Age of Donor,45-54,2008,Q1,47
Age of Donor,45-54,2008,Q2,81
Age of Donor,45-54,2008,Q3,290
Age of Donor,45-54,2008,Q4,386
Age of Donor,45-54,2009,Q1,353
Age of Donor,45-54,2009,Q2,434
Age of Donor,45-54,2009,Q3,515
Age of Donor,45-54,2009,Q4,468
Age of Donor,45-54,2010,Q1,473
Age of Donor,45-54,2010,Q2,1059
Age of Donor,45-54,2010,Q3,1040
Age of Donor,45-54,2010,Q4,969
Age of Donor,45-54,2011,Q1,1272
Age of Donor,45-54,2011,Q2,1104
Age of Donor,45-54,2011,Q3,1519
Age of Donor,45-54,2011,Q4,1478
Age of Donor,45-54,2012,Q1,1614
Age of Donor,45-54,2012,Q2,1579
Age of Donor,45-54,2012,Q3,1759
Age of Donor,45-54,2012,Q4,1928
Age of Donor,45-54,2013,Q1,1683
Age of Donor,45-54,2013,Q2,2157
Age of Donor,45-54,2013,Q3,2148
Age of Donor,45-54,2013,Q4,1899
Age of Donor,45-54,2014,Q1,1734
Age of Donor,45-54,2014,Q2,2214
Age of Donor,45-54,2014,Q3,3926
Age of Donor,45-54,2014,Q4,3445
Age of Donor,45-54,2015,Q1,3441
Age of Donor,45-54,2015,Q2,4030
Age of Donor,45-54,2015,Q3,3940
Age of Donor,45-54,2015,Q4,3827
Age of Donor,45-54,2016,Q1,4613
Age of Donor,45-54,2016,Q2,5148
Age of Donor,45-54,2016,Q3,6399
Age of Donor,45-54,2016,Q4,6429
Age of Donor,45-54,2017,Q1,6440
Age of Donor,45-54,2017,Q2,6573
Age of Donor,45-54,2017,Q3,7420
Age of Donor,45-54,2017,Q4,7849
Age of Donor,45-54,2018,Q1,7936
Age of Donor,45-54,2018,Q2,7395
Age of Donor,45-54,2018,Q3,8134
Age of Donor,45-54,2018,Q4,7423
Age of Donor,45-54,2019,Q1,8124
Age of Donor,45-54,2019,Q2,8826
Age of Donor,45-54,2019,Q3,10296
Age of Donor,45-54,2019,Q4,8988
Age of Donor,45-54,2020,Q1,9693
Age of Donor,45-54,2020,Q2,4340
Age of Donor,45-54,2020,Q3,8505
Age of Donor,45-54,2020,Q4,8553
Age of Donor,45-54,2021,Q1,8811
Age of Donor,45-54,2021,Q2,8503
Age of Donor,45-54,2021,Q3,8282
Age of Donor,45-54,2021,Q4,8728
Age of Donor,45-54,2022,Q1,8401
Age of Donor,45-54,2022,Q2,8881
Age of Donor,45-54,2022,Q3,9074
Age of Donor,45-54,2022,Q4,10652
Age of Donor,45-54,2023,Q1,10951
Age of Donor,45-54,2023,Q2,11733
Age of Donor,45-54,2023,Q3,13457
Age of Donor,45-54,2023,Q4,13099
Age of Donor,45-54,2024,Q1,17296
Age of Donor,45-54,2024,Q2,17957
Age of Donor,45-54,2024,Q3,19737
Age of Donor,45-54,2024,Q4,15655
Age of Donor,45-54,2025,Q1,15670
Age of Donor,45-54,2025,Q2,15502
Age of Donor,45-54,2025,Q3,20050
Age of Donor,45-54,2025,Q4,19725
Age of Donor,55-64,2008,Q1,177
Age of Donor,55-64,2008,Q2,292
Age of Donor,55-64,2008,Q3,961
Age of Donor,55-64,2008,Q4,1202
Age of Donor,55-64,2009,Q1,1112
Age of Donor,55-64,2009,Q2,1499
Age of Donor,55-64,2009,Q3,1714
Age of Donor,55-64,2009,Q4,1526
Age of Donor,55-64,2010,Q1,1796
Age of Donor,55-64,2010,Q2,3879
Age of Donor,55-64,2010,Q3,3639
Age of Donor,55-64,2010,Q4,3133
Age of Donor,55-64,2011,Q1,4467
Age of Donor,55-64,2011,Q2,3485
Age of Donor,55-64,2011,Q3,4892
Age of Donor,55-64,2011,Q4,4651
Age of Donor,55-64,2012,Q1,5013
Age of Donor,55-64,2012,Q2,4789
Age of Donor,55-64,2012,Q3,5748
Age of Donor,55-64,2012,Q4,6093
Age of Donor,55-64,2013,Q1,5469
Age of Donor,55-64,2013,Q2,6966
Age of Donor,55-64,2013,Q3,6662
Age of Donor,55-64,2013,Q4,6124
Age of Donor,55-64,2014,Q1,5808
Age of Donor,55-64,2014,Q2,7079
Age of Donor,55-64,2014,Q3,11848
Age of Donor,55-64,2014,Q4,11297
Age of Donor,55-64,2015,Q1,10956
Age of Donor,55-64,2015,Q2,13037
Age of Donor,55-64,2015,Q3,12491
Age of Donor,55-64,2015,Q4,12322
Age of Donor,55-64,2016,Q1,14885
Age of Donor,55-64,2016,Q2,15092
Age of Donor,55-64,2016,Q3,19287
Age of Donor,55-64,2016,Q4,19894
Age of Donor,55-64,2017,Q1,20415
Age of Donor,55-64,2017,Q2,19731
Age of Donor,55-64,2017,Q3,22661
Age of Donor,55-64,2017,Q4,23570
Age of Donor,55-64,2018,Q1,23182
Age of Donor,55-64,2018,Q2,22849
Age of Donor,55-64,2018,Q3,24371
Age of Donor,55-64,2018,Q4,22297
Age of Donor,55-64,2019,Q1,25000
Age of Donor,55-64,2019,Q2,26248
Age of Donor,55-64,2019,Q3,29546
Age of Donor,55-64,2019,Q4,27468
Age of Donor,55-64,2020,Q1,30438
Age of Donor,55-64,2020,Q2,13573
Age of Donor,55-64,2020,Q3,25032
Age of Donor,55-64,2020,Q4,26225
Age of Donor,55-64,2021,Q1,27469
Age of Donor,55-64,2021,Q2,25379
Age of Donor,55-64,2021,Q3,25201
Age of Donor,55-64,2021,Q4,27030
Age of Donor,55-64,2022,Q1,27908
Age of Donor,55-64,2022,Q2,28819
Age of Donor,55-64,2022,Q3,29067
Age of Donor,55-64,2022,Q4,35155
Age of Donor,55-64,2023,Q1,37795
Age of Donor,55-64,2023,Q2,39547
Age of Donor,55-64,2023,Q3,44510
Age of Donor,55-64,2023,Q4,45997
Age of Donor,55-64,2024,Q1,58767
Age of Donor,55-64,2024,Q2,61817
Age of Donor,55-64,2024,Q3,66301
Age of Donor,55-64,2024,Q4,52722
Age of Donor,55-64,2025,Q1,51352
Age of Donor,55-64,2025,Q2,50886
Age of Donor,55-64,2025,Q3,66060
Age of Donor,55-64,2025,Q4,65599
Age of Donor,65-74,2008,Q1,591
Age of Donor,65-74,2008,Q2,976
Age of Donor,65-74,2008,Q3,2338
Age of Donor,65-74,2008,Q4,2985
Age of Donor,65-74,2009,Q1,2589
Age of Donor,65-74,2009,Q2,3585
Age of Donor,65-74,2009,Q3,3982
Age of Donor,65-74,2009,Q4,3710
Age of Donor,65-74,2010,Q1,4190
Age of Donor,65-74,2010,Q2,7812
Age of Donor,65-74,2010,Q3,7300
Age of Donor,65-74,2010,Q4,6477
Age of Donor,65-74,2011,Q1,9230
Age of Donor,65-74,2011,Q2,7527
Age of Donor,65-74,2011,Q3,10239
Age of Donor,65-74,2011,Q4,9578
Age of Donor,65-74,2012,Q1,10882
Age of Donor,65-74,2012,Q2,10973
Age of Donor,65-74,2012,Q3,13407
Age of Donor,65-74,2012,Q4,13480
Age of Donor,65-74,2013,Q1,12590
Age of Donor,65-74,2013,Q2,16128
Age of Donor,65-74,2013,Q3,15858
Age of Donor,65-74,2013,Q4,14371
Age of Donor,65-74,2014,Q1,13693
Age of Donor,65-74,2014,Q2,17139
Age of Donor,65-74,2014,Q3,28701
Age of Donor,65-74,2014,Q4,26472
Age of Donor,65-74,2015,Q1,25565
Age of Donor,65-74,2015,Q2,31933
Age of Donor,65-74,2015,Q3,29813
Age of Donor,65-74,2015,Q4,28505
Age of Donor,65-74,2016,Q1,34133
Age of Donor,65-74,2016,Q2,35690
Age of Donor,65-74,2016,Q3,46222
Age of Donor,65-74,2016,Q4,44282
Age of Donor,65-74,2017,Q1,45623
Age of Donor,65-74,2017,Q2,46517
Age of Donor,65-74,2017,Q3,51840
Age of Donor,65-74,2017,Q4,52269
Age of Donor,65-74,2018,Q1,51072
Age of Donor,65-74,2018,Q2,52177
Age of Donor,65-74,2018,Q3,54015
Age of Donor,65-74,2018,Q4,49322
Age of Donor,65-74,2019,Q1,55104
Age of Donor,65-74,2019,Q2,57970
Age of Donor,65-74,2019,Q3,63504
Age of Donor,65-74,2019,Q4,57120
Age of Donor,65-74,2020,Q1,62487
Age of Donor,65-74,2020,Q2,27990
Age of Donor,65-74,2020,Q3,46624
Age of Donor,65-74,2020,Q4,50258
Age of Donor,65-74,2021,Q1,52119
Age of Donor,65-74,2021,Q2,43611
Age of Donor,65-74,2021,Q3,46102
Age of Donor,65-74,2021,Q4,50276
Age of Donor,65-74,2022,Q1,54434
Age of Donor,65-74,2022,Q2,52017
Age of Donor,65-74,2022,Q3,54117
Age of Donor,65-74,2022,Q4,65212
Age of Donor,65-74,2023,Q1,70410
Age of Donor,65-74,2023,Q2,72853
Age of Donor,65-74,2023,Q3,81083
Age of Donor,65-74,2023,Q4,84279
Age of Donor,65-74,2024,Q1,101670
Age of Donor,65-74,2024,Q2,105723
Age of Donor,65-74,2024,Q3,113018
Age of Donor,65-74,2024,Q4,86993
Age of Donor,65-74,2025,Q1,82283
Age of Donor,65-74,2025,Q2,81380
Age of Donor,65-74,2025,Q3,105681
Age of Donor,65-74,2025,Q4,98773
Age of Donor,75-84,2008,Q1,2431
Age of Donor,75-84,2008,Q2,3702
Age of Donor,75-84,2008,Q3,7541
Age of Donor,75-84,2008,Q4,8852
Age of Donor,75-84,2009,Q1,6971
Age of Donor,75-84,2009,Q2,10281
Age of Donor,75-84,2009,Q3,10396
Age of Donor,75-84,2009,Q4,9724
Age of Donor,75-84,2010,Q1,9996
Age of Donor,75-84,2010,Q2,15925
Age of Donor,75-84,2010,Q3,14727
Age of Donor,75-84,2010,Q4,13815
Age of Donor,75-84,2011,Q1,18446
Age of Donor,75-84,2011,Q2,14744
Age of Donor,75-84,2011,Q3,19480
Age of Donor,75-84,2011,Q4,17588
Age of Donor,75-84,2012,Q1,20179
Age of Donor,75-84,2012,Q2,19899
Age of Donor,75-84,2012,Q3,24116
Age of Donor,75-84,2012,Q4,24008
Age of Donor,75-84,2013,Q1,21318
Age of Donor,75-84,2013,Q2,26906
Age of Donor,75-84,2013,Q3,26445
Age of Donor,75-84,2013,Q4,23885
Age of Donor,75-84,2014,Q1,21727
Age of Donor,75-84,2014,Q2,26488
Age of Donor,75-84,2014,Q3,43135
Age of Donor,75-84,2014,Q4,39368
Age of Donor,75-84,2015,Q1,36069
Age of Donor,75-84,2015,Q2,43978
Age of Donor,75-84,2015,Q3,40423
Age of Donor,75-84,2015,Q4,39245
Age of Donor,75-84,2016,Q1,43597
Age of Donor,75-84,2016,Q2,46381
Age of Donor,75-84,2016,Q3,59365
Age of Donor,75-84,2016,Q4,56249
Age of Donor,75-84,2017,Q1,53772
Age of Donor,75-84,2017,Q2,53398
Age of Donor,75-84,2017,Q3,58606
Age of Donor,75-84,2017,Q4,60295
Age of Donor,75-84,2018,Q1,57364
Age of Donor,75-84,2018,Q2,59833
Age of Donor,75-84,2018,Q3,64432
Age of Donor,75-84,2018,Q4,58494
Age of Donor,75-84,2019,Q1,63590
Age of Donor,75-84,2019,Q2,68445
Age of Donor,75-84,2019,Q3,76354
Age of Donor,75-84,2019,Q4,70081
Age of Donor,75-84,2020,Q1,74827
Age of Donor,75-84,2020,Q2,33354
Age of Donor,75-84,2020,Q3,51945
Age of Donor,75-84,2020,Q4,60257
Age of Donor,75-84,2021,Q1,63378
Age of Donor,75-84,2021,Q2,50555
Age of Donor,75-84,2021,Q3,55009
Age of Donor,75-84,2021,Q4,62957
Age of Donor,75-84,2022,Q1,70870
Age of Donor,75-84,2022,Q2,65108
Age of Donor,75-84,2022,Q3,68697
Age of Donor,75-84,2022,Q4,88362
Age of Donor,75-84,2023,Q1,95612
Age of Donor,75-84,2023,Q2,96765
Age of Donor,75-84,2023,Q3,106393
Age of Donor,75-84,2023,Q4,112543
Age of Donor,75-84,2024,Q1,131731
Age of Donor,75-84,2024,Q2,128550
Age of Donor,75-84,2024,Q3,141472
Age of Donor,75-84,2024,Q4,108994
Age of Donor,75-84,2025,Q1,98930
Age of Donor,75-84,2025,Q2,95116
Age of Donor,75-84,2025,Q3,126983
Age of Donor,75-84,2025,Q4,113764
Age of Donor,85+,2008,Q1,3110
Age of Donor,85+,2008,Q2,4563
Age of Donor,85+,2008,Q3,8094
Age of Donor,85+,2008,Q4,8657
Age of Donor,85+,2009,Q1,6893
Age of Donor,85+,2009,Q2,10161
Age of Donor,85+,2009,Q3,10255
Age of Donor,85+,2009,Q4,9426
Age of Donor,85+,2010,Q1,9580
Age of Donor,85+,2010,Q2,14597
Age of Donor,85+,2010,Q3,13197
Age of Donor,85+,2010,Q4,11948
Age of Donor,85+,2011,Q1,15769
Age of Donor,85+,2011,Q2,13417
Age of Donor,85+,2011,Q3,16732
Age of Donor,85+,2011,Q4,14945
Age of Donor,85+,2012,Q1,16938
Age of Donor,85+,2012,Q2,16987
Age of Donor,85+,2012,Q3,19393
Age of Donor,85+,2012,Q4,19427
Age of Donor,85+,2013,Q1,17226
Age of Donor,85+,2013,Q2,22057
Age of Donor,85+,2013,Q3,20788
Age of Donor,85+,2013,Q4,18854
Age of Donor,85+,2014,Q1,17508
Age of Donor,85+,2014,Q2,20827
Age of Donor,85+,2014,Q3,30876
Age of Donor,85+,2014,Q4,28120
Age of Donor,85+,2015,Q1,26580
Age of Donor,85+,2015,Q2,29904
Age of Donor,85+,2015,Q3,27624
Age of Donor,85+,2015,Q4,27189
Age of Donor,85+,2016,Q1,30855
Age of Donor,85+,2016,Q2,33259
Age of Donor,85+,2016,Q3,40121
Age of Donor,85+,2016,Q4,38396
Age of Donor,85+,2017,Q1,36069
Age of Donor,85+,2017,Q2,34987
Age of Donor,85+,2017,Q3,36499
Age of Donor,85+,2017,Q4,37093
Age of Donor,85+,2018,Q1,36639
Age of Donor,85+,2018,Q2,37876
Age of Donor,85+,2018,Q3,40421
Age of Donor,85+,2018,Q4,36701
Age of Donor,85+,2019,Q1,38995
Age of Donor,85+,2019,Q2,41365
Age of Donor,85+,2019,Q3,44979
Age of Donor,85+,2019,Q4,41982
Age of Donor,85+,2020,Q1,44183
Age of Donor,85+,2020,Q2,20161
Age of Donor,85+,2020,Q3,28325
Age of Donor,85+,2020,Q4,35294
Age of Donor,85+,2021,Q1,35930
Age of Donor,85+,2021,Q2,29788
Age of Donor,85+,2021,Q3,31939
Age of Donor,85+,2021,Q4,35695
Age of Donor,85+,2022,Q1,37763
Age of Donor,85+,2022,Q2,34641
Age of Donor,85+,2022,Q3,36047
Age of Donor,85+,2022,Q4,46043
Age of Donor,85+,2023,Q1,49764
Age of Donor,85+,2023,Q2,49444
Age of Donor,85+,2023,Q3,51150
Age of Donor,85+,2023,Q4,53338
Age of Donor,85+,2024,Q1,61028
Age of Donor,85+,2024,Q2,56680
Age of Donor,85+,2024,Q3,61449
Age of Donor,85+,2024,Q4,48778
Age of Donor,85+,2025,Q1,44041
Age of Donor,85+,2025,Q2,41681
Age of Donor,85+,2025,Q3,54440
Age of Donor,85+,2025,Q4,48348
Age of Donor,Unknown,2008,Q1,56
Age of Donor,Unknown,2008,Q2,20
Age of Donor,Unknown,2008,Q3,18
Age of Donor,Unknown,2008,Q4,32
Age of Donor,Unknown,2009,Q1,11
Age of Donor,Unknown,2009,Q2,[c]
Age of Donor,Unknown,2009,Q3,[c]
Age of Donor,Unknown,2009,Q4,[c]
Age of Donor,Unknown,2010,Q1,11
Age of Donor,Unknown,2010,Q2,12
Age of Donor,Unknown,2010,Q3,11
Age of Donor,Unknown,2010,Q4,[c]
Age of Donor,Unknown,2011,Q1,[c]
Age of Donor,Unknown,2011,Q2,[c]
Age of Donor,Unknown,2011,Q3,[c]
Age of Donor,Unknown,2011,Q4,11
Age of Donor,Unknown,2012,Q1,[c]
Age of Donor,Unknown,2012,Q2,[c]
Age of Donor,Unknown,2012,Q3,[c]
Age of Donor,Unknown,2012,Q4,[c]
Age of Donor,Unknown,2013,Q1,[c]
Age of Donor,Unknown,2013,Q2,[c]
Age of Donor,Unknown,2013,Q3,[c]
Age of Donor,Unknown,2013,Q4,[c]
Age of Donor,Unknown,2014,Q1,[c]
Age of Donor,Unknown,2014,Q2,[c]
Age of Donor,Unknown,2014,Q3,[c]
Age of Donor,Unknown,2014,Q4,[c]
Age of Donor,Unknown,2015,Q1,11
Age of Donor,Unknown,2015,Q2,17
Age of Donor,Unknown,2015,Q3,49
Age of Donor,Unknown,2015,Q4,198
Age of Donor,Unknown,2016,Q1,299
Age of Donor,Unknown,2016,Q2,348
Age of Donor,Unknown,2016,Q3,237
Age of Donor,Unknown,2016,Q4,337
Age of Donor,Unknown,2017,Q1,338
Age of Donor,Unknown,2017,Q2,250
Age of Donor,Unknown,2017,Q3,363
Age of Donor,Unknown,2017,Q4,428
Age of Donor,Unknown,2018,Q1,298
Age of Donor,Unknown,2018,Q2,270
Age of Donor,Unknown,2018,Q3,92
Age of Donor,Unknown,2018,Q4,114
Age of Donor,Unknown,2019,Q1,181
Age of Donor,Unknown,2019,Q2,383
Age of Donor,Unknown,2019,Q3,244
Age of Donor,Unknown,2019,Q4,160
Age of Donor,Unknown,2020,Q1,113
Age of Donor,Unknown,2020,Q2,30
Age of Donor,Unknown,2020,Q3,22
Age of Donor,Unknown,2020,Q4,27
Age of Donor,Unknown,2021,Q1,27
Age of Donor,Unknown,2021,Q2,46
Age of Donor,Unknown,2021,Q3,50
Age of Donor,Unknown,2021,Q4,49
Age of Donor,Unknown,2022,Q1,79
Age of Donor,Unknown,2022,Q2,81
Age of Donor,Unknown,2022,Q3,86
Age of Donor,Unknown,2022,Q4,100
Age of Donor,Unknown,2023,Q1,93
Age of Donor,Unknown,2023,Q2,107
Age of Donor,Unknown,2023,Q3,98
Age of Donor,Unknown,2023,Q4,104
Age of Donor,Unknown,2024,Q1,121
Age of Donor,Unknown,2024,Q2,119
Age of Donor,Unknown,2024,Q3,153
Age of Donor,Unknown,2024,Q4,89
Age of Donor,Unknown,2025,Q1,122
Age of Donor,Unknown,2025,Q2,78
Age of Donor,Unknown,2025,Q3,79
Age of Donor,Unknown,2025,Q4,36
Total Registered Applications,,2008,Q1,6448
Total Registered Applications,,2008,Q2,9706
Total Registered Applications,,2008,Q3,19460
Total Registered Applications,,2008,Q4,22383
Total Registered Applications,,2009,Q1,18146
Total Registered Applications,,2009,Q2,26277
Total Registered Applications,,2009,Q3,27194
Total Registered Applications,,2009,Q4,25186
Total Registered Applications,,2010,Q1,26321
Total Registered Applications,,2010,Q2,43877
Total Registered Applications,,2010,Q3,40468
Total Registered Applications,,2010,Q4,36939
Total Registered Applications,,2011,Q1,49902
Total Registered Applications,,2011,Q2,40907
Total Registered Applications,,2011,Q3,53614
Total Registered Applications,,2011,Q4,49001
Total Registered Applications,,2012,Q1,55417
Total Registered Applications,,2012,Q2,55092
Total Registered Applications,,2012,Q3,65364
Total Registered Applications,,2012,Q4,65896
Total Registered Applications,,2013,Q1,59208
Total Registered Applications,,2013,Q2,75187
Total Registered Applications,,2013,Q3,72989
Total Registered Applications,,2013,Q4,66064
Total Registered Applications,,2014,Q1,61383
Total Registered Applications,,2014,Q2,74861
Total Registered Applications,,2014,Q3,120262
Total Registered Applications,,2014,Q4,110255
Total Registered Applications,,2015,Q1,104228
Total Registered Applications,,2015,Q2,124715
Total Registered Applications,,2015,Q3,116148
Total Registered Applications,,2015,Q4,113072
Total Registered Applications,,2016,Q1,130453
Total Registered Applications,,2016,Q2,138097
Total Registered Applications,,2016,Q3,174524
Total Registered Applications,,2016,Q4,168416
Total Registered Applications,,2017,Q1,165545
Total Registered Applications,,2017,Q2,164405
Total Registered Applications,,2017,Q3,180734
Total Registered Applications,,2017,Q4,185221
Total Registered Applications,,2018,Q1,180222
Total Registered Applications,,2018,Q2,183695
Total Registered Applications,,2018,Q3,195304
Total Registered Applications,,2018,Q4,178276
Total Registered Applications,,2019,Q1,194965
Total Registered Applications,,2019,Q2,207418
Total Registered Applications,,2019,Q3,229972
Total Registered Applications,,2019,Q4,210426
Total Registered Applications,,2020,Q1,226750
Total Registered Applications,,2020,Q2,101498
Total Registered Applications,,2020,Q3,164535
Total Registered Applications,,2020,Q4,184977
Total Registered Applications,,2021,Q1,192571
Total Registered Applications,,2021,Q2,162008
Total Registered Applications,,2021,Q3,171151
Total Registered Applications,,2021,Q4,189374
Total Registered Applications,,2022,Q1,203864
Total Registered Applications,,2022,Q2,194286
Total Registered Applications,,2022,Q3,202184
Total Registered Applications,,2022,Q4,251376
Total Registered Applications,,2023,Q1,270658
Total Registered Applications,,2023,Q2,277003
Total Registered Applications,,2023,Q3,303451
Total Registered Applications,,2023,Q4,316419
Total Registered Applications,,2024,Q1,379918
Total Registered Applications,,2024,Q2,380633
Total Registered Applications,,2024,Q3,412931
Total Registered Applications,,2024,Q4,322209
Total Registered Applications,,2025,Q1,300888
Total Registered Applications,,2025,Q2,293431
Total Registered Applications,,2025,Q3,384883
Total Registered Applications,,2025,Q4,357769
Number of Deputyships Appointed,,2015,Q1,3318
Number of Deputyships Appointed,,2015,Q2,3275
Number of Deputyships Appointed,,2015,Q3,3967
Number of Deputyships Appointed,,2015,Q4,4284
Number of Deputyships Appointed,,2016,Q1,2740
Number of Deputyships Appointed,,2016,Q2,3021
Number of Deputyships Appointed,,2016,Q3,3268
Number of Deputyships Appointed,,2016,Q4,2180
Number of Deputyships Appointed,,2017,Q1,3241
Number of Deputyships Appointed,,2017,Q2,4288
Number of Deputyships Appointed,,2017,Q3,3302
Number of Deputyships Appointed,,2017,Q4,2599
Number of Deputyships Appointed,,2018,Q1,2888
Number of Deputyships Appointed,,2018,Q2,2495
Number of Deputyships Appointed,,2018,Q3,2680
Number of Deputyships Appointed,,2018,Q4,2057
Number of Deputyships Appointed,,2019,Q1,3054
Number of Deputyships Appointed,,2019,Q2,2510
Number of Deputyships Appointed,,2019,Q3,2791
Number of Deputyships Appointed,,2019,Q4,2370
Number of Deputyships Appointed,,2020,Q1,3731
Number of Deputyships Appointed,,2020,Q2,2224
Number of Deputyships Appointed,,2020,Q3,2887
Number of Deputyships Appointed,,2020,Q4,2168
Number of Deputyships Appointed,,2021,Q1,2690
Number of Deputyships Appointed,,2021,Q2,2186
Number of Deputyships Appointed,,2021,Q3,2263
Number of Deputyships Appointed,,2021,Q4,1493
Number of Deputyships Appointed,,2022,Q1,1873
Number of Deputyships Appointed,,2022,Q2,1454
Number of Deputyships Appointed,,2022,Q3,2465
Number of Deputyships Appointed,,2022,Q4,2470
Number of Deputyships Appointed,,2023,Q1,2514
Number of Deputyships Appointed,,2023,Q2,1875
Number of Deputyships Appointed,,2023,Q3,2772
Number of Deputyships Appointed,,2023,Q4,2439
Number of Deputyships Appointed,,2024,Q1,3729
Number of Deputyships Appointed,,2024,Q2,2444
Number of Deputyships Appointed,,2024,Q3,1720
Number of Deputyships Appointed,,2024,Q4,1880
Number of Deputyships Appointed,,2025,Q1,3305
Number of Deputyships Appointed,,2025,Q2,3848
Number of Deputyships Appointed,,2025,Q3,2959
Number of Deputyships Appointed,,2025,Q4,2583
